configuration,variant,mapping_policy,seed,split,positions,mean_signed_bounded_loss,mean_cp_loss,p95_cp_loss,max_cp_loss
biological-fixed-97,biological,fixed,97,dev,128,0.09045515822439307,169.5703125,536.1499999999994,9219
biological-fixed-97,biological,fixed,97,shift,128,0.09496832534319334,395.5234375,1562.0999999999974,9239
biological-fixed-109,biological,fixed,109,dev,128,0.1064245029788033,181.8828125,637.9999999999997,9219
biological-fixed-109,biological,fixed,109,shift,128,0.09742558700283657,256.171875,911.5499999999994,9259
biological-fixed-127,biological,fixed,127,dev,128,0.1090689016528061,185.46875,637.9999999999997,9219
biological-fixed-127,biological,fixed,127,shift,128,0.1194852317150184,409.765625,1283.099999999998,9259
biological-learned-97,biological,learned,97,dev,128,0.08231393783462074,160.703125,484.04999999999984,9219
biological-learned-97,biological,learned,97,shift,128,0.09270299360376212,324.8515625,1283.099999999998,9239
biological-learned-109,biological,learned,109,dev,128,0.10087195867849873,177.7890625,594.1499999999995,9219
biological-learned-109,biological,learned,109,shift,128,0.09576761277309873,248.1171875,830.549999999999,9019
biological-learned-127,biological,learned,127,dev,128,0.09642666036807865,175.953125,569.2999999999989,9219
biological-learned-127,biological,learned,127,shift,128,0.12382614225048562,415.828125,1283.099999999998,9259
rewire151-fixed-97,rewire151,fixed,97,dev,128,0.08886715215558626,168.0234375,569.2999999999989,9219
rewire151-fixed-97,rewire151,fixed,97,shift,128,0.08771142156351316,385.390625,1283.099999999998,9239
rewire151-fixed-109,rewire151,fixed,109,dev,128,0.09924299033206017,177.8125,594.1499999999995,9219
rewire151-fixed-109,rewire151,fixed,109,shift,128,0.09356526667142565,314.1953125,1070.8499999999983,9259
rewire151-fixed-127,rewire151,fixed,127,dev,128,0.0980666551248726,179.4453125,569.2999999999989,9219
rewire151-fixed-127,rewire151,fixed,127,shift,128,0.11094422290505272,475.5859375,1283.099999999998,9259
rewire151-learned-97,rewire151,learned,97,dev,128,0.09698221421086763,171.625,484.04999999999984,9219
rewire151-learned-97,rewire151,learned,97,shift,128,0.09782443629006919,330.765625,1283.099999999998,9239
rewire151-learned-109,rewire151,learned,109,dev,128,0.09875204683767849,175.703125,594.1499999999995,9219
rewire151-learned-109,rewire151,learned,109,shift,128,0.09600563565601598,248.40625,830.549999999999,9019
rewire151-learned-127,rewire151,learned,127,dev,128,0.10729643742136745,185.390625,637.9999999999997,9219
rewire151-learned-127,rewire151,learned,127,shift,128,0.12735239799990583,418.59375,1283.099999999998,9259
rewire163-fixed-97,rewire163,fixed,97,dev,128,0.08397671358523588,164.5234375,480.19999999999976,9219
rewire163-fixed-97,rewire163,fixed,97,shift,128,0.09445207521711241,465.0546875,1562.0999999999974,9239
rewire163-fixed-109,rewire163,fixed,109,dev,128,0.09257126734174327,171.6953125,536.1499999999994,9219
rewire163-fixed-109,rewire163,fixed,109,shift,128,0.09665285697516082,249.6953125,911.5499999999994,9019
rewire163-fixed-127,rewire163,fixed,127,dev,128,0.0964093615279226,176.328125,569.2999999999989,9219
rewire163-fixed-127,rewire163,fixed,127,shift,128,0.1216726663918691,414.71875,1283.099999999998,9259
rewire163-learned-97,rewire163,learned,97,dev,128,0.08474621381746422,165.4921875,480.19999999999976,9219
rewire163-learned-97,rewire163,learned,97,shift,128,0.09442543426290526,327.1640625,1283.099999999998,9239
rewire163-learned-109,rewire163,learned,109,dev,128,0.10138704622044582,177.421875,594.1499999999995,9219
rewire163-learned-109,rewire163,learned,109,shift,128,0.09467244432105658,313.1640625,911.5499999999994,9019
rewire163-learned-127,rewire163,learned,127,dev,128,0.10702369794332445,186.84375,637.9999999999997,9219
rewire163-learned-127,rewire163,learned,127,shift,128,0.12686189203653378,418.6484375,1230.2499999999968,9259
rewire179-fixed-97,rewire179,fixed,97,dev,128,0.10112548260322517,176.890625,594.1499999999995,9219
rewire179-fixed-97,rewire179,fixed,97,shift,128,0.08745443063930199,391.21875,1283.099999999998,9239
rewire179-fixed-109,rewire179,fixed,109,dev,128,0.09103617838339993,170.578125,536.1499999999994,9219
rewire179-fixed-109,rewire179,fixed,109,shift,128,0.09545734723288656,256.8515625,1070.8499999999983,9019
rewire179-fixed-127,rewire179,fixed,127,dev,128,0.09774592488460947,179.3828125,569.2999999999989,9219
rewire179-fixed-127,rewire179,fixed,127,shift,128,0.1250600646434612,414.5703125,1209.9499999999964,9259
rewire179-learned-97,rewire179,learned,97,dev,128,0.09257744494487745,170.625,569.2999999999989,9219
rewire179-learned-97,rewire179,learned,97,shift,128,0.09721460919255873,328.6640625,1283.099999999998,9019
rewire179-learned-109,rewire179,learned,109,dev,128,0.11774437619875973,190.171875,637.9999999999997,9219
rewire179-learned-109,rewire179,learned,109,shift,128,0.09421466856866637,244.9453125,830.549999999999,9019
rewire179-learned-127,rewire179,learned,127,dev,128,0.09851418043411735,178.40625,569.2999999999989,9219
