time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/explained_variance,train/n_updates
512,1,420,1,0.8,101.6,,,,,,,,,,
1024,2,433,2,0.7,93.1,-0.0008711187401786447,0.2,0.0019273735,-0.5307519910857081,0.0001,0.00048828125,0.026372045278549194,0.08103708736598492,0.14169234037399292,4
1536,3,440,3,0.8,95.73333333333333,-0.00048185730338445865,0.2,0.0008282275,-0.5404700413346291,0.0001,0.0,0.005560198798775673,0.05771219136659056,0.18702131509780884,8
2048,4,445,4,0.8,97.45,-0.003091595077421516,0.2,0.0053796778,-0.5405497904866934,0.0001,0.0166015625,0.026173356920480728,0.050177679921034724,0.4603831171989441,12
2560,5,439,5,0.7692307692307693,96.65384615384616,-0.001619915638002567,0.2,0.0017683147,-0.532570194453001,0.0001,0.0,0.0064725130796432495,0.028275932534597814,0.5023982524871826,16
3072,6,441,6,0.7741935483870968,97.90322580645162,-0.0027985947963315994,0.2,0.003850136,-0.5131449131295085,0.0001,0.001953125,-0.006234223023056984,0.025641424057539552,0.5232443809509277,20
3584,7,442,8,0.75,96.88888888888889,-0.0011150054342579097,0.2,0.002221386,-0.5394906438887119,0.0001,0.0,-0.0038587553426623344,0.022946136043174192,0.5363801717758179,24
4096,8,442,9,0.7317073170731707,97.4390243902439,-0.0044001282076351345,0.2,0.004981189,-0.5427709277719259,0.0001,0.00927734375,-0.01468339841812849,0.02972335889353417,0.03210228681564331,28
4608,9,433,10,0.6875,95.47916666666667,-0.002680769714061171,0.2,0.008335459,-0.511652160435915,0.0001,0.041015625,0.014965415000915527,0.024071119172731414,0.37226688861846924,32
5120,10,435,11,0.6981132075471698,95.77358490566037,-0.0032619910780340433,0.2,0.0034394306,-0.4891445254907012,0.0001,0.0029296875,-0.012134891003370285,0.03189555794233456,0.3343623876571655,36
5632,11,436,12,0.6896551724137931,95.72413793103448,-0.0007965368713485077,0.2,0.001724599,-0.47602020390331745,0.0001,0.0,-0.00021624844521284103,0.019462221185676754,0.33099907636642456,40
6144,12,434,14,0.6875,95.765625,-0.0006217984191607684,0.2,0.0011134356,-0.44909434858709574,0.0001,0.0,0.008001318201422691,0.023507024307036772,0.20070695877075195,44
6656,13,436,15,0.6811594202898551,95.72463768115942,-0.003134262020466849,0.2,0.006484555,-0.5067882975563407,0.0001,0.0244140625,0.010415608063340187,0.030591777263907716,0.0038989782333374023,48
7168,14,437,16,0.6756756756756757,96.04054054054055,-0.0012314757041167468,0.2,0.0025988538,-0.49020814150571823,0.0001,0.0,0.005282362457364798,0.024869125190889463,0.24357569217681885,52
7680,15,433,17,0.6296296296296297,94.1358024691358,-0.0008249134407378733,0.2,0.0015872689,-0.5020785350352526,0.0001,0.0,-0.002462642267346382,0.024367331294342875,0.20337343215942383,56
8192,16,434,18,0.6162790697674418,94.24418604651163,-0.002126813924405724,0.2,0.0025909888,-0.4281305782496929,0.0001,0.00048828125,0.012047450989484787,0.033142948406748474,0.27430325746536255,60
