fit,epoch,gradient_norm,kl_nats,loss,observation_mse,reward_mse,rollout_observation_mse,rollout_reward_mse,valid_observation_targets,valid_rollout_starts
free-271,1,2.503064571569363,0.0,1.9816552499930065,0.4437581884364287,0.21680360473692417,0.4541022256016731,0.22181576831887165,1216.0,1088.0
free-271,2,1.2231405824422836,0.0,1.635476638873418,0.3232659939676523,0.18632408852378526,0.3735264067848523,0.1900755393629273,1216.0,1088.0
free-271,3,1.1740692282716434,0.0,1.3847189669807751,0.17324686547120413,0.18053750724842152,0.24495540807644525,0.18342219137897095,1216.0,1088.0
free-271,4,1.1353996110459168,0.0,1.229476511478424,0.09499460893372695,0.17429726415624222,0.16973028456171355,0.17621385181943575,1216.0,1088.0
free-271,5,1.1699127455552418,0.0,1.1175123403469722,0.06071125312397877,0.16499162279069424,0.12848452230294546,0.16629617226620516,1216.0,1088.0
free-271,6,1.190623660882314,0.0,1.0427229131261508,0.05463098222389817,0.15464156648765007,0.11988221326222022,0.15479228304078183,1216.0,1088.0
free-271,7,1.2263323441147804,0.0,0.9535005713502566,0.04793034493923187,0.1416445868089795,0.11119717763115962,0.1416966455678145,1216.0,1088.0
free-271,8,2.1358676527937255,0.0,0.8364991235236326,0.04570059338584542,0.12240216151500742,0.10782895827045043,0.1236377024712662,1216.0,1088.0
free-271,9,2.378259984155496,0.0,0.604534175246954,0.04172295588068664,0.08424941481401522,0.10397548880428076,0.08691290393471718,1216.0,1088.0
free-271,10,1.7940682396292686,0.0,0.4631458098689715,0.03861813472273449,0.061362955486401916,0.10029660196353991,0.06446377498408158,1216.0,1088.0
free-271,11,0.8656815203527609,0.0,0.3675060737878084,0.036386361345648766,0.046135534842809044,0.09666834957897663,0.049121699606378876,1216.0,1088.0
free-271,12,0.838000855098168,0.0,0.30885908255974454,0.034643320056299366,0.03710794301393131,0.09379654377698898,0.0394428598228842,1216.0,1088.0
free-271,13,0.5623628509541353,0.0,0.2632786271472772,0.03308174922131002,0.03017788923655947,0.09123632715394099,0.03193357726559043,1216.0,1088.0
free-271,14,0.7671721701820692,0.0,0.2262036477526029,0.031651608956356846,0.024546596338041127,0.08899400228013594,0.025934327432575326,1216.0,1088.0
free-271,15,0.5858711960415045,0.0,0.19597986061125994,0.030236481145645182,0.020046134091292817,0.08666293369606137,0.02111368680683275,1216.0,1088.0
free-271,16,0.5455310307443142,0.0,0.17290419650574526,0.029018746378521126,0.01658764035285761,0.0848301670824488,0.017559903712632757,1216.0,1088.0
free-271,17,0.5662584391733011,0.0,0.1551254059498509,0.027974462291846674,0.013966479222290218,0.08308809871474902,0.014870488472903768,1216.0,1088.0
free-271,18,0.5366951090594133,0.0,0.14181192250301441,0.026951894552136462,0.012081547640264034,0.08140007359907031,0.012916899790676931,1216.0,1088.0
free-271,19,0.706892711420854,0.0,0.13247302174568176,0.025957282399758697,0.010814744300053766,0.07983902826284368,0.01166862336685881,1216.0,1088.0
free-271,20,0.7634029276669025,0.0,0.12421898047129314,0.025131675104300182,0.009668301092460752,0.07841598878925045,0.010603052796795964,1216.0,1088.0
free-271,21,0.6942032855004072,0.0,0.11760125309228897,0.024261363704378407,0.008802234525016198,0.0770564681539933,0.009801358702437332,1216.0,1088.0
free-271,22,0.8826828363041083,0.0,0.11323766658703487,0.023524795503666002,0.008301522175315768,0.0758845101421078,0.009282263597318282,1216.0,1088.0
free-271,23,1.0351090108354886,0.0,0.11120166939993699,0.022834858624264598,0.008219753877104571,0.07463810437669356,0.009084371170805147,1216.0,1088.0
free-271,24,0.7949387977520624,0.0,0.10528129898011684,0.022147791033300262,0.0074257391776579125,0.07354040102412303,0.008330175400866816,1216.0,1088.0
free-271,25,0.4849454512198766,0.0,0.10068639119466145,0.02158371052549531,0.006833828655847658,0.07250806860004862,0.007756665271396439,1216.0,1088.0
free-271,26,0.573031347244978,0.0,0.09880485075215499,0.021060746318350237,0.006717419271202137,0.07155112192655604,0.00754943360031272,1216.0,1088.0
free-271,27,0.5827181662122408,0.0,0.09624700248241425,0.02061973170687755,0.006412846172073235,0.07062609416122238,0.007331419697341819,1216.0,1088.0
free-271,28,0.4399064431587855,0.0,0.09434906952083111,0.020160547574050725,0.006292367140607287,0.06978611058245103,0.007062998639109234,1216.0,1088.0
free-271,29,0.6613858311126629,0.0,0.0932333068922162,0.019826929667033255,0.006235646045145889,0.0689435334255298,0.006996013321137677,1216.0,1088.0
free-271,30,0.5037707133839527,0.0,0.09111676706622045,0.01938502653501928,0.006044592262090494,0.06813764153048396,0.006742275843862444,1216.0,1088.0
free-271,31,0.7277961627890667,0.0,0.09081415350859363,0.019074665654140215,0.00614412819656233,0.06737216236069798,0.006738446497668822,1216.0,1088.0
free-271,32,0.4775305911898613,0.0,0.08830423218508561,0.01872396469116211,0.005830807223295172,0.06663187267258763,0.006470551442665358,1216.0,1088.0
free-271,33,0.48531725568075973,0.0,0.08706646195302407,0.01845501766850551,0.005739625446343173,0.06588963155324261,0.0063540628567958874,1216.0,1088.0
free-271,34,0.8942016487320265,0.0,0.08857985058178504,0.018230623138758045,0.006126408775647481,0.0652677402831614,0.006604860944207758,1216.0,1088.0
free-271,35,0.5474892401446899,0.0,0.08493267589559157,0.017965189336488645,0.005584857096740355,0.0646344715108474,0.006155411130748689,1216.0,1088.0
free-271,36,0.668634569272399,0.0,0.08470172978316744,0.01779224428658684,0.005654244732189302,0.06413562751064698,0.006112346425652504,1216.0,1088.0
free-271,37,0.5807463116943836,0.0,0.08400984263668458,0.017524868831969798,0.0056287472834810615,0.06346240111937125,0.006119392327188204,1216.0,1088.0
free-271,38,0.70331921428442,0.0,0.08298689716806014,0.01730982124960671,0.005558559282993277,0.06290245630467932,0.005995805278265228,1216.0,1088.0
free-271,39,0.5937463355561098,0.0,0.082143634557724,0.017141325942551095,0.005472200204773496,0.06242736506586274,0.005949912515158455,1216.0,1088.0
free-271,40,0.7962855789810419,0.0,0.08319308360417683,0.01692107824298243,0.005733612507659321,0.06190428199867407,0.006192707097701107,1216.0,1088.0
free-271,41,0.7974661805977424,0.0,0.08173463462541501,0.016711875214241445,0.005594959686277434,0.06135269192357858,0.005983287546162804,1216.0,1088.0
free-271,42,0.7120744809508324,0.0,0.08117405977100134,0.016564389574341476,0.005539007562523087,0.060883277716735996,0.006006000369476776,1216.0,1088.0
free-271,43,0.44221236432592076,0.0,0.0790813638207813,0.016362101460496586,0.005278539620727922,0.06037010555155575,0.00571002561870652,1216.0,1088.0
free-271,44,0.49727515565852326,0.0,0.0787729942239821,0.016154790452371042,0.005316515618081515,0.059822802897542715,0.0057203695566083,1216.0,1088.0
free-271,45,0.5753494836390018,0.0,0.07814167439937592,0.015984066335173946,0.005271045015736793,0.05938334157690406,0.00569087916907544,1216.0,1088.0
free-271,46,0.591600243623058,0.0,0.07804117848475774,0.015793958950477343,0.005343302444089204,0.05890680896118283,0.005710302716276298,1216.0,1088.0
free-271,47,0.6456765464196602,0.0,0.0773645310352246,0.015579652196417252,0.00530034084416305,0.05841721796120206,0.005687453298984717,1216.0,1088.0
free-271,48,0.5197134589155515,0.0,0.07608133538936575,0.01538817712571472,0.005142830612991626,0.05798029185583194,0.005565844437417884,1216.0,1088.0
residual-271,1,0.7791630222151676,0.0,0.7292260428269705,0.43210554743806523,0.01219270060149332,0.44723618154724437,0.012365803277740875,1216.0,1088.0
residual-271,2,0.4269830857714017,0.0,0.45615314443906146,0.24645087185005346,0.009491329547017813,0.30550280089179677,0.009492775755158315,1216.0,1088.0
residual-271,3,0.29001161145667237,0.0,0.24992954172194004,0.1115557976687948,0.008389114673870305,0.17556683967510858,0.00851693336153403,1216.0,1088.0
residual-271,4,0.24032282860328755,0.0,0.16072236901770035,0.05419447893897692,0.008142655754151443,0.11526723423351844,0.008161824778653681,1216.0,1088.0
residual-271,5,0.20689861724774042,0.0,0.13700625331451496,0.04043558853057524,0.007772533882719775,0.09981799932817619,0.007785764581058174,1216.0,1088.0
residual-271,6,0.18401791465779146,0.0,0.12558082987864813,0.03430635187154015,0.007576838290939729,0.09174812336762746,0.0075465316185727715,1216.0,1088.0
residual-271,7,0.18805149694283804,0.0,0.11809469107538462,0.030210411176085472,0.007419800929104288,0.08690650947391987,0.007375909830443561,1216.0,1088.0
residual-271,8,0.2383813001215458,0.0,0.11356340752293666,0.027530715024719637,0.007402219926007092,0.08337697728226583,0.007367662115332981,1216.0,1088.0
residual-271,9,0.27600036188960075,0.0,0.10975070980687936,0.02494949222697566,0.0074836237472482026,0.08006567088887095,0.007416944155314316,1216.0,1088.0
residual-271,10,0.21318342288335165,0.0,0.10467878046135108,0.023075864495088656,0.0071837524495398,0.07705521257594228,0.007170149901260932,1216.0,1088.0
residual-271,11,0.2612592289224267,0.0,0.10102237807586789,0.021537984216896195,0.007029857059630255,0.0747113567776978,0.007004643712813656,1216.0,1088.0
residual-271,12,0.21702066777894893,0.0,0.09728385508060455,0.020114108532046277,0.0068598538637161255,0.0721094321149091,0.006837807731547703,1216.0,1088.0
residual-271,13,0.21045604068785906,0.0,0.09415543762346108,0.019144478098799784,0.006680167299540092,0.07001516719659169,0.006641353965581705,1216.0,1088.0
residual-271,14,0.24336820313086113,0.0,0.09106808248907328,0.018320006512415905,0.006449362961575389,0.06810864449168245,0.006448151116880278,1216.0,1088.0
residual-271,15,0.23202232643961906,0.0,0.08803295654555161,0.017476596947138507,0.006233298995842536,0.06622981218000253,0.006254128452079992,1216.0,1088.0
residual-271,16,0.2691684157277147,0.0,0.08538735269879301,0.016842087148688734,0.006016556522808969,0.06470778693134586,0.006062572201093038,1216.0,1088.0
residual-271,17,0.37587589273850125,0.0,0.08385217810670535,0.016195490024983883,0.005988844728562981,0.06303443325062592,0.006092045669599126,1216.0,1088.0
residual-271,18,0.19390138300756612,0.0,0.07964822075640161,0.015582197345793247,0.005505600187461823,0.0614933172861735,0.0056484822028626995,1216.0,1088.0
residual-271,19,0.38368371191124123,0.0,0.07916387527560194,0.014991034986451268,0.005633293864472459,0.06005675516401728,0.005805643469405671,1216.0,1088.0
residual-271,20,0.3019252885133028,0.0,0.07618243061006069,0.01432059872119377,0.005390154585863153,0.058317423332482576,0.005571250891080126,1216.0,1088.0
residual-271,21,0.28592967707663774,0.0,0.07399238925427198,0.013795251375995576,0.005231644143350422,0.05674616410396993,0.005448739801067859,1216.0,1088.0
residual-271,22,0.5043346906701723,0.0,0.0747100580483675,0.013277289768060049,0.005575205655380462,0.05527897443001469,0.005746229726355523,1216.0,1088.0
residual-271,23,0.4609051030129194,0.0,0.07344983316337068,0.012886316631920636,0.005526685524576654,0.05410741580029329,0.005701533266498397,1216.0,1088.0
residual-271,24,0.23640335320184627,0.0,0.06950248964130878,0.012475374445784837,0.005042127876852949,0.05259274768953522,0.005281114756750564,1216.0,1088.0
residual-271,25,0.19343845608333746,0.0,0.06760626394922535,0.012041454203426838,0.004914939248313506,0.05114002937140564,0.005167519052823384,1216.0,1088.0
residual-271,26,0.2519424908484022,0.0,0.06670862948521972,0.011604477205158522,0.004949707644603525,0.04981869847203294,0.005197985980582113,1216.0,1088.0
residual-271,27,0.2721342357496421,0.0,0.06558641170461972,0.01137473655398935,0.004897970648016781,0.04867573160057267,0.0051409630686976016,1216.0,1088.0
residual-271,28,0.1857832238698999,0.0,0.06395236899455388,0.011030556653471043,0.0047600788238924,0.04758380547476312,0.005044797464506701,1216.0,1088.0
residual-271,29,0.3611287772655487,0.0,0.06405484008913238,0.010780588898342103,0.004910140026671191,0.04662304480249683,0.00516108416680557,1216.0,1088.0
residual-271,30,0.2867355855802695,0.0,0.06293419282883406,0.010716234295008084,0.004765054938616231,0.04617276508361101,0.005035678157582879,1216.0,1088.0
residual-271,31,0.32175194658339024,0.0,0.06217460675785939,0.010553177155088633,0.00474409997696057,0.045265349481875695,0.005006177544904252,1216.0,1088.0
residual-271,32,0.26032047253102064,0.0,0.06040755147114396,0.01001222189127778,0.004654918807015444,0.04376318375580013,0.004947030936212589,1216.0,1088.0
residual-271,33,0.2648775565127532,0.0,0.059437506987402834,0.009737391335268816,0.004625879160206144,0.04278839022542039,0.004901201978403454,1216.0,1088.0
residual-271,34,0.30816388688981533,0.0,0.05900007455299298,0.00955523643642664,0.004651751087900872,0.04203569896829625,0.004909991703849907,1216.0,1088.0
residual-271,35,0.25296944348762435,0.0,0.057203616481274366,0.009276992175728083,0.004503751969120155,0.04067572524460653,0.004786876854874815,1216.0,1088.0
residual-271,36,0.28641553471485776,0.0,0.05671947216615081,0.009111913425537447,0.004516499223730837,0.039930658182129264,0.004788116270598645,1216.0,1088.0
residual-271,37,0.312313253680865,0.0,0.055836168583482504,0.008737904330094656,0.004537310790813838,0.03861612764497598,0.0048204784883031,1216.0,1088.0
residual-271,38,0.24206514904896417,0.0,0.05357131579269966,0.008296326404282203,0.004369555477751419,0.036921383968243994,0.004668037814553827,1216.0,1088.0
residual-271,39,0.23025701629618803,0.0,0.052363592044760786,0.008013229448503504,0.004349281361404185,0.035351218500485025,0.004638813833783691,1216.0,1088.0
residual-271,40,0.321322251111269,0.0,0.05119852349162102,0.007663212522553901,0.004394612061635901,0.03318927933772405,0.004681112147712459,1216.0,1088.0
residual-271,41,0.28428799162308377,0.0,0.04882205308725437,0.0072228891658596694,0.004318361607147381,0.030231505826426048,0.004604982124874368,1216.0,1088.0
residual-271,42,0.3034269002576669,0.0,0.046687551153202854,0.006754416041076183,0.00429163096123375,0.027197933988645673,0.004583822252849738,1216.0,1088.0
residual-271,43,0.2424855629603068,0.0,0.0439448895243307,0.006193950665571417,0.004153177927946672,0.024526087373184662,0.004437591996975243,1216.0,1088.0
residual-271,44,0.2553353440016508,0.0,0.04233980023612579,0.005814720585476607,0.004124935978325084,0.022399211457620066,0.004412864916957915,1216.0,1088.0
residual-271,45,0.4135555687050025,0.0,0.04266107780858874,0.005648022022796795,0.004316315384736906,0.021189739927649498,0.004576461768010631,1216.0,1088.0
residual-271,46,0.37036976031959057,0.0,0.04125323169864714,0.005564606932845588,0.004165602974050368,0.020314976301354665,0.004434362257597968,1216.0,1088.0
residual-271,47,0.24203596729785204,0.0,0.0386205850324283,0.004903560523719837,0.00401314008437718,0.01808974794888248,0.0043097950498728705,1216.0,1088.0
residual-271,48,0.20498912843565145,0.0,0.03687049626993636,0.004520715350129952,0.0039219565417928,0.016465813115549583,0.004214524456377451,1216.0,1088.0
residual-283,1,0.529844052468737,0.0,0.7050603454311689,0.4219873311618964,0.01052575643795232,0.4393296241760254,0.010652589650514225,1216.0,1088.0
residual-283,2,0.4077211158970992,0.0,0.43041998396317166,0.2309433575719595,0.009192579639299462,0.28825974836945534,0.00928821659181267,1216.0,1088.0
residual-283,3,0.3777695242315531,0.0,0.2498417068272829,0.11179576721042395,0.008602952371196201,0.17253936361521482,0.008682224608492106,1216.0,1088.0
residual-283,4,0.26972281870742637,0.0,0.16803821052114168,0.05939336493611336,0.008148611930664629,0.11940976480642955,0.008172757593759647,1216.0,1088.0
residual-283,5,0.24636054007957378,0.0,0.13990035435805717,0.04229473082038263,0.007830715932262441,0.10116147777686517,0.00785101018846035,1216.0,1088.0
residual-283,6,0.21903530849764744,0.0,0.1273201216633121,0.03533896144169072,0.007571107397476832,0.0930861160159111,0.0075768364282945795,1216.0,1088.0
residual-283,7,0.208745615867277,0.0,0.11901652999222279,0.030815339492013056,0.007397719658911228,0.0875489901130398,0.007417908811476082,1216.0,1088.0
residual-283,8,0.22872125481565794,0.0,0.11279780697077513,0.02736739224443833,0.007304964839325597,0.08314578514546156,0.007318830719062437,1216.0,1088.0
residual-283,9,0.2674899796644847,0.0,0.10776350491990645,0.024766863129722577,0.007207620578507583,0.07943816451976697,0.0072235391902116435,1216.0,1088.0
residual-283,10,0.23646558510760465,0.0,0.10342738684266806,0.02266976679675281,0.0070886250856953366,0.07646346635495622,0.00708569345685343,1216.0,1088.0
residual-283,11,0.2811565749968092,0.0,0.09998501309504111,0.021245082762713235,0.006960731872823089,0.07383250740046303,0.006990374686817328,1216.0,1088.0
residual-283,12,0.4088923179854949,0.0,0.09790666975701849,0.020017979045708973,0.007024964938561122,0.07138720038346946,0.007047615227444719,1216.0,1088.0
residual-283,13,0.3343410377080242,0.0,0.0938863813256224,0.018981993043174345,0.006694460617533575,0.06924509365732472,0.006751999453020592,1216.0,1088.0
residual-283,14,0.30081738252192736,0.0,0.09111141071965297,0.018322661286219954,0.006470052408985794,0.06763974763453007,0.006544332912502189,1216.0,1088.0
residual-283,15,0.3226307878891627,0.0,0.08830649312585592,0.017541974627723295,0.006288579626319309,0.06567648782705267,0.006385978311300278,1216.0,1088.0
residual-283,16,0.2528302955130736,0.0,0.08508076844736934,0.016878833800243836,0.005969343687562893,0.06419974068800609,0.006112345319706947,1216.0,1088.0
residual-283,17,0.2166263312101364,0.0,0.08236228115856647,0.0162855617236346,0.005731249790793906,0.06262564628074567,0.005919448526886602,1216.0,1088.0
residual-283,18,0.3041667335977157,0.0,0.08034856695060928,0.015694946011838812,0.005622438834204028,0.06108370842412114,0.005811005791959663,1216.0,1088.0
residual-283,19,0.24734429735690355,0.0,0.07848725561052561,0.015231878069850305,0.005489084733805309,0.05974843601385752,0.00571241076492394,1216.0,1088.0
residual-283,20,0.3570322934538126,0.0,0.07688423059880733,0.014721160676951209,0.005444783911419411,0.05818454781547189,0.005645830029000838,1216.0,1088.0
residual-283,21,0.25510028035690385,0.0,0.07495253036419551,0.014282744416656593,0.005280446455193062,0.05703562482570609,0.005515093992774685,1216.0,1088.0
residual-283,22,0.30446104301760596,0.0,0.07330186618492007,0.013733557114998499,0.005224993345715727,0.05552751858097812,0.005452288421414171,1216.0,1088.0
residual-283,23,0.2425098648915688,0.0,0.07127563608810306,0.013253842868531743,0.005090339594365408,0.0539708222883443,0.0053375122758249445,1216.0,1088.0
residual-283,24,0.3067288203164935,0.0,0.07008780725300312,0.012604429192530612,0.005132188807086398,0.05245529992195467,0.005363486396769683,1216.0,1088.0
residual-283,25,0.4467616217831771,0.0,0.07024926894033949,0.012327123704987267,0.005274364162081231,0.051683539214233555,0.005491459703383346,1216.0,1088.0
residual-283,26,0.3901328307886918,0.0,0.0686449872640272,0.01195115823065862,0.005164032239311685,0.05055151631434759,0.005380971134097005,1216.0,1088.0
residual-283,27,0.25707809285571176,0.0,0.06609233344594638,0.011547702636259297,0.004896966594969854,0.049332100665196776,0.005145356806072717,1216.0,1088.0
residual-283,28,0.28020286684234935,0.0,0.06538054735089342,0.01122159588461121,0.004925408225972205,0.048263460863381624,0.005162794152662779,1216.0,1088.0
residual-283,29,0.25369324659307796,0.0,0.06441592192277312,0.011148531125703206,0.004804828863901396,0.04790167991692821,0.005048617846720542,1216.0,1088.0
