name,actual,direction,passed,threshold
physics_ordinary_vs_zero,7.505277420495723,le,True,10.552751401917659
residual-271/ordinary/vs_zero,11.284419334009463,le,False,10.552751401917659
residual-271/ordinary/vs_paired_free,11.284419334009463,lt,True,11.570778263951254
residual-283/ordinary/vs_zero,10.788643682923071,le,False,10.552751401917659
residual-283/ordinary/vs_paired_free,10.788643682923071,lt,True,11.569238200447808
residual-293/ordinary/vs_zero,11.72470679982494,le,False,10.552751401917659
residual-293/ordinary/vs_paired_free,11.72470679982494,lt,True,11.725332062558055
residual/ordinary/mean_vs_free,11.265923272252492,le,False,11.040693700203086
residual-271/shift/vs_zero,11.26666045123075,le,False,10.552751401917659
residual-271/shift/vs_paired_free,11.26666045123075,lt,True,11.54054655721842
residual-283/shift/vs_zero,10.95300758337968,le,False,10.552751401917659
residual-283/shift/vs_paired_free,10.95300758337968,lt,True,11.600225191620972
residual-293/shift/vs_zero,11.700721728960119,le,False,10.552751401917659
residual-293/shift/vs_paired_free,11.700721728960119,lt,True,11.725332062558055
residual/shift/mean_vs_free,11.30679658785685,le,False,11.040932873609188
residual/reward_mse_vs_free,0.00440040653935657,le,True,0.005603836998787374
residual/one_step_angle_noninferiority,0.006150335624878188,le,True,0.017211139669366722
