panel,controller,mean_native_cost
full,residual_gru-pair0,5.463771851809923
full,two_observation_gru-pair0,5.318553925943688
full,cached_gru-pair0,7.281220370835396
full,residual_gru-pair1,5.530964715462564
full,two_observation_gru-pair1,5.677098445990085
full,cached_gru-pair1,7.3233891690970765
full,residual_gru-pair2,4.8798246104716
full,two_observation_gru-pair2,5.059890241497566
full,cached_gru-pair2,7.263192873742297
full,known_state,4.478740709965988
full,particle,4.598499408634293
full,public_kinematic,4.501670378000601
full,zero,11.052548605800183
full,uniform,42.578826266928715
ordinary,residual_gru-pair0,5.462463921792953
ordinary,two_observation_gru-pair0,5.730608646082577
ordinary,cached_gru-pair0,7.74031812721018
ordinary,residual_gru-pair1,5.7893686467366186
ordinary,two_observation_gru-pair1,5.966766899114951
ordinary,cached_gru-pair1,7.90152313939839
ordinary,residual_gru-pair2,4.995657723597201
ordinary,two_observation_gru-pair2,5.305696634466646
ordinary,cached_gru-pair2,7.764029632311205
ordinary,known_state,4.478740709965988
ordinary,particle,4.636065187967347
ordinary,public_kinematic,4.522095876275381
ordinary,zero,11.052548605800183
ordinary,uniform,42.578826266928715
shift,residual_gru-pair0,5.9324312182742265
shift,two_observation_gru-pair0,6.185589614916211
shift,cached_gru-pair0,7.975889633843252
shift,residual_gru-pair1,6.286181325178216
shift,two_observation_gru-pair1,6.347015493599676
shift,cached_gru-pair1,8.266642644475333
shift,residual_gru-pair2,5.460856720258676
shift,two_observation_gru-pair2,5.68225113370726
shift,cached_gru-pair2,8.069951880975257
shift,known_state,4.478740709965988
shift,particle,4.773625308614943
shift,public_kinematic,4.643636010803164
shift,zero,11.052548605800183
shift,uniform,42.578826266928715
