time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1,8.292727272727273,2,92.18181818181819,1024,408,,,,,,,,,,
2,7.6836363636363645,5,89.0909090909091,2048,400,0.4946921169757843,0.2,1.1261864099651575,-0.6877021178603172,0.014686882495880127,0.01295374,0.0003,0.01181640625,10,-0.001822909669135697
3,7.854411764705881,7,90.23529411764706,3072,394,0.17136339843273163,0.2,0.7141612522304058,-0.6607641629874706,0.5996848940849304,0.012185164,0.0003,0.0150390625,20,-0.0012361806875560433
4,7.681555555555556,10,90.44444444444444,4096,391,0.1308409422636032,0.2,0.4070825736038387,-0.6691620659083128,0.8158386945724487,0.0060664844,0.0003,0.02900390625,30,-0.0035315032524522393
5,7.620701754385966,13,89.75438596491227,5120,385,0.09870355576276779,0.2,0.341585564147681,-0.6884738951921463,0.9172421097755432,0.010367979,0.0003,0.07001953125,40,-0.007322115363785997
6,7.628235294117648,15,89.36764705882354,6144,388,0.3543790876865387,0.2,0.8007005108520389,-0.6915965367108583,0.8536511659622192,0.0010261803,0.0003,0.0,50,-0.00046379106352105736
7,7.703164556962026,18,90.0379746835443,7168,387,0.243196040391922,0.2,0.6808580603450537,-0.6910520795732736,0.8723450899124146,0.0014224211,0.0003,0.0,60,-0.001612913390272297
8,7.713296703296703,21,89.27472527472527,8192,388,0.20282995700836182,0.2,0.4905351333320141,-0.6877888463437557,0.9155713319778442,0.0077929725,0.0003,0.0,70,-0.00025726218591444195
9,7.590800000000001,23,88.07,9216,387,0.31645336747169495,0.2,0.6123525744304061,-0.6691688813269139,0.8855606317520142,0.0071965917,0.0003,0.0087890625,80,-0.0016274726367555559
10,7.6704,26,88.49,10240,391,0.8200789093971252,0.2,1.5419837463647128,-0.6776188112795353,0.664056658744812,0.0079705175,0.0003,0.06845703125,90,-0.005810218554688618
11,7.6149000000000004,28,87.76,11264,390,0.17517268657684326,0.2,0.4331635802984238,-0.6794587895274162,0.8980255722999573,0.012382714,0.0003,0.04677734375,100,-0.005041485582478344
12,7.625399999999998,31,87.25,12288,392,0.15949952602386475,0.2,0.623365562222898,-0.6762880496680737,0.8786157965660095,0.008122651,0.0003,0.00546875,110,-0.0005447935138363392
13,7.8659,33,89.08,13312,391,0.16395115852355957,0.2,0.5465322256088256,-0.6671428374946118,0.90073162317276,0.007746943,0.0003,0.01015625,120,-0.0027686200744938107
14,7.9754,36,90.46,14336,394,0.2271205335855484,0.2,0.4322614667005837,-0.6598755292594433,0.9220374822616577,0.0065075913,0.0003,0.0435546875,130,-0.002886518050218001
15,7.880699999999999,38,88.99,15360,394,0.11768931895494461,0.2,0.3451656066812575,-0.6495229355990887,0.9452772736549377,0.003294888,0.0003,0.01435546875,140,-0.0026658169692382215
16,8.1022,41,90.33,16384,395,0.421253502368927,0.2,0.8098758310079575,-0.649992884323001,0.8689232468605042,0.0040680342,0.0003,0.00478515625,150,-0.0008957765734521672
17,8.186900000000001,43,91.32,17408,397,0.14197589457035065,0.2,0.48138571064919233,-0.629717268049717,0.9323663115501404,0.013196834,0.0003,0.05546875,160,-0.003843094513285905
18,8.1427,46,91.23,18432,395,0.2215578705072403,0.2,0.5628331888467073,-0.603041734546423,0.9178732633590698,0.0047900626,0.0003,0.03310546875,170,-0.004591433124733158
19,8.123899999999999,49,90.68,19456,396,0.3531855046749115,0.2,0.7557756051421165,-0.6179161421954632,0.8695650696754456,0.009436978,0.0003,0.07392578125,180,-0.007777093746699393
20,8.2608,51,91.89,20480,397,0.24290482699871063,0.2,0.5104719841852784,-0.5879849713295698,0.9132903814315796,0.0022614445,0.0003,0.0203125,190,-0.0009896020055748522
21,8.3074,54,92.55,21504,398,0.19599471986293793,0.2,0.6528767097741366,-0.5789164043962955,0.8902345895767212,0.0037763985,0.0003,0.0310546875,200,-0.0012370416021440177
22,8.286400000000002,56,91.69,22528,397,0.18231654167175293,0.2,0.43693298250436785,-0.6013085518032313,0.9320343732833862,0.0034011097,0.0003,0.030078125,210,-0.0005279493794660084
23,8.1108,59,89.63,23552,397,0.22994893789291382,0.2,0.539203392341733,-0.5761537864804268,0.909514307975769,0.004752877,0.0003,0.01005859375,220,-0.0013988923921715469
24,8.268699999999999,61,91.43,24576,399,0.3246006965637207,0.2,0.6062847183085978,-0.5768843282014131,0.8963779211044312,0.0061220536,0.0003,0.0560546875,230,-0.001954685538657941
25,8.134599999999999,64,90.43,25600,399,0.49277395009994507,0.2,0.5762038063257933,-0.5586849130690098,0.9054631590843201,0.009900329,0.0003,0.03681640625,240,-0.0019208381010685116
26,8.3331,66,92.33,26624,400,0.23647618293762207,0.2,0.5519982682541013,-0.5470065239816904,0.9193216562271118,0.0010056067,0.0003,0.0021484375,250,0.00043657055211951954
27,8.453100000000001,69,92.94,27648,399,0.14844758808612823,0.2,0.33429976971819997,-0.5245684461668134,0.9527053236961365,0.0076848026,0.0003,0.06220703125,260,-0.0033849222847493364
28,8.5186,71,93.86,28672,400,0.28553566336631775,0.2,0.4947569999843836,-0.5580039931461215,0.9195505380630493,0.0014745664,0.0003,0.05419921875,270,-0.003838609822560102
29,8.6032,74,94.65,29696,400,0.1283697783946991,0.2,0.39998295353725555,-0.5545133501291275,0.937645673751831,0.0072480533,0.0003,0.050390625,280,-0.0020517977012787015
30,8.5298,76,94.49,30720,401,0.2289706915616989,0.2,0.5865530010312796,-0.5764676608145237,0.9174612760543823,0.0039868196,0.0003,0.02841796875,290,-0.003966353979194537
