time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1,8.291818181818183,2,92.18181818181819,1024,398,,,,,,,,,,
2,7.726521739130435,5,87.91304347826087,2048,395,0.39783236384391785,0.2,0.9853041633963585,-0.68877755664289,0.05737370252609253,0.010813948,0.0003,0.00791015625,10,-0.0019726112019270658
3,7.883939393939395,7,89.48484848484848,3072,407,0.2696494162082672,0.2,0.7021237175911665,-0.6905404351651668,0.6302250623703003,0.013292074,0.0003,0.10498046875,20,-0.007714945069164969
4,7.594042553191488,10,86.93617021276596,4096,396,0.3811219334602356,0.2,0.6252068500965834,-0.6846491888165473,0.8018306493759155,0.00810571,0.0003,0.0275390625,30,-0.002443097752984613
5,7.785517241379311,12,87.98275862068965,5120,399,0.46613067388534546,0.2,0.8487947441637516,-0.6720493108034133,0.8024238348007202,0.009682651,0.0003,0.0302734375,40,-0.0037485935288714247
6,7.570714285714288,15,86.65714285714286,6144,399,0.6069921851158142,0.2,0.8970875538885593,-0.6775351114571094,0.8283284902572632,0.008698548,0.0003,0.04375,50,-0.005904206802370027
7,7.45710843373494,18,85.855421686747,7168,398,0.44984009861946106,0.2,0.7694345619529486,-0.6726484082639217,0.8237050175666809,0.0069942446,0.0003,0.018359375,60,-0.003524323442252353
8,7.533617021276594,20,87.12765957446808,8192,400,0.23232576251029968,0.2,0.9135066993534565,-0.6715454295277595,0.8114079236984253,0.0071498724,0.0003,0.02314453125,70,-0.00253955250227591
9,7.5501,22,87.75,9216,402,0.23043549060821533,0.2,0.4961566377431154,-0.6691827598959208,0.8918917179107666,0.004005119,0.0003,0.014453125,80,-0.004230973706580698
10,7.4715,25,87.32,10240,403,0.25675904750823975,0.2,0.5968677716329693,-0.6702395796775817,0.9023798704147339,0.000780992,0.0003,0.0166015625,90,-0.002183684299234301
11,7.653300000000001,27,88.94,11264,403,0.165616974234581,0.2,0.454031427949667,-0.6590386632829904,0.9172844290733337,0.012851694,0.0003,0.1388671875,100,-0.014690159657038748
12,7.6273,30,88.69,12288,401,0.2715499699115753,0.2,0.44104430358856916,-0.6583484314382076,0.9219469428062439,0.010714289,0.0003,0.07607421875,110,-0.00825829329842236
13,7.565599999999998,33,88.05,13312,398,0.39396607875823975,0.2,0.6885085523128509,-0.650375609844923,0.893199622631073,0.0031708698,0.0003,0.0283203125,120,-0.003131592710269615
14,7.570499999999999,35,89.24,14336,400,0.3317428231239319,0.2,0.8636717801913619,-0.6472804442048072,0.8534082174301147,0.0061416393,0.0003,0.02568359375,130,-0.0024152523692464456
15,7.6404,38,89.57,15360,399,0.17765478789806366,0.2,0.5748234853148461,-0.612885071337223,0.8852431774139404,0.005599132,0.0003,0.07294921875,140,-0.004704644120647572
16,7.704699999999999,40,89.96,16384,400,0.33651429414749146,0.2,0.5898310909047723,-0.6270545423030853,0.8877142667770386,0.006015599,0.0003,0.06533203125,150,-0.006365429743891582
17,7.744299999999999,43,89.78,17408,399,0.14685779809951782,0.2,0.3979813537560403,-0.5877883344888687,0.9284802675247192,0.006332293,0.0003,0.03818359375,160,-0.006889384385431185
18,7.746499999999998,45,89.67,18432,401,0.32298359274864197,0.2,0.5193983417935669,-0.6079433094710112,0.9148696660995483,0.0058957795,0.0003,0.0546875,170,-0.004922881798120215
19,7.831199999999999,48,90.02,19456,401,0.25306570529937744,0.2,0.5288355633616447,-0.5925376750528812,0.9069923758506775,0.011306014,0.0003,0.08349609375,180,-0.010850569925969467
20,7.824300000000001,50,90.14,20480,403,0.24756817519664764,0.2,0.5711421109735966,-0.5747035447508096,0.9023505449295044,0.008840064,0.0003,0.108984375,190,-0.008888372205547057
21,7.925599999999999,53,90.8,21504,402,0.08122377097606659,0.2,0.24471255224198102,-0.5553174247965217,0.9554341435432434,0.005755743,0.0003,0.04697265625,200,-0.003852916628238745
22,8.058,55,91.98,22528,403,0.29475605487823486,0.2,0.5346834069117904,-0.5607779551297426,0.91036456823349,0.004665031,0.0003,0.0236328125,210,-0.001569796196417883
23,8.261700000000001,58,92.07,23552,404,0.3606244921684265,0.2,0.6854057451710105,-0.5566318452358245,0.8785873651504517,0.00694204,0.0003,0.039453125,220,-0.004624838157906197
24,8.517,60,94.03,24576,405,0.13966357707977295,0.2,0.3676819486543536,-0.5492892945185304,0.9265353679656982,0.0062759435,0.0003,0.0177734375,230,-0.00159623367653694
25,8.654200000000001,62,94.92,25600,406,0.18287502229213715,0.2,0.4814260181039572,-0.5407490573823452,0.9233636856079102,0.007941504,0.0003,0.07900390625,240,-0.0064959323586663235
26,8.777900000000002,65,96.14,26624,407,0.0924525111913681,0.2,0.3566472708247602,-0.5117306163534522,0.9440547823905945,0.009166658,0.0003,0.0384765625,250,-0.0030766167445108296
27,8.8521,67,96.23,27648,407,0.1457330584526062,0.2,0.3312417888082564,-0.47763157095760106,0.948989987373352,0.002756359,0.0003,0.03349609375,260,-0.004306116071529686
28,9.074000000000002,70,97.33,28672,408,0.2545665502548218,0.2,0.6158591913059354,-0.4899841846898198,0.894713282585144,0.0036039976,0.0003,0.0384765625,270,-0.002712208637967706
29,9.1658,72,97.83,29696,409,0.3066713213920593,0.2,0.7082490988075734,-0.46194282565265893,0.8754652738571167,0.004822109,0.0003,0.0482421875,280,-0.004134336864808574
30,8.826799999999999,75,95.04,30720,408,0.2980409860610962,0.2,0.6389808557927609,-0.4537253240123391,0.8837836980819702,0.0062425598,0.0003,0.06513671875,290,-0.005030114197870717
31,9.014899999999999,77,96.76,31744,409,0.3174194395542145,0.2,0.7353508248925209,-0.49206147734075784,0.8474124670028687,0.0031138356,0.0003,0.01435546875,300,-0.0019174203524016775
32,9.067400000000003,79,97.48,32768,409,0.24120287597179413,0.2,0.4406825790181756,-0.47612598482519386,0.9113233089447021,0.0055571944,0.0003,0.0384765625,310,-0.002417619479820132
