initialization,arm,mode,size,success,wrong_goal,timeout,mean_return,mean_length
original,fast_global,cue_swapped,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
original,fast_global,cue_swapped,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
original,fast_global,cue_swapped,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
original,fast_global,intact,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
original,fast_global,intact,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
original,fast_global,intact,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
original,fast_global,native_start,11,0.171875,0.16145833333333334,0.6666666666666666,0.16315917968750002,87.76302083333333
original,fast_global,native_start,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16865030924479166,88.84895833333333
original,fast_global,native_start,23,0.1640625,0.16927083333333334,0.6666666666666666,0.150091552734375,89.57552083333333
original,fast_global,reset_all,11,0.0,0.0,1.0,0.0,128.0
original,fast_global,reset_all,17,0.0,0.0,1.0,0.0,128.0
original,fast_global,reset_all,23,0.0,0.0,1.0,0.0,128.0
original,fast_global,reset_store,11,0.0,0.0,1.0,0.0,128.0
original,fast_global,reset_store,17,0.0,0.0,1.0,0.0,128.0
original,fast_global,reset_store,23,0.0,0.0,1.0,0.0,128.0
original,fast_selective,cue_swapped,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
original,fast_selective,cue_swapped,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
original,fast_selective,cue_swapped,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
original,fast_selective,intact,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
original,fast_selective,intact,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
original,fast_selective,intact,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
original,fast_selective,native_start,11,0.171875,0.16145833333333334,0.6666666666666666,0.164202880859375,87.48958333333333
original,fast_selective,native_start,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.1692545572916667,88.69270833333333
original,fast_selective,native_start,23,0.1640625,0.16927083333333334,0.6666666666666666,0.15089721679687498,89.40364583333333
original,fast_selective,reset_all,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
original,fast_selective,reset_all,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
original,fast_selective,reset_all,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
original,fast_selective,reset_store,11,0.171875,0.16145833333333334,0.6666666666666666,0.1597900390625,88.66666666666667
original,fast_selective,reset_store,17,0.18229166666666666,0.15104166666666666,0.6666666666666666,0.16178385416666666,90.66666666666667
original,fast_selective,reset_store,23,0.1640625,0.16927083333333334,0.6666666666666666,0.13868408203125002,92.66666666666667
original,feedforward,cue_swapped,11,0.0,0.0,1.0,0.0,128.0
