arm,seed,mode,size,assigned_pairs,identical_saved_episode_records
fast_global,101,reset_all,11,128,128
fast_global,101,reset_all,17,128,128
fast_global,101,reset_all,23,128,128
fast_global,101,cue_swapped,11,128,128
fast_global,101,cue_swapped,17,128,128
fast_global,101,cue_swapped,23,128,128
fast_global,101,native_start,11,128,13
fast_global,101,native_start,17,128,7
fast_global,101,native_start,23,128,6
fast_global,101,reset_store,11,128,128
fast_global,101,reset_store,17,128,128
fast_global,101,reset_store,23,128,128
fast_global,113,reset_all,11,128,128
fast_global,113,reset_all,17,128,128
fast_global,113,reset_all,23,128,128
fast_global,113,cue_swapped,11,128,128
fast_global,113,cue_swapped,17,128,128
fast_global,113,cue_swapped,23,128,128
fast_global,113,native_start,11,128,13
fast_global,113,native_start,17,128,7
fast_global,113,native_start,23,128,6
fast_global,113,reset_store,11,128,0
fast_global,113,reset_store,17,128,0
fast_global,113,reset_store,23,128,0
fast_global,127,reset_all,11,128,128
fast_global,127,reset_all,17,128,128
fast_global,127,reset_all,23,128,128
fast_global,127,cue_swapped,11,128,128
fast_global,127,cue_swapped,17,128,128
fast_global,127,cue_swapped,23,128,128
fast_global,127,native_start,11,128,13
fast_global,127,native_start,17,128,7
fast_global,127,native_start,23,128,6
fast_global,127,reset_store,11,128,128
fast_global,127,reset_store,17,128,128
fast_global,127,reset_store,23,128,128
fast_selective,101,reset_all,11,128,128
fast_selective,101,reset_all,17,128,128
fast_selective,101,reset_all,23,128,128
fast_selective,101,cue_swapped,11,128,128
fast_selective,101,cue_swapped,17,128,128
fast_selective,101,cue_swapped,23,128,128
fast_selective,101,native_start,11,128,13
fast_selective,101,native_start,17,128,7
fast_selective,101,native_start,23,128,6
fast_selective,101,reset_store,11,128,128
fast_selective,101,reset_store,17,128,128
fast_selective,101,reset_store,23,128,128
fast_selective,113,reset_all,11,128,128
fast_selective,113,reset_all,17,128,128
fast_selective,113,reset_all,23,128,128
fast_selective,113,cue_swapped,11,128,128
fast_selective,113,cue_swapped,17,128,128
fast_selective,113,cue_swapped,23,128,128
fast_selective,113,native_start,11,128,13
fast_selective,113,native_start,17,128,7
fast_selective,113,native_start,23,128,6
fast_selective,113,reset_store,11,128,128
fast_selective,113,reset_store,17,128,128
fast_selective,113,reset_store,23,128,128
fast_selective,127,reset_all,11,128,128
fast_selective,127,reset_all,17,128,128
fast_selective,127,reset_all,23,128,128
fast_selective,127,cue_swapped,11,128,128
fast_selective,127,cue_swapped,17,128,128
fast_selective,127,cue_swapped,23,128,128
fast_selective,127,native_start,11,128,13
fast_selective,127,native_start,17,128,7
fast_selective,127,native_start,23,128,6
fast_selective,127,reset_store,11,128,128
fast_selective,127,reset_store,17,128,128
fast_selective,127,reset_store,23,128,128
feedforward,101,reset_all,11,128,128
feedforward,101,reset_all,17,128,128
feedforward,101,reset_all,23,128,128
feedforward,101,cue_swapped,11,128,128
feedforward,101,cue_swapped,17,128,128
feedforward,101,cue_swapped,23,128,128
feedforward,101,native_start,11,128,13
feedforward,101,native_start,17,128,7
feedforward,101,native_start,23,128,6
feedforward,113,reset_all,11,128,128
feedforward,113,reset_all,17,128,128
feedforward,113,reset_all,23,128,128
feedforward,113,cue_swapped,11,128,128
feedforward,113,cue_swapped,17,128,128
feedforward,113,cue_swapped,23,128,128
feedforward,113,native_start,11,128,13
feedforward,113,native_start,17,128,7
feedforward,113,native_start,23,128,6
feedforward,127,reset_all,11,128,128
feedforward,127,reset_all,17,128,128
feedforward,127,reset_all,23,128,128
feedforward,127,cue_swapped,11,128,128
feedforward,127,cue_swapped,17,128,128
feedforward,127,cue_swapped,23,128,128
feedforward,127,native_start,11,128,13
feedforward,127,native_start,17,128,7
feedforward,127,native_start,23,128,6
gru,101,reset_all,11,128,128
gru,101,reset_all,17,128,128
gru,101,reset_all,23,128,128
gru,101,cue_swapped,11,128,128
gru,101,cue_swapped,17,128,128
gru,101,cue_swapped,23,128,128
gru,101,native_start,11,128,128
gru,101,native_start,17,128,128
gru,101,native_start,23,128,128
gru,113,reset_all,11,128,128
gru,113,reset_all,17,128,128
gru,113,reset_all,23,128,128
gru,113,cue_swapped,11,128,128
gru,113,cue_swapped,17,128,128
gru,113,cue_swapped,23,128,128
gru,113,native_start,11,128,128
gru,113,native_start,17,128,128
gru,113,native_start,23,128,128
gru,127,reset_all,11,128,128
gru,127,reset_all,17,128,128
gru,127,reset_all,23,128,128
gru,127,cue_swapped,11,128,128
gru,127,cue_swapped,17,128,128
gru,127,cue_swapped,23,128,128
gru,127,native_start,11,128,13
gru,127,native_start,17,128,7
gru,127,native_start,23,128,6
