arm,seed,mode,size,original_success,zero_success,success_difference,assigned_pairs,original_only_success,zero_only_success
fast_global,101,cue_swapped,11,0.0,0.484375,0.484375,128,0,62
fast_global,101,cue_swapped,17,0.0,0.453125,0.453125,128,0,58
fast_global,101,cue_swapped,23,0.0,0.5078125,0.5078125,128,0,65
fast_global,101,intact,11,0.0,0.484375,0.484375,128,0,62
fast_global,101,intact,17,0.0,0.453125,0.453125,128,0,58
fast_global,101,intact,23,0.0,0.5078125,0.5078125,128,0,65
fast_global,101,native_start,11,0.0,0.484375,0.484375,128,0,62
fast_global,101,native_start,17,0.0,0.453125,0.453125,128,0,58
fast_global,101,native_start,23,0.0,0.5078125,0.5078125,128,0,65
fast_global,101,reset_all,11,0.0,0.484375,0.484375,128,0,62
fast_global,101,reset_all,17,0.0,0.453125,0.453125,128,0,58
fast_global,101,reset_all,23,0.0,0.5078125,0.5078125,128,0,65
fast_global,101,reset_store,11,0.0,0.484375,0.484375,128,0,62
fast_global,101,reset_store,17,0.0,0.453125,0.453125,128,0,58
fast_global,101,reset_store,23,0.0,0.5078125,0.5078125,128,0,65
fast_global,113,cue_swapped,11,0.0,0.515625,0.515625,128,0,66
fast_global,113,cue_swapped,17,0.0,0.546875,0.546875,128,0,70
fast_global,113,cue_swapped,23,0.0,0.4921875,0.4921875,128,0,63
fast_global,113,intact,11,0.0,0.515625,0.515625,128,0,66
fast_global,113,intact,17,0.0,0.546875,0.546875,128,0,70
fast_global,113,intact,23,0.0,0.4921875,0.4921875,128,0,63
fast_global,113,native_start,11,0.0,0.515625,0.515625,128,0,66
fast_global,113,native_start,17,0.0,0.546875,0.546875,128,0,70
fast_global,113,native_start,23,0.0,0.4921875,0.4921875,128,0,63
fast_global,113,reset_all,11,0.0,0.515625,0.515625,128,0,66
fast_global,113,reset_all,17,0.0,0.546875,0.546875,128,0,70
fast_global,113,reset_all,23,0.0,0.4921875,0.4921875,128,0,63
fast_global,113,reset_store,11,0.0,0.0,0.0,128,0,0
fast_global,113,reset_store,17,0.0,0.0,0.0,128,0,0
fast_global,113,reset_store,23,0.0,0.0,0.0,128,0,0
fast_global,127,cue_swapped,11,0.515625,0.515625,0.0,128,0,0
fast_global,127,cue_swapped,17,0.546875,0.546875,0.0,128,0,0
fast_global,127,cue_swapped,23,0.4921875,0.4921875,0.0,128,0,0
fast_global,127,intact,11,0.515625,0.515625,0.0,128,0,0
fast_global,127,intact,17,0.546875,0.546875,0.0,128,0,0
fast_global,127,intact,23,0.4921875,0.4921875,0.0,128,0,0
fast_global,127,native_start,11,0.515625,0.515625,0.0,128,0,0
fast_global,127,native_start,17,0.546875,0.546875,0.0,128,0,0
fast_global,127,native_start,23,0.4921875,0.4921875,0.0,128,0,0
fast_global,127,reset_all,11,0.0,0.515625,0.515625,128,0,66
fast_global,127,reset_all,17,0.0,0.546875,0.546875,128,0,70
fast_global,127,reset_all,23,0.0,0.4921875,0.4921875,128,0,63
fast_global,127,reset_store,11,0.0,0.515625,0.515625,128,0,66
fast_global,127,reset_store,17,0.0,0.546875,0.546875,128,0,70
fast_global,127,reset_store,23,0.0,0.4921875,0.4921875,128,0,63
fast_selective,101,cue_swapped,11,0.0,0.484375,0.484375,128,0,62
fast_selective,101,cue_swapped,17,0.0,0.453125,0.453125,128,0,58
fast_selective,101,cue_swapped,23,0.0,0.5078125,0.5078125,128,0,65
fast_selective,101,intact,11,0.0,0.484375,0.484375,128,0,62
fast_selective,101,intact,17,0.0,0.453125,0.453125,128,0,58
fast_selective,101,intact,23,0.0,0.5078125,0.5078125,128,0,65
fast_selective,101,native_start,11,0.0,0.484375,0.484375,128,0,62
fast_selective,101,native_start,17,0.0,0.453125,0.453125,128,0,58
fast_selective,101,native_start,23,0.0,0.5078125,0.5078125,128,0,65
fast_selective,101,reset_all,11,0.0,0.484375,0.484375,128,0,62
