group,method,rows,dialogues,distinct_schema_queries,dialogue_query_streams,accuracy,nll,brier,equal_dialogue_accuracy,equal_dialogue_nll,equal_dialogue_brier
seen/all,mean,23841,1686,19,5084,0.9666680648183101,0.11440852598304195,0.051247281342529705,0.9656084418670611,0.11533581504886614,0.05219806720161146
seen/all,slot,23841,1686,19,5084,0.9792234665771851,0.07891589575298592,0.032946354501165946,0.9799090678200892,0.07689766995359289,0.03204366863868792
seen/all,candidate,23841,1686,19,5084,0.9788599471498678,0.07446833670364032,0.03293353674154738,0.9793480257134188,0.07341827547867948,0.03227887159209605
seen/changed,mean,2012,1344,18,1850,0.8482438701126574,0.5993768467799,0.2439721042708546,0.8664393187830687,0.5107129758267578,0.2153972006703381
seen/changed,slot,2012,1344,18,1850,0.9108681245858185,0.39356381010142655,0.14647847715394344,0.927157738095238,0.30845326278171065,0.1183035887996338
seen/changed,candidate,2012,1344,18,1850,0.9150099403578529,0.3213111403829799,0.1328780571973381,0.9281498015873016,0.26104295270135286,0.11270515208369719
seen/retained,mean,21829,1686,19,5084,0.977583337150885,0.0697085277493492,0.033483648389495226,0.9763894498921974,0.07312359598574415,0.03496727064495379
seen/retained,slot,21829,1686,19,5084,0.9855238444271383,0.049914493779965506,0.02248198917167818,0.9858600847123172,0.051239011009499826,0.022261921430430015
seen/retained,candidate,21829,1686,19,5084,0.9847450639058133,0.051716597228500305,0.02372155382171363,0.9847001648680905,0.052988271635534955,0.023724181487317763
seen/transition/assigned_retention,mean,10139,1579,18,2880,0.9920767991583653,0.026397812292479686,0.012699442266495812,0.9902418296681543,0.03157413533838826,0.015531333219859464
seen/transition/assigned_retention,slot,10139,1579,18,2880,0.9934247295920043,0.02249561403359525,0.010393238948673158,0.9931171963297721,0.024598681041251153,0.011032180691916771
seen/transition/assigned_retention,candidate,10139,1579,18,2880,0.9930630897195648,0.021127571890682817,0.01024377905842607,0.991993207422103,0.02418209941955803,0.011662455824416454
seen/transition/clear,mean,0,0,0,0,,,,,,
seen/transition/clear,slot,0,0,0,0,,,,,,
seen/transition/clear,candidate,0,0,0,0,,,,,,
seen/transition/first_assignment,mean,1771,1313,18,1771,0.8767174854131375,0.4735120092890077,0.1967348032441976,0.8873656596428874,0.4264600897985649,0.18106016199592267
seen/transition/first_assignment,slot,1771,1313,18,1771,0.917184265010352,0.36140518401251215,0.1362513491859396,0.9308623170009308,0.28998236601866356,0.11241237529995683
seen/transition/first_assignment,candidate,1771,1313,18,1771,0.9267833615659703,0.2880461128101604,0.1155177702223259,0.9375052889904375,0.23259976225825763,0.0983403880025673
seen/transition/revision,mean,241,234,12,240,0.6390041493775933,1.5243006110801904,0.5910976649273258,0.6474358974358975,1.4678741094143406,0.5755428651474835
seen/transition/revision,slot,241,234,12,240,0.8644536652835407,0.6298830084560633,0.22163301504329938,0.8710826210826211,0.581078219742878,0.20947971963400103
seen/transition/revision,candidate,241,234,12,240,0.8284923928077456,0.5657607828371852,0.26045095442865196,0.8361823361823362,0.5326266096689444,0.24880338971501748
seen/transition/unmentioned_retention,mean,11690,1517,19,3282,0.9650128314798972,0.1072728856635665,0.051510257960161704,0.9550809152856639,0.14065383843754223,0.06611410548256703
seen/transition/unmentioned_retention,slot,11690,1517,19,3282,0.9786712289706302,0.07369550505014925,0.03296683421111769,0.9745625238872558,0.09847414847024556,0.04092998538668566
seen/transition/unmentioned_retention,candidate,11690,1517,19,3282,0.9775306529797548,0.07824714709164245,0.0354111310950218,0.9721623571498809,0.10895785780235534,0.04434829791997741
seen/value/dontcare,mean,94,39,3,39,0.7375886524822696,1.4300248843387369,0.46247965632147187,0.7136752136752137,1.5693256743136663,0.49828121187774327
seen/value/dontcare,slot,94,39,3,39,0.7978723404255318,1.1560338585143108,0.34611749037412826,0.7556980056980057,1.4944986294874747,0.41827473699441553
seen/value/dontcare,candidate,94,39,3,39,0.8191489361702128,0.8732033870978989,0.27736514041173027,0.797008547008547,0.9975201905762416,0.3073706954808764
seen/value/dontcare/changed,mean,24,24,3,24,0.4305555555555555,3.6699163293556514,1.0204510073776374,0.4305555555555555,3.6699163293556514,1.0204510073776374
seen/value/dontcare/changed,slot,24,24,3,24,0.5,3.4763538785454227,0.8902352686485058,0.5,3.4763538785454227,0.8902352686485058
seen/value/dontcare/changed,candidate,24,24,3,24,0.5694444444444444,2.506284035832121,0.6787271645678131,0.5694444444444444,2.506284035832121,0.6787271645678131
seen/value/dontcare/retained,mean,70,33,3,33,0.8428571428571429,0.6620621031900802,0.2711751931022151,0.8501683501683502,0.6473713681944142,0.2638681702140742
seen/value/dontcare/retained,slot,70,33,3,33,0.9,0.3604955659322153,0.15956282353719883,0.8804713804713805,0.4290743810292487,0.1942563436934709
seen/value/dontcare/retained,candidate,70,33,3,33,0.9047619047619048,0.3132900218175943,0.13975530355821617,0.9124579124579123,0.3559457819414194,0.13397253374489823
seen/value/false,mean,0,0,0,0,,,,,,
seen/value/false,slot,0,0,0,0,,,,,,
seen/value/false,candidate,0,0,0,0,,,,,,
seen/value/false/changed,mean,0,0,0,0,,,,,,
seen/value/false/changed,slot,0,0,0,0,,,,,,
seen/value/false/changed,candidate,0,0,0,0,,,,,,
seen/value/false/retained,mean,0,0,0,0,,,,,,
seen/value/false/retained,slot,0,0,0,0,,,,,,
seen/value/false/retained,candidate,0,0,0,0,,,,,,
seen/value/none,mean,11690,1517,19,3282,0.9650128314798972,0.1072728856635665,0.051510257960161704,0.9550809152856639,0.14065383843754223,0.06611410548256703
seen/value/none,slot,11690,1517,19,3282,0.9786712289706302,0.07369550505014925,0.03296683421111769,0.9745625238872558,0.09847414847024556,0.04092998538668566
seen/value/none,candidate,11690,1517,19,3282,0.9775306529797548,0.07824714709164245,0.0354111310950218,0.9721623571498809,0.10895785780235534,0.04434829791997741
seen/value/none/changed,mean,0,0,0,0,,,,,,
seen/value/none/changed,slot,0,0,0,0,,,,,,
seen/value/none/changed,candidate,0,0,0,0,,,,,,
seen/value/none/retained,mean,11690,1517,19,3282,0.9650128314798972,0.1072728856635665,0.051510257960161704,0.9550809152856639,0.14065383843754223,0.06611410548256703
seen/value/none/retained,slot,11690,1517,19,3282,0.9786712289706302,0.07369550505014925,0.03296683421111769,0.9745625238872558,0.09847414847024556,0.04092998538668566
seen/value/none/retained,candidate,11690,1517,19,3282,0.9775306529797548,0.07824714709164245,0.0354111310950218,0.9721623571498809,0.10895785780235534,0.04434829791997741
seen/value/other,mean,10368,1583,12,2415,0.9678176440329218,0.11958641794905252,0.05154152676190681,0.9645931543405967,0.12749085222097212,0.05639240186703861
seen/value/other,slot,10368,1583,12,2415,0.9816100823045267,0.0746024922940619,0.02989292847365609,0.9787669608173696,0.08690434724150033,0.03489336700477688
seen/value/other,candidate,10368,1583,12,2415,0.980420524691358,0.06582263529032223,0.029839714345327964,0.9781812543930949,0.07526256687350792,0.0339765445233014
seen/value/other/changed,mean,1750,1270,12,1600,0.8489523809523809,0.5821115486387236,0.24263292696025726,0.8629483814523183,0.5089993864538399,0.21975056065178208
seen/value/other/changed,slot,1750,1270,12,1600,0.9251428571428572,0.3261280770755411,0.12327051004461369,0.9341863517060367,0.28068568938591826,0.10795067306534846
seen/value/other/changed,candidate,1750,1270,12,1600,0.9203809523809524,0.28049607784435937,0.12308594398207677,0.9303149606299214,0.24169898750842903,0.10837792195839968
seen/value/other/retained,mean,8618,1549,12,2368,0.9919548232381836,0.02566451278463797,0.012737865779415124,0.9915710628347814,0.026090999428162443,0.01326176531204151
seen/value/other/retained,slot,8618,1549,12,2368,0.9930765065367062,0.02352686298707786,0.010931363406450728,0.993709147235616,0.02289958061809536,0.010150622085676866
seen/value/other/retained,candidate,8618,1549,12,2368,0.9926123617235244,0.022230325651245313,0.010904822042669531,0.9924709476293989,0.02336741892267558,0.011107452915413088
seen/value/true,mean,1689,431,6,487,0.9838168541543318,0.05879177864475574,0.02473409222693454,0.9865321560797199,0.04735393316939773,0.020387279661044894
seen/value/true,slot,1689,431,6,487,0.97848825735149,0.08157939242481552,0.0341188982973931,0.9801075353279529,0.06600534770973528,0.03025249909264414
seen/value/true,candidate,1689,431,6,487,0.9873692520228933,0.05693325326993796,0.021173383909628894,0.9892971276381949,0.04291711204872899,0.016941657853595565
seen/value/true/changed,mean,238,229,6,238,0.8851540616246498,0.4166933348691453,0.17551860266994104,0.8981077147016011,0.38469017556614377,0.15567159426626906
seen/value/true/changed,slot,238,229,6,238,0.8473389355742297,0.5785452014990894,0.24212460927771465,0.8609898107714701,0.545037071355701,0.22127006528361823
seen/value/true/changed,candidate,238,229,6,238,0.9103641456582633,0.40108849312166334,0.14983528219656492,0.9170305676855895,0.38047289554451164,0.1370553226263589
seen/value/true/retained,mean,1451,431,6,487,1.0,8.704371615153373e-05,1.69147887419893e-06,1.0,5.421160662789922e-05,9.759067748897728e-07
seen/value/true/retained,slot,1451,431,6,487,1.0,6.466977858727905e-05,8.009760171331045e-07,1.0,5.793560213518444e-05,9.221304511434383e-07
seen/value/true/retained,candidate,1451,431,6,487,1.0,0.0004832552790967313,6.964042769176341e-05,1.0,0.0003080956601261054,2.7864220040459804e-05
unseen/all,mean,27229,1495,17,5681,0.949612545447868,0.20575484276934933,0.08215985811556815,0.9426255808349661,0.22154891126574297,0.09253900272958203
unseen/all,slot,27229,1495,17,5681,0.9560517585417508,0.20807593890288567,0.07281247788159793,0.9454286414489624,0.2671926593684429,0.09094565104431236
