name,passes,relation,threshold,value,strict_upper_bound,evidence_scope,eligible_for_continuation
common.technical_complete,False,==,True,False,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda3.initial.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda3.age1.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda3.age2.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda3.age3.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda3.hold.postcorrection.positive_gap,True,>,0.0,0.4611559045764715,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda4.initial.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda4.age1.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda4.age2.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda4.age3.case_support,True,>=,4,6,,Descriptive saved-output arithmetic only; original training parent unverified,False
common.lambda4.hold.postcorrection.positive_gap,True,>,0.0,0.5417754296465715,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda3.postcorrection.gap,False,<= and <,0.10174152596575227,0.15166337579612651,0.11304613996194697,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda3.full.agreement,False,>=,0.6884147175841906,0.6749483542064953,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda3.initial.agreement,True,>=,0.7407407407407408,0.808641975308642,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda3.295000001.postcorrection.gap_nonregression,False,<=,0.10784736059040118,0.1505353180113561,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda3.295000002.postcorrection.gap_nonregression,False,<=,0.11237940696956748,0.16582745081505268,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda3.295000003.postcorrection.gap_nonregression,False,<=,0.11891165232587225,0.13862735856197073,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda4.postcorrection.gap,False,<= and <,0.06851772295461414,0.09607374571844789,0.0761308032829046,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda4.full.agreement,True,>=,0.6650684488987055,0.7281747356380007,,Descriptive saved-output arithmetic only; original training parent unverified,False
objective.innovation.lambda4.initial.agreement,True,>=,0.6419753086419754,0.6604938271604938,,Descriptive saved-output arithmetic only; original training parent unverified,False
