family,seed,architecture,readout,objective,parameter_count,epochs,steps,fit_seconds,wall_seconds,train_rescore_seconds,checkpoint_seconds,forward_chunks,backward_chunks,no_grad_chunks,spo_loss_calls,spo_weighted_rows,final_nonquery_loss,final_prior_loss,final_spo_loss,final_objective_spo_loss,final_train_loss,fit_seconds_delta_to_paired_aux,fit_seconds_ratio_to_paired_aux,wall_seconds_delta_to_paired_aux,wall_seconds_ratio_to_paired_aux,paired_aux_family,evidence_scope,eligible_for_continuation,timing_scope
innovation_aux,295000001,innovation,shared,aux,5978,80,720,158.889272792,159.590950959,0.70024225,0.001411125,34405,34405,0,0,0,1.5155649634834845e-05,1.2857075489591807e-05,0.004871048033237457,0.0,2.8012725124426652e-05,0.0,1.0,0.0,1.0,innovation_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
innovation_spo,295000001,innovation,shared,spo,5978,80,720,147.068758125,147.688103375,0.6178375,0.001486458,34405,34405,0,34405,62400,7.825080683687702e-05,6.207163824001327e-05,0.0019084714585915208,0.0019084714585915208,0.002048793903668411,-11.820514667000026,0.9256053321958738,-11.902847584,0.9254165257336056,innovation_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
gru_aux,295000001,innovation_gru,shared,aux,5996,80,720,154.958868209,155.6279595,0.667716917,0.001356042,34405,34405,0,0,0,1.1248848750256002e-05,9.855148164206184e-06,0.004201781935989857,0.0,2.1103996914462186e-05,0.0,1.0,0.0,1.0,gru_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
gru_spo,295000001,innovation_gru,shared,spo,5996,80,720,157.728551583,158.476922,0.747058667,0.001288625,34405,34405,0,34405,62400,5.9937072364846244e-05,4.8322530346922576e-05,0.0024874554947018623,0.0024874554947018623,0.002595715097413631,2.76968337400001,1.0178736680643823,2.848962499999999,1.0183062382180754,gru_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
innovation_aux,295000002,innovation,shared,aux,5978,80,720,136.456220583,137.125368708,0.667936542,0.001189959,34791,34791,0,0,0,1.3858713828085456e-05,1.063135641743429e-05,0.0039833709597587585,0.0,2.4490070245519746e-05,0.0,1.0,0.0,1.0,innovation_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
innovation_spo,295000002,innovation,shared,spo,5978,80,720,140.619551167,141.203851542,0.582721625,0.00155425,34791,34791,0,34791,62400,8.115373202599585e-05,6.430420762626454e-05,0.002810015808790922,0.002810015808790922,0.0029554737484431826,4.1633305839999935,1.0305103759008747,4.078482833999999,1.0297427301193616,innovation_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
gru_aux,295000002,innovation_gru,shared,aux,5996,80,720,159.773790375,160.830714791,1.055431958,0.001458583,34791,34791,0,0,0,1.2118882295908406e-05,1.0394723176432308e-05,0.003886219346895814,0.0,2.2513605472340714e-05,0.0,1.0,0.0,1.0,gru_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
gru_spo,295000002,innovation_gru,shared,spo,5996,80,720,174.97041575,175.752963375,0.780926209,0.0015845,34791,34791,0,34791,62400,6.129381654318422e-05,5.445377973956056e-05,0.002069031121209264,0.002069031121209264,0.0021847787174920086,15.196625374999996,1.0951133808576017,14.922248584000016,1.092782330809084,gru_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
innovation_aux,295000003,innovation,shared,aux,5978,80,720,137.455264209,138.096435667,0.639941083,0.001207375,35794,35794,0,0,0,1.267243169422727e-05,1.0853435924218502e-05,0.004364902153611183,0.0,2.3525867618445773e-05,0.0,1.0,0.0,1.0,innovation_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
innovation_spo,295000003,innovation,shared,spo,5978,80,720,141.624818583,142.369518416,0.74336275,0.001310083,35794,35794,0,35794,62400,7.103689858922735e-05,5.334892921382561e-05,0.0016098835039883852,0.0016098835039883852,0.0017342693317914382,4.1695543740000005,1.030333900982215,4.273082748999997,1.0309427446723094,innovation_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
gru_aux,295000003,innovation_gru,shared,aux,5996,80,720,176.8561715,177.604783667,0.745612459,0.002964167,35794,35794,0,0,0,1.0694517186493613e-05,9.183424481307156e-06,0.004100347403436899,0.0,1.987794166780077e-05,0.0,1.0,0.0,1.0,gru_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
gru_spo,295000003,innovation_gru,shared,spo,5996,80,720,194.768950041,195.6173895,0.846666958,0.001733542,35794,35794,0,35794,62400,9.257924102712423e-05,8.559388516005129e-05,0.003767714835703373,0.003767714835703373,0.0039458879618905485,17.912778541000023,1.1012844414140224,18.01260583300001,1.1014195983976014,gru_aux,Descriptive saved-output arithmetic only; original training parent unverified,False,"Worker-reported time; original training parent bounds, exit and reaping unverified"
