architecture,regime,scope,direction,seed_count,aux_episode_weighted_agreement,aux_episode_weighted_raw_gap,aux_episode_weighted_centered_mse,aux_episode_weighted_first_argmin_match,spo_episode_weighted_agreement,spo_episode_weighted_raw_gap,spo_episode_weighted_centered_mse,spo_episode_weighted_first_argmin_match,delta_episode_weighted_agreement,delta_episode_weighted_raw_gap,delta_episode_weighted_centered_mse,delta_episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
innovation,lambda3,initial,SPO minus AUX,3,0.7407407407407408,0.02406761970049069,0.0200346073609487,0.46296296296296297,0.808641975308642,0.02475161022610135,0.1350602881063043,0.611111111111111,0.06790123456790124,0.0006839905256106534,0.11502568074535562,0.1481481481481481,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,lambda3,full,SPO minus AUX,3,0.6884147175841906,0.09646083085806012,0.11166872375377795,0.6165548744821518,0.6749483542064953,0.12862642540257693,0.3757348003451339,0.6075687994697317,-0.013466363377695282,0.03216559454451679,0.2640660765913559,-0.00898607501242014,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,lambda3,postcorrection,SPO minus AUX,3,0.6223452143206996,0.11304613996194697,0.12503799038020205,0.6222886864863938,0.5914156813772248,0.15166337579612651,0.3982872194404193,0.5899572632521399,-0.03092953294347482,0.03861723583417954,0.2732492290602172,-0.03233142323425394,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,lambda4,initial,SPO minus AUX,3,0.6419753086419754,0.061284910013646256,0.057389055930692906,0.5061728395061729,0.6604938271604938,0.029514742486270857,0.18701530689292367,0.5493827160493826,0.018518518518518528,-0.031770167527375395,0.12962625096223077,0.04320987654320979,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,lambda4,full,SPO minus AUX,3,0.6650684488987055,0.07920613200704239,0.10357856236678005,0.6028677341658377,0.7281747356380007,0.07282797903118997,0.3898899098329407,0.6873938529009936,0.06310628673929519,-0.006378152975852434,0.28631134746616066,0.08452611873515596,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,lambda4,postcorrection,SPO minus AUX,3,0.5234286565013745,0.0761308032829046,0.0951614115890782,0.5175172582288651,0.5596880786224162,0.09607374571844789,0.39175535183177224,0.5548662543561477,0.03625942212104175,0.019942942435543298,0.29659394024269403,0.037348996127282465,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,lambda3,initial,SPO minus AUX,3,0.7716049382716049,0.020785213988504293,0.01615053598958355,0.5123456790123456,0.8641975308641975,0.013357015303623529,0.12696905015127344,0.5740740740740741,0.09259259259259256,-0.007428198684880764,0.11081851416168988,0.06172839506172836,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,lambda3,full,SPO minus AUX,3,0.6778869546395364,0.09186703824180088,0.09721235280282614,0.6049796714361272,0.6777967977724492,0.13411659821978397,0.37496206542026744,0.5913412885550916,-9.015686708739128e-05,0.042249559977983096,0.27774971261744125,-0.013638382881035546,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,lambda3,postcorrection,SPO minus AUX,3,0.6108955198856886,0.10677095932374642,0.10867585330640882,0.6108389920513829,0.5787191881596069,0.16187043413694013,0.4045852759099456,0.578640049191579,-0.0321763317260817,0.055099474813193716,0.2959094226035368,-0.03219894285980396,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,lambda4,initial,SPO minus AUX,3,0.5740740740740741,0.08893162821546012,0.053179128097800836,0.4012345679012346,0.7839506172839507,0.04144081657315478,0.15564299124579,0.6419753086419752,0.20987654320987656,-0.04749081164230534,0.10246386314798916,0.24074074074074067,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,lambda4,full,SPO minus AUX,3,0.6486228333394237,0.08832419659742742,0.09762905849928322,0.5562013681726813,0.6922117770078394,0.0988287691880367,0.3358863096685866,0.6273384731732153,0.04358894366841567,0.010504572590609267,0.23825725116930338,0.07113710500053412,Descriptive saved-output arithmetic only; original training parent unverified,False
gru,lambda4,postcorrection,SPO minus AUX,3,0.5381961372220081,0.0590551611964373,0.08773878249321736,0.5334421463569061,0.49812716681995856,0.12230891413889178,0.352268001113226,0.47974803404024097,-0.04006897040204954,0.06325375294245449,0.2645292186200086,-0.05369411231666508,Descriptive saved-output arithmetic only; original training parent unverified,False
