architecture,seed,regime,scope,direction,episodes,weight_mass,aux_episode_weighted_agreement,spo_episode_weighted_agreement,delta_episode_weighted_agreement,aux_episode_weighted_raw_gap,spo_episode_weighted_raw_gap,delta_episode_weighted_raw_gap,aux_episode_weighted_centered_mse,spo_episode_weighted_centered_mse,delta_episode_weighted_centered_mse,aux_episode_weighted_first_argmin_match,spo_episode_weighted_first_argmin_match,delta_episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
innovation,295000001,lambda3,initial,SPO minus AUX,18,1.0,0.7777777777777778,0.8518518518518519,0.07407407407407407,0.025067611976906105,0.01181953924673575,-0.013248072730170354,0.019956845152972004,0.11714671680364733,0.09718987165067533,0.3888888888888889,0.7962962962962963,0.4074074074074074,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000002,lambda3,initial,SPO minus AUX,18,1.0,0.7222222222222222,0.7777777777777778,0.05555555555555558,0.023567605901647498,0.040363841586642794,0.016796235684995296,0.01870037808148734,0.15834364061351136,0.13964326253202403,0.6111111111111112,0.4074074074074074,-0.20370370370370378,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000003,lambda3,initial,SPO minus AUX,18,1.0,0.7222222222222222,0.7962962962962963,0.07407407407407407,0.023567641222918476,0.022071449844925494,-0.0014961913779929815,0.021446598848386757,0.12969050690175424,0.10824390805336748,0.3888888888888889,0.6296296296296297,0.24074074074074076,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000001,lambda3,full,SPO minus AUX,18,1.0,0.6924274912826903,0.7013267066963064,0.008899215413616046,0.09422269267463829,0.12468646571834707,0.030463773043708786,0.10970012194002707,0.3771629392348967,0.26746281729486965,0.6062022346524736,0.6608174474370472,0.0546152127845736,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000002,lambda3,full,SPO minus AUX,18,1.0,0.6855774179297224,0.6291652149946194,-0.05641220293510296,0.09483845852177082,0.14463222305260695,0.04979376453083613,0.1142250479064048,0.39952435359111005,0.28529930568470524,0.6541547510903888,0.5430076677556953,-0.11114708333469348,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000003,lambda3,full,SPO minus AUX,18,1.0,0.6872392435401592,0.6943531409285603,0.007113897388401069,0.10032134137777125,0.11656058743677672,0.016239246059005466,0.11108100141490201,0.35051710820939486,0.23943610679449284,0.5893076377035933,0.6188812832164527,0.02957364551285946,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000001,lambda3,postcorrection,SPO minus AUX,18,0.9444444444444444,0.632932730496613,0.6063405244405753,-0.026592206056037737,0.10784736059040118,0.1505353180113561,0.042687957420954936,0.1218772263651125,0.40386356213303887,0.28198633576792637,0.6328648970954462,0.6063405244405753,-0.026524372654870954,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000002,lambda3,postcorrection,SPO minus AUX,18,0.9444444444444444,0.6167956300345697,0.5537858348133583,-0.06300979522121142,0.11237940696956748,0.16582745081505268,0.053448043845485196,0.12836481767781913,0.4212042471666081,0.29283942948878894,0.6167956300345697,0.5537519181127749,-0.06304371192179481,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000003,lambda3,postcorrection,SPO minus AUX,18,0.9444444444444444,0.6173072824309158,0.6141206848777405,-0.0031865975531752966,0.11891165232587225,0.13862735856197073,0.019715706236098474,0.12487192709767456,0.36979384902161083,0.24492192192393628,0.6172055323291656,0.6097793472030696,-0.007426185126096052,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000001,lambda4,initial,SPO minus AUX,18,1.0,0.6666666666666666,0.7222222222222222,0.05555555555555558,0.0843334639513934,0.01497061164290817,-0.06936285230848524,0.08320267621225136,0.18832492215714403,0.10512224594489267,0.4444444444444444,0.6851851851851851,0.2407407407407407,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation,295000002,lambda4,initial,SPO minus AUX,18,1.0,0.6481481481481481,0.6111111111111112,-0.03703703703703698,0.03374886512756348,0.05172742737664117,0.017978562249077693,0.03917662593120602,0.20380583950632183,0.1646292135751158,0.5555555555555556,0.4259259259259259,-0.1296296296296297,Descriptive saved-output arithmetic only; original training parent unverified,False
