family,seed,regime,scope,episodes,supported_episodes,declared_case_count,supported_case_count,weight_mass,nonquery_rows,episode_weighted_agreement,episode_weighted_raw_gap,episode_weighted_centered_mse,episode_weighted_first_argmin_match,evidence_scope,eligible_for_continuation
innovation_aux,295000001,lambda3,initial,18,18,6,6,1.0,54,0.7777777777777778,0.025067611976906105,0.019956845152972004,0.3888888888888889,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000001,lambda3,full,18,18,6,6,1.0,5198,0.6924274912826903,0.09422269267463829,0.10970012194002707,0.6062022346524736,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.632932730496613,0.10784736059040118,0.1218772263651125,0.6328648970954462,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000001,lambda4,initial,18,18,6,6,1.0,52,0.6666666666666666,0.0843334639513934,0.08320267621225136,0.4444444444444444,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000001,lambda4,full,18,18,6,6,1.0,8369,0.6378161150718229,0.11667612053134811,0.1350496815023468,0.5023632359717775,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_aux,295000001,lambda4,postcorrection,18,15,6,6,0.8333333333333334,8317,0.5185849398997759,0.08399424867403787,0.10223800304335096,0.5185171064986092,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000001,lambda3,initial,18,18,6,6,1.0,54,0.8518518518518519,0.01181953924673575,0.11714671680364733,0.7962962962962963,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000001,lambda3,full,18,18,6,6,1.0,5198,0.7013267066963064,0.12468646571834707,0.3771629392348967,0.6608174474370472,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000001,lambda3,postcorrection,18,17,6,6,0.9444444444444444,5144,0.6063405244405753,0.1505353180113561,0.40386356213303887,0.6063405244405753,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000001,lambda4,initial,18,18,6,6,1.0,52,0.7222222222222222,0.01497061164290817,0.18832492215714403,0.6851851851851851,Descriptive saved-output arithmetic only; original training parent unverified,False
innovation_spo,295000001,lambda4,full,18,18,6,6,1.0,8369,0.7471289242215415,0.0777792350801799,0.43840085870313666,0.7468919413520175,Descriptive saved-output arithmetic only; original training parent unverified,False
