condition_number,name,passes,relation,threshold,value
1,technical_complete,True,==,True,True
2,lambda3.age1.case_support,True,>=,4,6
3,lambda3.age2.case_support,True,>=,4,6
4,lambda3.age3.case_support,True,>=,4,6
5,lambda3.255000001.agreement_vs_hold,True,>=,0.21578053494166716,0.594149172857269
6,lambda3.255000001.gap_vs_hold,True,<=,0.4658066593319443,0.08494496293364456
7,lambda3.255000001.age1.gap_vs_hold,True,<=,0.3356678876034114,0.07751073097862457
8,lambda3.255000001.age2.gap_vs_hold,True,<=,0.5961900188008799,0.10218961083117567
9,lambda3.255000001.age3.gap_vs_hold,True,<=,0.5983901437409874,0.0671992548801669
10,lambda3.255000002.agreement_vs_hold,True,>=,0.21578053494166716,0.5805677304926198
11,lambda3.255000002.gap_vs_hold,True,<=,0.4658066593319443,0.09063980048572368
12,lambda3.255000002.age1.gap_vs_hold,True,<=,0.3356678876034114,0.09323525878888819
13,lambda3.255000002.age2.gap_vs_hold,True,<=,0.5961900188008799,0.10418406169881265
14,lambda3.255000002.age3.gap_vs_hold,True,<=,0.5983901437409874,0.06307779533570988
15,lambda3.255000003.agreement_vs_hold,True,>=,0.21578053494166716,0.7175695202260667
16,lambda3.255000003.gap_vs_hold,True,<=,0.4658066593319443,0.0635658799481989
17,lambda3.255000003.age1.gap_vs_hold,True,<=,0.3356678876034114,0.04069969097623269
18,lambda3.255000003.age2.gap_vs_hold,True,<=,0.5961900188008799,0.07056152040899212
19,lambda3.255000003.age3.gap_vs_hold,True,<=,0.5983901437409874,0.07870996160918636
20,lambda3.mean_agreement_vs_innovation_gru,True,>=,0.629496931343073,0.6307621411919851
21,lambda3.mean_gap_vs_innovation_gru,False,<=,0.05107294495852166,0.07971688112252238
22,lambda3.mean_agreement_vs_persistent_direct,False,>=,0.6402605791573744,0.6307621411919851
23,lambda3.mean_gap_vs_persistent_direct,False,<=,0.06477393811189948,0.07971688112252238
24,lambda3.mean_agreement_vs_reset_direct,True,>=,0.6178124134652175,0.6307621411919851
25,lambda3.mean_gap_vs_reset_direct,True,<=,0.09208833120801388,0.07971688112252238
26,lambda3.full.mean_agreement_vs_reset_direct,False,>=,0.6726515435715208,0.646528093806192
27,lambda3.full.mean_gap_vs_reset_direct,True,<=,0.10662456065956027,0.09555905291733667
28,lambda4.age1.case_support,True,>=,4,5
29,lambda4.age2.case_support,True,>=,4,5
30,lambda4.age3.case_support,True,>=,4,5
31,lambda4.255000001.agreement_vs_hold,True,>=,0.3754565207617533,0.4641821506921636
32,lambda4.255000001.gap_vs_hold,True,<=,0.14471887091580105,0.06541684053504165
33,lambda4.255000001.age1.gap_vs_hold,True,<=,0.05680290347002432,0.04545293504053448
34,lambda4.255000001.age2.gap_vs_hold,True,<=,0.21362743188027788,0.06910105474993715
35,lambda4.255000001.age3.gap_vs_hold,True,<=,0.27666902190939313,0.08331682402669388
36,lambda4.255000002.agreement_vs_hold,True,>=,0.3754565207617533,0.4924001780889701
37,lambda4.255000002.gap_vs_hold,True,<=,0.14471887091580105,0.04393661135174172
38,lambda4.255000002.age1.gap_vs_hold,True,<=,0.05680290347002432,0.02675057122186928
39,lambda4.255000002.age2.gap_vs_hold,True,<=,0.21362743188027788,0.04933449711571262
40,lambda4.255000002.age3.gap_vs_hold,True,<=,0.27666902190939313,0.05709554194660106
41,lambda4.255000003.agreement_vs_hold,True,>=,0.3754565207617533,0.44266111352997656
42,lambda4.255000003.gap_vs_hold,True,<=,0.14471887091580105,0.0737556260278151
43,lambda4.255000003.age1.gap_vs_hold,False,<=,0.05680290347002432,0.06404591517795638
44,lambda4.255000003.age2.gap_vs_hold,True,<=,0.21362743188027788,0.06412716190165797
45,lambda4.255000003.age3.gap_vs_hold,True,<=,0.27666902190939313,0.09427851602869755
46,lambda4.mean_agreement_vs_innovation_gru,False,>=,0.49048283764557454,0.46641448077037007
47,lambda4.mean_gap_vs_innovation_gru,False,<=,0.040807797170719806,0.06103635930486615
48,lambda4.mean_agreement_vs_persistent_direct,False,>=,0.48764720571083614,0.46641448077037007
49,lambda4.mean_gap_vs_persistent_direct,False,<=,0.04477744198539975,0.06103635930486615
50,lambda4.mean_agreement_vs_reset_direct,False,>=,0.4754575680603889,0.46641448077037007
51,lambda4.mean_gap_vs_reset_direct,False,<=,0.05484207303392236,0.06103635930486615
52,lambda4.full.mean_agreement_vs_reset_direct,False,>=,0.6144925981777,0.5904164727412934
53,lambda4.full.mean_gap_vs_reset_direct,False,<=,0.06467955970486382,0.0690031906218286
