family,regime,metric,seed_count,raw_value,display_value
innovation,lambda3,episode_weighted_agreement,3,0.6307621411919851,63.07621411919852
innovation,lambda3,episode_weighted_raw_gap,3,0.07971688112252238,0.07971688112252238
innovation,lambda4,episode_weighted_agreement,3,0.46641448077037007,46.641448077037005
innovation,lambda4,episode_weighted_raw_gap,3,0.06103635930486615,0.06103635930486615
innovation_gru,lambda3,episode_weighted_agreement,3,0.629496931343073,62.9496931343073
innovation_gru,lambda3,episode_weighted_raw_gap,3,0.05674771662057962,0.05674771662057962
innovation_gru,lambda4,episode_weighted_agreement,3,0.49048283764557454,49.04828376455745
innovation_gru,lambda4,episode_weighted_raw_gap,3,0.045341996856355336,0.045341996856355336
persistent_direct,lambda3,episode_weighted_agreement,3,0.6402605791573744,64.02605791573744
persistent_direct,lambda3,episode_weighted_raw_gap,3,0.07197104234655498,0.07197104234655498
persistent_direct,lambda4,episode_weighted_agreement,3,0.48764720571083614,48.764720571083615
persistent_direct,lambda4,episode_weighted_raw_gap,3,0.049752713317110835,0.049752713317110835
reset_direct,lambda3,episode_weighted_agreement,3,0.6178124134652175,61.78124134652175
reset_direct,lambda3,episode_weighted_raw_gap,3,0.1023203680089043,0.1023203680089043
reset_direct,lambda4,episode_weighted_agreement,3,0.4754575680603889,47.54575680603889
reset_direct,lambda4,episode_weighted_raw_gap,3,0.06093563670435818,0.06093563670435818
