family,seed,scope,collector,partition,regime,case,age,declared_case_count,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_case_count,supported_cases,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
hold,,full,all,overall,,,all,12,0.2857069175056548,0.2196095421952916,0.2718180286167659,0.45209767857511374,36,5492,11,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.31168027364253253,0.23957404603122723,0.4931974675364877,33,0.9166666666666666,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,overall,,,1,12,0.4188415618960164,0.09829305030958005,0.3910637841182386,0.2253803333048317,36,1837,11,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.45691806752292696,0.1072287821559055,0.24586945451436185,33,0.9166666666666666,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,overall,,,2,12,0.26254308156429773,0.21951683945834127,0.26254308156429773,0.4959844097578162,36,1830,11,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.28641063443377934,0.23947291577273594,0.5410739015539813,33,0.9166666666666666,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,overall,,,3,12,0.16106568524842843,0.33756081511093233,0.16106568524842843,0.622413345026842,36,1825,11,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.181198895904482,0.3797559169997989,0.7002150131551972,32,0.8888888888888888,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic"",""valid:lambda4:254000003:analytic""]"
hold,,full,all,regime,lambda3,,all,6,0.18656626139441213,0.30801065313382436,0.18656626139441213,0.6238499024589412,18,3479,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.18656626139441213,0.30801065313382436,0.6238499024589412,18,1.0,[],[]
hold,,full,all,regime,lambda3,,1,6,0.32221169378390585,0.15105032691802778,0.32221169378390585,0.34119729336803417,18,1164,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.32221169378390585,0.15105032691802778,0.34119729336803417,18,1.0,[],[]
hold,,full,all,regime,lambda3,,2,6,0.17072012387368876,0.3197217810439481,0.17072012387368876,0.6633159095847263,18,1159,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.17072012387368876,0.3197217810439481,0.6633159095847263,18,1.0,[],[]
hold,,full,all,regime,lambda3,,3,6,0.06788313335388291,0.4528519953323234,0.06788313335388291,0.8655330730686847,18,1156,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.06788313335388291,0.4528519953323234,0.8655330730686847,18,1.0,[],[]
hold,,full,all,regime,lambda4,,all,6,0.3848475736168975,0.13120843125675885,0.35706979583911974,0.28034545469128613,18,2013,5,"[{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.461817088340277,0.15745011750811064,0.33641454562954337,15,0.8333333333333334,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
hold,,full,all,regime,lambda4,,1,6,0.515471430008127,0.04553577370113229,0.4599158744525714,0.1095633732416292,18,673,5,"[{""case"":0,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.6185657160097524,0.05464292844135875,0.13147604788995504,15,0.8333333333333334,"[{""case"":1,""regime"":""lambda4""}]","[""valid:lambda4:254000002:neural"",""valid:lambda4:254000002:period4_hold"",""valid:lambda4:254000002:analytic""]"
