condition_number,name,passes,relation,threshold,value,strict_upper_bound
1,technical_complete,True,==,True,True,
2,lambda3.age1.case_support,True,>=,4,6,
3,lambda3.age2.case_support,True,>=,4,6,
4,lambda3.age3.case_support,True,>=,4,6,
5,lambda3.275000001.agreement_vs_hold,True,>=,0.333335930090494,0.4932762614642263,
6,lambda3.275000001.gap_vs_hold,True,<=,0.3461628839785123,0.0731014755332431,
7,lambda3.275000001.age1.gap_vs_hold,True,<=,0.21468168896635784,0.045492810436534255,
8,lambda3.275000001.age2.gap_vs_hold,True,<=,0.4551622650491473,0.06681189122416441,
9,lambda3.275000001.age3.gap_vs_hold,True,<=,0.602547093690768,0.10561969711315575,
10,lambda3.275000002.agreement_vs_hold,True,>=,0.333335930090494,0.5265134835114551,
11,lambda3.275000002.gap_vs_hold,True,<=,0.3461628839785123,0.06487019702387388,
12,lambda3.275000002.age1.gap_vs_hold,True,<=,0.21468168896635784,0.043884829160175554,
13,lambda3.275000002.age2.gap_vs_hold,True,<=,0.4551622650491473,0.069562599406578,
14,lambda3.275000002.age3.gap_vs_hold,True,<=,0.602547093690768,0.07998912016485918,
15,lambda3.275000003.agreement_vs_hold,True,>=,0.333335930090494,0.5525269286594506,
16,lambda3.275000003.gap_vs_hold,True,<=,0.3461628839785123,0.06902486741128651,
17,lambda3.275000003.age1.gap_vs_hold,True,<=,0.21468168896635784,0.03791041904452412,
18,lambda3.275000003.age2.gap_vs_hold,True,<=,0.4551622650491473,0.053793441040210985,
19,lambda3.275000003.age3.gap_vs_hold,True,<=,0.602547093690768,0.11442103516554446,
20,lambda3.mean_agreement_vs_innovation_mse,True,>=,0.5118471904475961,0.5241055578783773,
21,lambda3.mean_gap_vs_innovation_mse,True,<= and <,0.07793370926693799,0.0689988466561345,0.08659301029659776
22,lambda3.mean_agreement_vs_innovation_gru_mse,True,>=,0.5117299465282336,0.5241055578783773,
23,lambda3.mean_gap_vs_innovation_gru_mse,True,<= and <,0.07993496597909923,0.0689988466561345,0.08881662886566581
24,lambda3.mean_agreement_vs_innovation_gru_aux,False,>=,0.5274028565779748,0.5241055578783773,
25,lambda3.mean_gap_vs_innovation_gru_aux,True,<= and <,0.0715320151496567,0.0689988466561345,0.07948001683295187
26,lambda3.full.mean_agreement_vs_innovation_mse,False,>=,0.7529774039901409,0.732572467613292,
27,lambda3.full.mean_gap_vs_innovation_mse,True,<=,0.07500070864836596,0.07241748204800026,
28,lambda3.mean_prior_mse_vs_innovation_mse,True,<=,0.098449026193579,0.06784299732977823,
29,lambda4.age1.case_support,True,>=,4,6,
30,lambda4.age2.case_support,True,>=,4,6,
31,lambda4.age3.case_support,True,>=,4,5,
32,lambda4.275000001.agreement_vs_hold,True,>=,0.3165142619163468,0.39720611747169204,
33,lambda4.275000001.gap_vs_hold,True,<=,0.3302487119127021,0.058299649971517584,
34,lambda4.275000001.age1.gap_vs_hold,True,<=,0.2566360820925255,0.04568369390023696,
35,lambda4.275000001.age2.gap_vs_hold,True,<=,0.38657455567087057,0.05384029064617071,
36,lambda4.275000001.age3.gap_vs_hold,True,<=,0.5646608077756845,0.07667355333395397,
37,lambda4.275000002.agreement_vs_hold,True,>=,0.3165142619163468,0.44941341556506603,
38,lambda4.275000002.gap_vs_hold,True,<=,0.3302487119127021,0.04719199615822776,
39,lambda4.275000002.age1.gap_vs_hold,True,<=,0.2566360820925255,0.042267483593728394,
40,lambda4.275000002.age2.gap_vs_hold,True,<=,0.38657455567087057,0.03353735082363956,
41,lambda4.275000002.age3.gap_vs_hold,True,<=,0.5646608077756845,0.0673877056240793,
42,lambda4.275000003.agreement_vs_hold,True,>=,0.3165142619163468,0.400016590324359,
43,lambda4.275000003.gap_vs_hold,True,<=,0.3302487119127021,0.06133607201371944,
44,lambda4.275000003.age1.gap_vs_hold,True,<=,0.2566360820925255,0.053686530558097946,
45,lambda4.275000003.age2.gap_vs_hold,True,<=,0.38657455567087057,0.056076884522009145,
46,lambda4.275000003.age3.gap_vs_hold,True,<=,0.5646608077756845,0.0742280093474654,
47,lambda4.mean_agreement_vs_innovation_mse,True,>=,0.37500727541887463,0.41554537445370565,
48,lambda4.mean_gap_vs_innovation_mse,True,<= and <,0.08428220309786648,0.055609239381154925,0.09364689233096275
49,lambda4.mean_agreement_vs_innovation_gru_mse,True,>=,0.3825402894878364,0.41554537445370565,
50,lambda4.mean_gap_vs_innovation_gru_mse,True,<= and <,0.06428740797805975,0.055609239381154925,0.07143045330895527
51,lambda4.mean_agreement_vs_innovation_gru_aux,True,>=,0.41546555070795993,0.41554537445370565,
52,lambda4.mean_gap_vs_innovation_gru_aux,False,<= and <,0.04866349090731326,0.055609239381154925,0.05407054545257029
53,lambda4.full.mean_agreement_vs_innovation_mse,False,>=,0.5176914622416372,0.4947955971264592,
54,lambda4.full.mean_gap_vs_innovation_mse,True,<=,0.0888893215473809,0.07033349034096363,
55,lambda4.mean_prior_mse_vs_innovation_mse,True,<=,0.09802629854928693,0.07280146172214165,
