family,architecture,objective,seed,fit_seconds,wall_seconds,train_rescore_seconds,checkpoint_seconds,forward_chunks,backward_chunks,no_grad_chunks,paired_mse_family,fit_seconds_ratio_to_paired_mse,wall_seconds_ratio_to_paired_mse
innovation_aux,innovation,query_aux,275000001,142.931059667,143.676839667,0.744535083,0.001232667,40607,40607,0,innovation_mse,1.9240347055460303,1.9145893791377888
innovation_mse,innovation,mse,275000001,74.287152542,75.043161334,0.755080375,0.000918667,40607,8251,32356,innovation_mse,1.0,1.0
innovation_gru_mse,innovation_gru,mse,275000001,86.165464583,87.019425917,0.852577083,0.001369125,40607,8251,32356,innovation_gru_mse,1.0,1.0
innovation_gru_aux,innovation_gru,query_aux,275000001,165.543421375,166.477396125,0.932600375,0.001351958,40607,40607,0,innovation_gru_mse,1.921227050491188,1.9131061182107523
innovation_aux,innovation,query_aux,275000002,142.25145725,143.028313083,0.775614667,0.0012245,40131,40131,0,innovation_mse,1.8815083824770682,1.872710748680825
innovation_mse,innovation,mse,275000002,75.6050085,76.375015834,0.768956958,0.001040208,40131,8206,31925,innovation_mse,1.0,1.0
innovation_gru_mse,innovation_gru,mse,275000002,88.737311666,89.640254916,0.90166725,0.001259292,40131,8206,31925,innovation_gru_mse,1.0,1.0
innovation_gru_aux,innovation_gru,query_aux,275000002,166.067588792,166.95899525,0.890206083,0.001180709,40131,40131,0,innovation_gru_mse,1.871451655162429,1.8625448511548048
innovation_aux,innovation,query_aux,275000003,143.3795175,144.16783375,0.787115125,0.001185208,39402,39402,0,innovation_mse,1.8946828613933244,1.8847276940344844
innovation_mse,innovation,mse,275000003,75.674679083,76.4926595,0.816983125,0.000987292,39402,8211,31191,innovation_mse,1.0,1.0
innovation_gru_mse,innovation_gru,mse,275000003,86.82739175,87.782657792,0.954003416,0.001242042,39402,8211,31191,innovation_gru_mse,1.0,1.0
innovation_gru_aux,innovation_gru,query_aux,275000003,170.530881041,171.480230208,0.948118333,0.001213792,39402,39402,0,innovation_gru_mse,1.9640216941216593,1.953463639872017
