family,regime,metric,seed_count,raw_value,display_value
innovation_aux,lambda3,prior_centered_mse,3,0.06784299732977823,0.06784299732977823
innovation_aux,lambda3,episode_weighted_raw_gap,3,0.0689988466561345,0.0689988466561345
innovation_aux,lambda4,prior_centered_mse,3,0.07280146172214165,0.07280146172214165
innovation_aux,lambda4,episode_weighted_raw_gap,3,0.055609239381154925,0.055609239381154925
innovation_mse,lambda3,prior_centered_mse,3,0.12306128274197374,0.12306128274197374
innovation_mse,lambda3,episode_weighted_raw_gap,3,0.08659301029659776,0.08659301029659776
innovation_mse,lambda4,prior_centered_mse,3,0.12253287318660866,0.12253287318660866
innovation_mse,lambda4,episode_weighted_raw_gap,3,0.09364689233096275,0.09364689233096275
innovation_gru_mse,lambda3,prior_centered_mse,3,0.10230883166847722,0.10230883166847722
innovation_gru_mse,lambda3,episode_weighted_raw_gap,3,0.08881662886566581,0.08881662886566581
innovation_gru_mse,lambda4,prior_centered_mse,3,0.09861314948115497,0.09861314948115497
innovation_gru_mse,lambda4,episode_weighted_raw_gap,3,0.07143045330895527,0.07143045330895527
innovation_gru_aux,lambda3,prior_centered_mse,3,0.06915733467816966,0.06915733467816966
innovation_gru_aux,lambda3,episode_weighted_raw_gap,3,0.07948001683295187,0.07948001683295187
innovation_gru_aux,lambda4,prior_centered_mse,3,0.0651106720256538,0.0651106720256538
innovation_gru_aux,lambda4,episode_weighted_raw_gap,3,0.05407054545257029,0.05407054545257029
