family,seed,scope,collector,partition,regime,case,age,declared_case_count,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_case_count,supported_cases,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
hold,,full,all,overall,,,all,12,0.29223875322071097,0.32170657615055764,0.29223875322071097,0.5265248879120458,36,13788,12,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.3094292681160469,0.3406304923947081,0.5574969401421661,34,0.9444444444444444,[],"[""valid:lambda4:274000006:period4_hold"",""valid:lambda4:274000006:neural""]"
hold,,full,all,overall,,,1,12,0.38922579615670494,0.13474771786884818,0.38922579615670494,0.30023172375276497,36,4604,12,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.4121214312247464,0.14267405421407453,0.31789241338528057,34,0.9444444444444444,[],"[""valid:lambda4:274000006:period4_hold"",""valid:lambda4:274000006:neural""]"
hold,,full,all,overall,,,2,12,0.3041612607852484,0.34274358881100336,0.3041612607852484,0.4981178873143508,36,4595,12,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.3775794961472049,0.42547479990331455,0.6183532394247113,29,0.8055555555555556,[],"[""valid:lambda3:273000005:neural"",""valid:lambda3:273000005:analytic"",""valid:lambda4:274000002:neural"",""valid:lambda4:274000002:analytic"",""valid:lambda4:274000003:analytic"",""valid:lambda4:274000006:period4_hold"",""valid:lambda4:274000006:neural""]"
hold,,full,all,overall,,,3,12,0.17322438772256957,0.46114878851650054,0.17322438772256957,0.7920153856267929,36,4589,12,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.21503717096594843,0.5724605650549662,0.9831915131918808,29,0.8055555555555556,[],"[""valid:lambda3:273000005:neural"",""valid:lambda3:273000005:analytic"",""valid:lambda4:274000002:neural"",""valid:lambda4:274000002:analytic"",""valid:lambda4:274000003:analytic"",""valid:lambda4:274000006:period4_hold"",""valid:lambda4:274000006:neural""]"
hold,,full,all,regime,lambda3,,all,6,0.2817230048942196,0.33904321584429414,0.2817230048942196,0.5872590801978067,18,6912,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.2817230048942196,0.33904321584429414,0.5872590801978067,18,1.0,[],[]
hold,,full,all,regime,lambda3,,1,6,0.37328493249828876,0.1343994955162811,0.37328493249828876,0.31687809230493774,18,2307,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.37328493249828876,0.1343994955162811,0.31687809230493774,18,1.0,[],[]
hold,,full,all,regime,lambda3,,2,6,0.2800287309723808,0.35773372045020346,0.2800287309723808,0.5656507311835338,18,2304,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.3150323223439284,0.4024504355064789,0.6363570725814756,16,0.8888888888888888,[],"[""valid:lambda3:273000005:neural"",""valid:lambda3:273000005:analytic""]"
hold,,full,all,regime,lambda3,,3,6,0.18159860734868802,0.5002431039066828,0.18159860734868802,0.9115383165830797,18,2301,6,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""}]",0.204298433267274,0.5627734918950181,1.0254806061559647,16,0.8888888888888888,[],"[""valid:lambda3:273000005:neural"",""valid:lambda3:273000005:analytic""]"
hold,,full,all,regime,lambda4,,all,6,0.30275450154720235,0.3043699364568212,0.30275450154720235,0.4657906956262846,18,6876,6,"[{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.3405988142406026,0.34241617851392386,0.5240145325795702,16,0.8888888888888888,[],"[""valid:lambda4:274000006:period4_hold"",""valid:lambda4:274000006:neural""]"
hold,,full,all,regime,lambda4,,1,6,0.4051666598151211,0.13509594022141524,0.4051666598151211,0.2835853552005922,18,2297,6,"[{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""}]",0.45581249229201126,0.15198293274909214,0.3190335246006662,16,0.8888888888888888,[],"[""valid:lambda4:274000006:period4_hold"",""valid:lambda4:274000006:neural""]"
