family,seed,split,partition,regime,case,episode_id,arm,declared_case_count,episode_weighted_centered_mse,episodes,prior_rows,supported_case_count,supported_cases,supported_episode_centered_mse,supported_episodes,weight_mass,zero_support_cases,zero_support_episode_ids
innovation_aux,275000001,train,overall,,,,,18,0.055596881553761426,54,6761,17,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":7,""regime"":""lambda3""},{""case"":8,""regime"":""lambda3""},{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""},{""case"":6,""regime"":""lambda4""},{""case"":7,""regime"":""lambda4""},{""case"":8,""regime"":""lambda4""}]",0.06387726816815142,47,0.8703703703703703,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000003:analytic"",""train:lambda3:271000003:neural"",""train:lambda3:271000007:analytic"",""train:lambda3:271000007:neural"",""train:lambda3:271000007:period4_hold"",""train:lambda4:272000001:analytic"",""train:lambda4:272000003:period4_hold""]"
innovation_aux,275000001,train,regime,lambda3,,,,9,0.05030910445857445,27,4463,8,"[{""case"":0,""regime"":""lambda3""},{""case"":1,""regime"":""lambda3""},{""case"":2,""regime"":""lambda3""},{""case"":3,""regime"":""lambda3""},{""case"":4,""regime"":""lambda3""},{""case"":5,""regime"":""lambda3""},{""case"":7,""regime"":""lambda3""},{""case"":8,""regime"":""lambda3""}]",0.06174299183552319,22,0.8148148148148148,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000003:analytic"",""train:lambda3:271000003:neural"",""train:lambda3:271000007:analytic"",""train:lambda3:271000007:neural"",""train:lambda3:271000007:period4_hold""]"
innovation_aux,275000001,train,regime,lambda4,,,,9,0.060884658648948396,27,2298,9,"[{""case"":0,""regime"":""lambda4""},{""case"":1,""regime"":""lambda4""},{""case"":2,""regime"":""lambda4""},{""case"":3,""regime"":""lambda4""},{""case"":4,""regime"":""lambda4""},{""case"":5,""regime"":""lambda4""},{""case"":6,""regime"":""lambda4""},{""case"":7,""regime"":""lambda4""},{""case"":8,""regime"":""lambda4""}]",0.06575543134086427,25,0.9259259259259259,[],"[""train:lambda4:272000001:analytic"",""train:lambda4:272000003:period4_hold""]"
innovation_aux,275000001,train,case,lambda3,0,,,1,0.048893521747441514,3,553,1,"[{""case"":0,""regime"":""lambda3""}]",0.048893521747441514,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda3,1,,,1,0.06052051770741323,3,558,1,"[{""case"":1,""regime"":""lambda3""}]",0.06052051770741323,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda3,2,,,1,0.008048542558336662,3,546,1,"[{""case"":2,""regime"":""lambda3""}]",0.024145627675009985,1,0.3333333333333333,[],"[""train:lambda3:271000003:analytic"",""train:lambda3:271000003:neural""]"
innovation_aux,275000001,train,case,lambda3,3,,,1,0.09004372275286511,3,580,1,"[{""case"":3,""regime"":""lambda3""}]",0.09004372275286511,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda3,4,,,1,0.014944489521060892,3,549,1,"[{""case"":4,""regime"":""lambda3""}]",0.014944489521060892,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda3,5,,,1,0.03163924646907121,3,551,1,"[{""case"":5,""regime"":""lambda3""}]",0.03163924646907121,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda3,6,,,1,0.0,3,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:analytic"",""train:lambda3:271000007:neural"",""train:lambda3:271000007:period4_hold""]"
innovation_aux,275000001,train,case,lambda3,7,,,1,0.08422537306839262,3,571,1,"[{""case"":7,""regime"":""lambda3""}]",0.08422537306839262,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda3,8,,,1,0.1144665263025888,3,555,1,"[{""case"":8,""regime"":""lambda3""}]",0.1144665263025888,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,0,,,1,0.037983613431677554,3,12,1,"[{""case"":0,""regime"":""lambda4""}]",0.05697542014751633,2,0.6666666666666666,[],"[""train:lambda4:272000001:analytic""]"
innovation_aux,275000001,train,case,lambda4,1,,,1,0.06346394019904548,3,555,1,"[{""case"":1,""regime"":""lambda4""}]",0.06346394019904548,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,2,,,1,0.061460531933113155,3,8,1,"[{""case"":2,""regime"":""lambda4""}]",0.09219079789966973,2,0.6666666666666666,[],"[""train:lambda4:272000003:period4_hold""]"
innovation_aux,275000001,train,case,lambda4,3,,,1,0.05097998746012922,3,37,1,"[{""case"":3,""regime"":""lambda4""}]",0.05097998746012922,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,4,,,1,0.06116603207997683,3,552,1,"[{""case"":4,""regime"":""lambda4""}]",0.06116603207997683,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,5,,,1,0.06277156451042082,3,551,1,"[{""case"":5,""regime"":""lambda4""}]",0.06277156451042082,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,6,,,1,0.04272045915585799,3,553,1,"[{""case"":6,""regime"":""lambda4""}]",0.04272045915585799,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,7,,,1,0.051630655153487665,3,18,1,"[{""case"":7,""regime"":""lambda4""}]",0.051630655153487665,3,1.0,[],[]
innovation_aux,275000001,train,case,lambda4,8,,,1,0.11578514391682689,3,12,1,"[{""case"":8,""regime"":""lambda4""}]",0.11578514391682689,3,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,0,train:lambda3:271000001:analytic,analytic,1,0.03556440692975116,1,2,1,"[{""case"":0,""regime"":""lambda3""}]",0.03556440692975116,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,0,train:lambda3:271000001:neural,neural,1,0.06209187674391785,1,5,1,"[{""case"":0,""regime"":""lambda3""}]",0.06209187674391785,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,0,train:lambda3:271000001:period4_hold,period4_hold,1,0.04902428156865553,1,546,1,"[{""case"":0,""regime"":""lambda3""}]",0.04902428156865553,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,1,train:lambda3:271000002:neural,neural,1,0.028111001704633053,1,5,1,"[{""case"":1,""regime"":""lambda3""}]",0.028111001704633053,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,1,train:lambda3:271000002:period4_hold,period4_hold,1,0.04239387342761806,1,546,1,"[{""case"":1,""regime"":""lambda3""}]",0.04239387342761806,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,1,train:lambda3:271000002:analytic,analytic,1,0.11105667798998857,1,7,1,"[{""case"":1,""regime"":""lambda3""}]",0.11105667798998857,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,2,train:lambda3:271000003:period4_hold,period4_hold,1,0.024145627675009985,1,546,1,"[{""case"":2,""regime"":""lambda3""}]",0.024145627675009985,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,2,train:lambda3:271000003:analytic,analytic,1,0.0,1,0,0,[],,0,0.0,"[{""case"":2,""regime"":""lambda3""}]","[""train:lambda3:271000003:analytic""]"
innovation_aux,275000001,train,episode,lambda3,2,train:lambda3:271000003:neural,neural,1,0.0,1,0,0,[],,0,0.0,"[{""case"":2,""regime"":""lambda3""}]","[""train:lambda3:271000003:neural""]"
innovation_aux,275000001,train,episode,lambda3,3,train:lambda3:271000004:analytic,analytic,1,0.08690827566678916,1,16,1,"[{""case"":3,""regime"":""lambda3""}]",0.08690827566678916,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,3,train:lambda3:271000004:neural,neural,1,0.14984168214452057,1,18,1,"[{""case"":3,""regime"":""lambda3""}]",0.14984168214452057,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,3,train:lambda3:271000004:period4_hold,period4_hold,1,0.033381210447285606,1,546,1,"[{""case"":3,""regime"":""lambda3""}]",0.033381210447285606,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,4,train:lambda3:271000005:neural,neural,1,0.008065010875441203,1,2,1,"[{""case"":4,""regime"":""lambda3""}]",0.008065010875441203,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,4,train:lambda3:271000005:period4_hold,period4_hold,1,0.02853755200010174,1,546,1,"[{""case"":4,""regime"":""lambda3""}]",0.02853755200010174,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,4,train:lambda3:271000005:analytic,analytic,1,0.008230905687639734,1,1,1,"[{""case"":4,""regime"":""lambda3""}]",0.008230905687639734,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,5,train:lambda3:271000006:period4_hold,period4_hold,1,0.03982375764507716,1,546,1,"[{""case"":5,""regime"":""lambda3""}]",0.03982375764507716,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,5,train:lambda3:271000006:analytic,analytic,1,0.027694645968864506,1,2,1,"[{""case"":5,""regime"":""lambda3""}]",0.027694645968864506,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,5,train:lambda3:271000006:neural,neural,1,0.027399335793271955,1,3,1,"[{""case"":5,""regime"":""lambda3""}]",0.027399335793271955,1,1.0,[],[]
innovation_aux,275000001,train,episode,lambda3,6,train:lambda3:271000007:analytic,analytic,1,0.0,1,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:analytic""]"
innovation_aux,275000001,train,episode,lambda3,6,train:lambda3:271000007:neural,neural,1,0.0,1,0,0,[],,0,0.0,"[{""case"":6,""regime"":""lambda3""}]","[""train:lambda3:271000007:neural""]"
