architecture,seed,episode_id,regime,case,arm,rows,initial_rows,post_rows,baseline_full_agreement,candidate_full_agreement,baseline_primary_agreement,candidate_primary_agreement,initial_agreement_contribution,post_agreement_contribution,reweight_agreement,baseline_full_gap,candidate_full_gap,baseline_primary_gap,candidate_primary_gap,initial_gap_contribution,post_gap_contribution,reweight_gap
innovation,275000001,valid:lambda3:273000001:analytic,lambda3,0,analytic,9,3,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.19604863060845268,0.19604863060845268,0.17607752482096353,0.17607752482096353,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,lambda3,0,neural,9,3,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.19604863060845268,0.19604863060845268,0.17607752482096353,0.17607752482096353,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,lambda3,0,period4_hold,1641,3,1638,0.49299207800121875,0.4174283973187081,0.49206349206349204,0.4163614163614164,0.0,-0.07556368068251067,0.000138395019564988,0.024859982681739338,0.030003182703514493,0.024905513785552048,0.030058133587586865,0.0,0.005143200021775157,-9.419780259660795e-06
innovation,275000001,valid:lambda3:273000002:neural,lambda3,1,neural,5,3,2,0.8,1.0,0.5,1.0,0.0,0.2,-0.3,0.09844961166381835,0.0,0.2461240291595459,0.0,0.0,-0.09844961166381835,0.14767441749572754
innovation,275000001,valid:lambda3:273000002:period4_hold,lambda3,1,period4_hold,12,3,9,0.6666666666666666,0.5833333333333334,0.5555555555555556,0.5555555555555556,-0.08333333333333333,0.0,0.0,0.055425683657328285,0.12528320153554282,0.07390091154310438,0.07822942733764648,0.06661113103230794,0.0032463868459065757,-0.0010821289486355281
innovation,275000001,valid:lambda3:273000002:analytic,lambda3,1,analytic,5,3,2,0.8,1.0,0.5,1.0,0.0,0.2,-0.3,0.09844961166381835,0.0,0.2461240291595459,0.0,0.0,-0.09844961166381835,0.14767441749572754
innovation,275000001,valid:lambda3:273000003:period4_hold,lambda3,2,period4_hold,1641,3,1638,0.4887263863497867,0.4034125533211456,0.4877899877899878,0.40231990231990233,0.0,-0.08531383302864107,0.00015625244144437667,0.013821568741876856,0.019059941799156845,0.013846882970341833,0.019094850117470318,0.0,0.005238373057279988,-9.594089848497488e-06
innovation,275000001,valid:lambda3:273000003:analytic,lambda3,2,analytic,3,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000003:neural,lambda3,2,neural,3,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000004:analytic,lambda3,3,analytic,102,3,99,0.7254901960784313,0.7254901960784313,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.07589258867151596,0.09734252854889515,0.07658809122413096,0.09868802927961254,0.0,0.021449939877379174,-0.0006499981781024032
innovation,275000001,valid:lambda3:273000004:neural,lambda3,3,neural,105,3,102,0.8,0.780952380952381,0.803921568627451,0.7843137254901961,0.0,-0.01904761904761905,0.000560224089635894,0.048585006168910434,0.06019507362729027,0.048456888572842464,0.060408428603527596,0.0,0.011610067458379836,-0.0003414725723052958
innovation,275000001,valid:lambda3:273000004:period4_hold,lambda3,3,period4_hold,61,3,58,0.5901639344262295,0.5409836065573771,0.603448275862069,0.5517241379310345,0.0,-0.04918032786885246,0.002543810062182017,0.12098978386550653,0.12018785320344519,0.12230787606074892,0.12146446622651198,0.0,-0.0008019306620613473,4.14791721755855e-05
innovation,275000001,valid:lambda3:273000005:neural,lambda3,4,neural,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000005:period4_hold,lambda3,4,period4_hold,1641,3,1638,0.5575868372943327,0.4801950030469226,0.5573870573870574,0.47924297924297926,0.0006093845216331506,-0.07800121876904327,0.00014285937503487334,0.019428842028490587,0.019101382754765802,0.019409468613555872,0.01913636697226537,-5.485690417339132e-05,-0.0002726023695513942,4.992717391069613e-07
innovation,275000001,valid:lambda3:273000005:analytic,lambda3,4,analytic,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000006:period4_hold,lambda3,5,period4_hold,1641,3,1638,0.6605728214503351,0.5502742230347349,0.6599511599511599,0.5500610500610501,-0.0006093845216331506,-0.10968921389396709,0.00020089599614274423,0.08525233599995782,0.11997901557931662,0.08540847580948155,0.11998043115613516,0.00021792707611772072,0.03450875250324108,-6.320284341253257e-05
innovation,275000001,valid:lambda3:273000006:analytic,lambda3,5,analytic,14,3,11,0.6428571428571429,0.6428571428571429,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.25617330414908274,0.1310748372759138,0.3260387507351962,0.16682252016934482,0.0,-0.12509846687316895,0.03411776369268246
