architecture,seed,episode_id,phase,cell,count,mass,baseline_gap,candidate_gap,gap_delta
innovation,275000001,valid:lambda3:273000001:analytic,initial,CC,2,0.2222222222222222,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:analytic,initial,WW,1,0.1111111111111111,0.07866361406114367,0.07866361406114367,0.0
innovation,275000001,valid:lambda3:273000001:analytic,post,CC,4,0.4444444444444444,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:analytic,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:analytic,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:analytic,post,WW,2,0.2222222222222222,0.11738501654730903,0.11738501654730903,0.0
innovation,275000001,valid:lambda3:273000001:neural,initial,CC,2,0.2222222222222222,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,initial,WW,1,0.1111111111111111,0.07866361406114367,0.07866361406114367,0.0
innovation,275000001,valid:lambda3:273000001:neural,post,CC,4,0.4444444444444444,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,post,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:neural,post,WW,2,0.2222222222222222,0.11738501654730903,0.11738501654730903,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,initial,CC,3,0.0018281535648994515,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,post,CC,611,0.37233394271785497,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000001:period4_hold,post,CW,195,0.11882998171846434,0.0,0.012375336315194548,0.012375336315194548
innovation,275000001,valid:lambda3:273000001:period4_hold,post,WC,71,0.043266301035953685,0.007232136293419391,0.0,-0.007232136293419391
innovation,275000001,valid:lambda3:273000001:period4_hold,post,WW,761,0.46374162096282756,0.017627846388319948,0.017627846388319948,0.0
innovation,275000001,valid:lambda3:273000002:neural,initial,CC,3,0.6,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:neural,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:neural,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:neural,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:neural,post,CC,1,0.2,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:neural,post,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:neural,post,WC,1,0.2,0.09844961166381835,0.0,-0.09844961166381835
innovation,275000001,valid:lambda3:273000002:neural,post,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:period4_hold,initial,CC,2,0.16666666666666666,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:period4_hold,initial,CW,1,0.08333333333333333,0.0,0.06661113103230794,0.06661113103230794
innovation,275000001,valid:lambda3:273000002:period4_hold,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:period4_hold,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:period4_hold,post,CC,4,0.3333333333333333,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:period4_hold,post,CW,1,0.08333333333333333,0.0,0.003246466318766276,0.003246466318766276
innovation,275000001,valid:lambda3:273000002:period4_hold,post,WC,1,0.08333333333333333,7.947285970052083e-08,0.0,-7.947285970052083e-08
innovation,275000001,valid:lambda3:273000002:period4_hold,post,WW,3,0.25,0.05542560418446859,0.05542560418446859,0.0
innovation,275000001,valid:lambda3:273000002:analytic,initial,CC,3,0.6,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:analytic,initial,CW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:analytic,initial,WC,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:analytic,initial,WW,0,0.0,0.0,0.0,0.0
innovation,275000001,valid:lambda3:273000002:analytic,post,CC,1,0.2,0.0,0.0,0.0
