name,passes,relation,threshold,value,strict_upper_bound
common.technical_complete,True,==,True,True,
common.lambda3.initial.case_support,True,>=,4,6,
common.lambda3.age1.case_support,True,>=,4,6,
common.lambda3.age2.case_support,True,>=,4,6,
common.lambda3.age3.case_support,True,>=,4,6,
common.lambda3.hold.postcorrection.positive_gap,True,>,0.0,0.4997533698929915,
common.lambda4.initial.case_support,True,>=,4,5,
common.lambda4.age1.case_support,True,>=,4,5,
common.lambda4.age2.case_support,True,>=,4,5,
common.lambda4.age3.case_support,True,>=,4,5,
common.lambda4.hold.postcorrection.positive_gap,True,>,0.0,0.228145038437006,
candidate.lambda3.postcorrection.gap_vs_pretrained,False,<= and <,0.13835543056869123,0.14986222891345968,0.15372825618743471
candidate.lambda3.postcorrection.gap_vs_frozen_aux,False,<= and <,0.1381124558829878,0.14986222891345968,0.15345828431443087
candidate.lambda3.postcorrection.gap_vs_joint_aux,False,<= and <,0.10451378540815529,0.14986222891345968,0.11612642823128365
candidate.lambda3.postcorrection.gap_vs_joint_spo,False,<= and <,0.13689037285381742,0.14986222891345968,0.15210041428201934
candidate.lambda3.full.agreement,False,>=,0.7095775317377795,0.7039220628673144,
candidate.lambda3.initial.agreement,False,>=,0.8271604938271605,0.7839506172839507,
candidate.lambda3.301000001.postcorrection.gap_vs_frozen_aux,True,<=,0.16263400077187232,0.14986611036406353,
candidate.lambda3.301000002.postcorrection.gap_vs_frozen_aux,False,<=,0.13428531466709964,0.14078013960004715,
candidate.lambda3.301000003.postcorrection.gap_vs_frozen_aux,True,<=,0.16345553750432065,0.15894043677626837,
candidate.lambda4.postcorrection.gap_vs_pretrained,False,<= and <,0.07114841947032984,0.08334270443487753,0.0790537994114776
candidate.lambda4.postcorrection.gap_vs_frozen_aux,False,<= and <,0.07664190944049065,0.08334270443487753,0.08515767715610072
candidate.lambda4.postcorrection.gap_vs_joint_aux,False,<= and <,0.0550391037086486,0.08334270443487753,0.06115455967627622
candidate.lambda4.postcorrection.gap_vs_joint_spo,False,<= and <,0.05789755763269656,0.08334270443487753,0.06433061959188506
candidate.lambda4.full.agreement,False,>=,0.5698330336079585,0.5494648173885639,
candidate.lambda4.initial.agreement,False,>=,0.5802469135802469,0.5,
candidate.lambda4.301000001.postcorrection.gap_vs_frozen_aux,True,<=,0.08560104164801424,0.0759421367942262,
candidate.lambda4.301000002.postcorrection.gap_vs_frozen_aux,False,<=,0.08415683862323785,0.09270532029407169,
candidate.lambda4.301000003.postcorrection.gap_vs_frozen_aux,True,<=,0.08571515119705006,0.08138065621633472,
