family,seed,training_mode,stage,readout,objective,parameter_count,trainable_parameter_count,epochs,steps,wall_seconds,fit_seconds,evaluation_clone_seconds,train_rescore_seconds,checkpoint_seconds,forward_chunks,backward_chunks,no_grad_chunks,differentiable_chunks,skipped_backward_chunks,other_seconds,allocation
pretrained,301000001,pretrain,pretrain,shared,aux,5996,5996,80,720,161.527182084,160.752975792,0.000879625,0.771710167,0.001344166,29482,29482,0,29482,0,0.0002723340000159169,shared_pretraining_once_per_seed
frozen_aux,301000001,frozen,adaptation,protected,aux,6112,116,40,360,41.205414542,39.96450625,0.002114333,1.236733333,0.001849416,15052,2849,12203,2849,12203,0.00021121000000334789,branch_excluding_shared_pretraining
frozen_spo,301000001,frozen,adaptation,protected,spo,6112,116,40,360,43.773234041,42.77298025,0.001879333,0.994215917,0.003922167,15052,2849,12203,2849,12203,0.00023637399999643094,branch_excluding_shared_pretraining
joint_aux,301000001,joint,adaptation,protected,aux,6112,6112,40,360,94.99379775,93.955352208,0.001206042,1.035662875,0.001287083,15052,15052,0,15052,0,0.0002895420000044169,branch_excluding_shared_pretraining
joint_spo,301000001,joint,adaptation,protected,spo,6112,6112,40,360,102.233649958,101.266495875,0.003676,0.961877209,0.001293875,15052,15052,0,15052,0,0.00030699900000286107,branch_excluding_shared_pretraining
pretrained,301000002,pretrain,pretrain,shared,aux,5996,5996,80,720,179.230160542,178.468942292,0.000695416,0.758971666,0.001258,29914,29914,0,29914,0,0.00029316799998468923,shared_pretraining_once_per_seed
frozen_aux,301000002,frozen,adaptation,protected,aux,6112,116,40,360,41.662404792,40.662329834,0.001779084,0.996486167,0.001632916,14783,2840,11943,2840,11943,0.00017679100000123071,branch_excluding_shared_pretraining
frozen_spo,301000002,frozen,adaptation,protected,spo,6112,116,40,360,44.760770084,43.475165084,0.009565542,1.274541542,0.001274583,14783,2840,11943,2840,11943,0.00022333300000099143,branch_excluding_shared_pretraining
joint_aux,301000002,joint,adaptation,protected,aux,6112,6112,40,360,99.857183125,98.7069595,0.003601,1.144185667,0.001763208,14783,14783,0,14783,0,0.0006737500000042473,branch_excluding_shared_pretraining
joint_spo,301000002,joint,adaptation,protected,spo,6112,6112,40,360,114.309129375,113.229878834,0.00193,1.075477459,0.001561542,14783,14783,0,14783,0,0.0002815399999889223,branch_excluding_shared_pretraining
pretrained,301000003,pretrain,pretrain,shared,aux,5996,5996,80,720,163.903717333,162.903230375,0.000915958,0.9979975,0.001297792,30286,30286,0,30286,0,0.0002757080000037604,shared_pretraining_once_per_seed
frozen_aux,301000003,frozen,adaptation,protected,aux,6112,116,40,360,42.891424,41.855796791,0.003721375,1.029782417,0.001932416,14716,2869,11847,2869,11847,0.00019100099999747044,branch_excluding_shared_pretraining
frozen_spo,301000003,frozen,adaptation,protected,spo,6112,116,40,360,44.878954916,43.876850041,0.003651542,0.994414292,0.003833875,14716,2869,11847,2869,11847,0.000205166000000645,branch_excluding_shared_pretraining
joint_aux,301000003,joint,adaptation,protected,aux,6112,6112,40,360,98.247998167,97.222004042,0.002060583,1.021702584,0.001919708,14716,14716,0,14716,0,0.00031125000000997716,branch_excluding_shared_pretraining
joint_spo,301000003,joint,adaptation,protected,spo,6112,6112,40,360,101.985061833,100.746987583,0.013299458,1.222538334,0.001592917,14716,14716,0,14716,0,0.0006435410000023012,branch_excluding_shared_pretraining
