anchor_id,episode_id,regime,case,schedule,preaction_step,weight,same_action,half_a,half_b,mean_advantage,paired_standard_error,physical_records,tied_replicates,both_censored_replicates,analytic_censored_fraction,neural_censored_fraction
0,train:base:19500001:always,base,0,always,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
1,train:base:19500001:always,base,0,always,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,11,0.6875,0.6875
2,train:base:19500001:always,base,0,always,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
3,train:base:19500001:always,base,0,always,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
5,train:base:19500001:never,base,0,never,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
6,train:base:19500001:never,base,0,never,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,7,0.4375,0.4375
7,train:base:19500001:never,base,0,never,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
10,train:base:19500001:period2,base,0,period2,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
11,train:base:19500001:period2,base,0,period2,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
12,train:base:19500001:period2,base,0,period2,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
13,train:base:19500001:period2,base,0,period2,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
15,train:base:19500002:never,base,1,never,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
16,train:base:19500002:never,base,1,never,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
17,train:base:19500002:never,base,1,never,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
20,train:base:19500002:period2,base,1,period2,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
21,train:base:19500002:period2,base,1,period2,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
22,train:base:19500002:period2,base,1,period2,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
25,train:base:19500002:always,base,1,always,0,0.027777777777777776,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
30,train:base:19500003:period2,base,2,period2,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
31,train:base:19500003:period2,base,2,period2,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
32,train:base:19500003:period2,base,2,period2,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
35,train:base:19500003:always,base,2,always,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
36,train:base:19500003:always,base,2,always,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
37,train:base:19500003:always,base,2,always,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
40,train:base:19500003:never,base,2,never,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
41,train:base:19500003:never,base,2,never,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
42,train:base:19500003:never,base,2,never,8,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
45,train:base:19500004:always,base,3,always,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
46,train:base:19500004:always,base,3,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
47,train:base:19500004:always,base,3,always,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,13,0.8125,0.8125
48,train:base:19500004:always,base,3,always,16,0.005555555555555556,False,4.125,2.625,3.375,1.5079649642260702,32,6,2,0.5625,0.25
49,train:base:19500004:always,base,3,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
50,train:base:19500004:never,base,3,never,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,4,0.25,0.25
51,train:base:19500004:never,base,3,never,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
52,train:base:19500004:never,base,3,never,8,0.005555555555555556,False,-1.125,0.875,-0.125,2.2339706802015105,32,10,8,0.6875,0.75
53,train:base:19500004:never,base,3,never,16,0.005555555555555556,False,3.0,-0.125,1.4375,1.224638552117862,32,11,6,0.5,0.625
54,train:base:19500004:never,base,3,never,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,7,0.4375,0.4375
55,train:base:19500004:period2,base,3,period2,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
56,train:base:19500004:period2,base,3,period2,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
57,train:base:19500004:period2,base,3,period2,8,0.005555555555555556,False,1.5,-1.375,0.0625,0.818885166959731,32,9,8,0.5625,0.625
58,train:base:19500004:period2,base,3,period2,16,0.005555555555555556,False,-1.5,5.25,1.875,2.1328287163608177,32,9,6,0.5625,0.4375
59,train:base:19500004:period2,base,3,period2,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
60,train:base:19500005:never,base,4,never,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
61,train:base:19500005:never,base,4,never,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,4,0.25,0.25
62,train:base:19500005:never,base,4,never,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
63,train:base:19500005:never,base,4,never,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,8,0.5,0.5
64,train:base:19500005:never,base,4,never,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
65,train:base:19500005:period2,base,4,period2,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
66,train:base:19500005:period2,base,4,period2,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
67,train:base:19500005:period2,base,4,period2,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
68,train:base:19500005:period2,base,4,period2,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,10,0.625,0.625
70,train:base:19500005:always,base,4,always,0,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
71,train:base:19500005:always,base,4,always,4,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,6,0.375,0.375
72,train:base:19500005:always,base,4,always,8,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,5,0.3125,0.3125
73,train:base:19500005:always,base,4,always,16,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
74,train:base:19500005:always,base,4,always,32,0.005555555555555556,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
75,train:base:19500006:period2,base,5,period2,0,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
76,train:base:19500006:period2,base,5,period2,4,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
80,train:base:19500006:always,base,5,always,0,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
81,train:base:19500006:always,base,5,always,4,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
85,train:base:19500006:never,base,5,never,0,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
86,train:base:19500006:never,base,5,never,4,0.013888888888888888,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
90,train:base:19500007:always,base,6,always,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
91,train:base:19500007:always,base,6,always,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,11,0.6875,0.6875
92,train:base:19500007:always,base,6,always,8,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,11,0.6875,0.6875
93,train:base:19500007:always,base,6,always,16,0.006944444444444444,False,-7.875,-6.75,-7.3125,1.8364793083506277,32,1,0,0.0,0.0625
95,train:base:19500007:never,base,6,never,0,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,7,0.4375,0.4375
96,train:base:19500007:never,base,6,never,4,0.009259259259259259,True,0.0,0.0,0.0,0.0,16,16,9,0.5625,0.5625
97,train:base:19500007:never,base,6,never,8,0.009259259259259259,False,-3.0,-0.25,-1.625,2.2965100333622175,32,9,9,0.625,0.6875
100,train:base:19500007:period2,base,6,period2,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
101,train:base:19500007:period2,base,6,period2,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,7,0.4375,0.4375
102,train:base:19500007:period2,base,6,period2,8,0.006944444444444444,False,-0.5,-0.75,-0.625,0.6574889099191459,32,11,8,0.5,0.625
103,train:base:19500007:period2,base,6,period2,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
105,train:base:19500008:never,base,7,never,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,1,0.0625,0.0625
106,train:base:19500008:never,base,7,never,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,2,0.125,0.125
107,train:base:19500008:never,base,7,never,8,0.006944444444444444,False,-4.0,-2.75,-3.375,2.5279685520195856,32,4,1,0.125,0.25
108,train:base:19500008:never,base,7,never,16,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,0,0.0,0.0
110,train:base:19500008:period2,base,7,period2,0,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,4,0.25,0.25
111,train:base:19500008:period2,base,7,period2,4,0.006944444444444444,True,0.0,0.0,0.0,0.0,16,16,3,0.1875,0.1875
112,train:base:19500008:period2,base,7,period2,8,0.006944444444444444,False,2.25,0.25,1.25,2.19753649950727,32,6,0,0.0,0.0
