name,passes,relation,threshold,value
technical_complete,True,>=,1,1
base.different_anchors,True,>=,12,15
base.different_cases,False,>=,6,5
base.covariance.all,True,>,0.0,0.5055043563528807
base.covariance.different_action,True,>,0.0,5.351460139975492
shift.different_anchors,True,>=,12,44
shift.different_cases,True,>=,6,12
shift.covariance.all,False,>,0.0,-0.1195639896262003
shift.covariance.different_action,False,>,0.0,-0.3870693250921178
pooled_lower.all,False,>,0.0,-0.06839313271604937
pooled_lower.different_action,True,>,0.0,0.10454567900952577
