metric,seconds,scope
pilot_worker_seconds,152.495219708,Full physical phase; do not add worker and parent.
pilot_parent_seconds,152.923802375,Full physical phase; do not add worker and parent.
audit_worker_seconds,6.130270917,Full physical phase; do not add worker and parent.
audit_parent_seconds,6.197621459,Full physical phase; do not add worker and parent.
anchor_save_seconds,0.006100458092987537,Saved phase or overlapping I/O; see producer scope.
collection_wall_seconds,65.43609383306466,Saved phase or overlapping I/O; see producer scope.
journal_io_seconds,42.335721930721775,Saved phase or overlapping I/O; see producer scope.
paired_labels_wall_seconds,82.22665133397095,Saved phase or overlapping I/O; see producer scope.
setup_wall_seconds,3.8315680420491844,Saved phase or overlapping I/O; see producer scope.
operation.actor_choose,50.48822980746627,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.actor_construction,0.00808145897462964,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.actor_update,0.1412626977544278,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.anchor_save,0.006100458092987537,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.anchor_validate,0.02812228142283857,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.annotation_score,3.050964080961421,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.backend_binding,0.0026528784073889256,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.native_reset,0.3521661714185029,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.native_step,5.241715437732637,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.pair_panel,43.351979203056544,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.panel_reduce,0.011089624604210258,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.signal_reduce,0.03665429097600281,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.tensorflow_build,0.053616249933838844,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.tensorflow_construction,0.011191291967406869,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.tensorflow_load,0.008620416978374124,Nested instrumented work excluding measured I/O; not additive to phase wall.
operation.tensorflow_value,50.95687378873117,Nested instrumented work excluding measured I/O; not additive to phase wall.
journal_close_seconds,0.0003432920202612877,"Separate final journal closure, included in worker/parent wall; not part of earlier saved phases."
