metric,count
audit.anchors,264
audit.checks,6605798
audit.continuation_found,3575
audit.continuation_moves,98976
audit.episodes,72
audit.native_saved_categorical_checks,2776
audit.native_saved_steps,2776
audit.physical_continuations,5168
audit.producer_payloads,16
audit.replayed_hit_draws,95401
audit.replayed_source_draws,4224
audit.sampler_events,823282
audit.sampler_operations,406209
audit.source_files,129
audit.unavailable_anchors,96
audit.work_operations,10925
producer.completed_episodes,72
producer.trajectory_rows,2776
producer.available_anchors,264
producer.panels,264
producer.queries,1406
producer.external_annotations,88
producer.sampler_records,5168
producer.sampler_events,823282
