family,group,scope,seed,episodes,max_residuals.pair_mse,max_residuals.strict_margin,metrics.agreement,metrics.first_argmin_match,metrics.legal_centered_mse,metrics.near_all_best_mass,metrics.near_mixed_correct_mass,metrics.near_mixed_wrong_mass,metrics.near_no_best_mass,metrics.pair_mse_best_best,metrics.pair_mse_best_rest,metrics.pair_mse_rest_rest,metrics.raw_gap,metrics.selection_differs_from_strict_mass,metrics.strict_argmin_error_difference,metrics.strict_argmin_prediction_margin,metrics.strict_argmin_raw_gap,rows,supported_episodes,teacher_margin.conditional_mean,teacher_margin.contribution,teacher_margin.mass,teacher_margin.rows,weight_mass
hold,overall,full,,36,0.0,0.0,0.29552552104507573,0.26774774326729794,0.27417910711554566,0.2814838948475726,0.014041626197503173,0.2369688784626663,0.41195004493670245,3.2684330032798553e-15,0.1595979438421311,0.11458116327341125,0.5212669099824225,0.0,-0.7101156302948425,-0.18884872031241995,0.5212669099824225,10333,34,0.3989067381611672,0.376745252707769,0.9444444444444444,10333,0.9444444444444444
hold,lambda3,full,,18,0.0,0.0,0.2919324255831769,0.2919324255831769,0.34399482255281755,0.28834382784467055,0.0035885977385063305,0.3400121466970638,0.3680554277197593,3.6820505141516916e-16,0.1960277206511526,0.14796710190166462,0.684457671496024,0.0,-0.8945235941150985,-0.2100659226190745,0.684457671496024,6807,18,0.43659205908705034,0.43659205908705034,1.0,6807,1.0
hold,lambda3/analytic,full,,6,0.0,0.0,0.29458152484468275,0.29458152484468275,0.17413300167690257,0.29458152484468275,0.0,0.5109831491410438,0.19443532601427338,0.0,0.10621393163867687,0.0679190700382257,0.4926244755231626,0.0,-0.5884053904551277,-0.0957809149319651,0.4926244755231626,103,6,0.3479698356320475,0.3479698356320475,1.0,103,1.0
hold,lambda3/neural,full,,6,0.0,0.0,0.28987455197132617,0.28987455197132617,0.25796176559065115,0.28987455197132617,0.0,0.42684331797235026,0.2832821300563236,0.0,0.16808808848815138,0.08987367710249977,0.5702329527642015,0.0,-0.7723071367326786,-0.20207418396847712,0.5702329527642015,100,6,0.44697717257908415,0.44697717257908415,1.0,100,1.0
hold,lambda3/period4_hold,full,,6,0.0,0.0,0.2913411999335217,0.2913411999335217,0.5998897003908991,0.2805754067180027,0.010765793215518992,0.08220997297779747,0.6264488270886809,1.1046151542455075e-15,0.3137811418266295,0.2861085585642684,0.9905155862007079,0.0,-1.3228582551574892,-0.3323426689567813,0.9905155862007079,6604,6,0.5148291690500194,0.5148291690500194,1.0,6604,1.0
hold,lambda3/case0,full,,3,0.0,0.0,0.35065177478340187,0.35065177478340187,0.33689301737579,0.34922987756625784,0.001421897217144018,0.06558510717560077,0.5837631180409973,1.0103187386391836e-16,0.16418481019184486,0.17270820718394506,0.5701970453185411,0.0,-0.7865905166745139,-0.21639347135597276,0.5701970453185411,1706,3,0.443419692641434,0.443419692641434,1.0,1706,1.0
hold,lambda3/case1,full,,3,0.0,0.0,0.2215112736136502,0.2215112736136502,0.35368920293996603,0.22029250457038393,0.001218769043266301,0.5030469226081657,0.275441803778184,0.0,0.16831932719716694,0.18536987574279903,0.7032101555566053,0.0,-0.8100752037956104,-0.10686504823900494,0.7032101555566053,1649,3,0.34080968761792785,0.34080968761792785,1.0,1649,1.0
hold,lambda3/case2,full,,3,0.0,0.0,0.16219784684135688,0.16219784684135688,0.5652236209102554,0.16219784684135688,0.0,0.5006093845216332,0.33719276863701,2.886624967540525e-18,0.369793386197923,0.1954302347123323,1.0304330078877013,0.0,-1.4111680373558542,-0.38073502946815285,1.0304330078877013,1648,3,0.47164792535558303,0.47164792535558303,1.0,1648,1.0
hold,lambda3/case3,full,,3,0.0,0.0,0.7130092130092129,0.7130092130092129,0.05383041417766581,0.7130092130092129,0.0,0.10680985680985682,0.18018093018093018,0.0,0.024219665043666242,0.02961074913399957,0.036996496783627146,0.0,-0.08600884982306072,-0.049012353039433576,0.036996496783627146,89,3,0.32168532174731057,0.32168532174731057,1.0,89,1.0
hold,lambda3/case4,full,,3,0.0,0.0,0.24866888969588366,0.24866888969588366,0.4598375977455607,0.229777969525256,0.018890920170627667,0.12328086832638592,0.6280502419777304,0.0,0.24979838350995875,0.210039214235602,0.7496240496658007,0.0,-1.1410378441573132,-0.39141379449151253,0.7496240496658007,1691,3,0.5331403580050105,0.5331403580050105,1.0,1691,1.0
hold,lambda3/case5,full,,3,0.0,0.0,0.05555555555555555,0.05555555555555555,0.29449508216766757,0.05555555555555555,0.0,0.7407407407407408,0.20370370370370372,2.105311809659556e-15,0.19985075176635567,0.09464433040130976,1.0162852737638686,0.0,-1.1322611128842388,-0.11597583912037036,1.0162852737638686,24,3,0.5088493691550361,0.5088493691550361,1.0,24,1.0
hold,lambda4,full,,18,0.0,0.0,0.2991186165069746,0.24356306095141905,0.2043633916782737,0.2746239618504746,0.024494654656500015,0.13392561022826868,0.4558446621536456,6.1686609551445416e-15,0.12316816703310964,0.08119522464515788,0.358076148468821,0.0,-0.5257076664745864,-0.16763151800576545,0.358076148468821,3526,16,0.3565107521195486,0.3168984463284876,0.8888888888888888,3526,0.8888888888888888
hold,lambda4/analytic,full,,6,0.0,0.0,0.42111111111111116,0.2544444444444444,0.1579119909866712,0.42111111111111116,0.0,0.13698412698412699,0.44190476190476186,9.473903143468002e-15,0.11676687024808831,0.041145120738573404,0.2507718236862667,0.0,-0.42455662265656485,-0.17378479897029817,0.2507718236862667,115,6,0.3493362753353422,0.3493362753353422,1.0,115,1.0
hold,lambda4/neural,full,,6,0.0,0.0,0.24903680770553835,0.24903680770553835,0.15508699514054072,0.2085956312349501,0.04044117647058824,0.08611971104231166,0.4981768145854833,8.916614723264002e-15,0.09063288318649908,0.06445411195403274,0.3082606708220202,0.0,-0.4687052448303543,-0.1604445740083341,0.3082606708220202,76,5,0.333039703745591,0.2775330864546592,0.8333333333333334,76,0.8333333333333334
hold,lambda4/period4_hold,full,,6,0.0,0.0,0.2272079307042744,0.2272079307042744,0.30009118890760916,0.1941651432053626,0.03304278749891181,0.17867299265836745,0.4274524099706915,1.15464998701621e-16,0.16210474766474156,0.13798644124286752,0.515195950898176,0.0,-0.6838611319368401,-0.1686651810386641,0.515195950898176,3335,5,0.3885911726345538,0.3238259771954615,0.8333333333333334,3335,0.8333333333333334
hold,lambda4/case0,full,,3,0.0,0.0,0.595,0.595,0.10539717649556189,0.5116666666666666,0.08333333333333333,0.008888888888888889,0.3961111111111111,0.0,0.06463775257996442,0.04075942391559746,0.19041179365581937,0.0,-0.33112005419201324,-0.14070826053619387,0.19041179365581937,123,3,0.2706093676884969,0.2706093676884969,1.0,123,1.0
hold,lambda4/case1,full,,3,0.0,0.0,0.3235171261487051,0.3235171261487051,0.12275131222091445,0.2997076023391813,0.023809523809523808,0.14310776942355888,0.5333751044277361,0.0,0.07674257903952422,0.046008733181390225,0.2799507596638169,0.0,-0.42916118560877065,-0.14921042594495373,0.2799507596638169,62,3,0.2951180216463387,0.2951180216463387,1.0,62,1.0
hold,lambda4/case2,full,,3,0.0,0.0,0.06666666666666667,0.06666666666666667,0.11072719246165548,0.06666666666666667,0.0,0.0,0.26666666666666666,0.0,0.09668928880418548,0.014037903657469998,0.1789596239725749,0.0,-0.2895812034606933,-0.1106215794881185,0.1789596239725749,5,1,0.6316324234008789,0.2105441411336263,0.3333333333333333,5,0.3333333333333333
hold,lambda4/case3,full,,3,0.0,0.0,0.4083294500005974,0.4083294500005974,0.42222008440114117,0.3687075073783322,0.03962194262226524,0.07536652686668817,0.5163040231327144,1.80179734444506e-14,0.2642812344698637,0.15793884993125945,0.6395303595570451,0.0,-1.010372729996331,-0.370842370439286,0.6395303595570451,1670,3,0.5002598519880259,0.5002598519880259,1.0,1670,1.0
hold,lambda4/case4,full,,3,0.0,0.0,0.03333333333333333,0.03333333333333333,0.1385198019321335,0.03333333333333333,0.0,0.5761904761904763,0.3904761904761904,0.0,0.0690345680266906,0.06948523390544291,0.27660168693179177,0.0,-0.36957782563709074,-0.09297613870529901,0.27660168693179177,18,3,0.18480855850946334,0.18480855850946334,1.0,18,1.0
hold,lambda4/case5,full,,3,0.0,0.0,0.3678651228925452,0.034531789559211865,0.32656478255823573,0.36766199471866745,0.00020312817387771684,0.0,0.6321348771074548,1.8993992286416655e-14,0.1676235792784295,0.15894120327978725,0.5830026670318781,0.0,-0.7244329999526196,-0.1414303329207416,0.5830026670318781,1648,3,0.4400507370049746,0.4400507370049746,1.0,1648,1.0
