baseline_family,candidate_family,contrast,group,scope,seed,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001,36,10333,34,10333,34,0.9444444444444444,CC,0.6248917662146828,0.04728381939187081,0.0,0.0,0.00025494717892067927,0.021118135339028347,0.025910736873921786,0.0,0.6248917662146828,0.04533538097387625,0.0,0.0,0.0003408727979293837,0.021131416109362408,0.023863092066584456,0.0,0.0,-0.0019484384179945628,0.0,0.0,8.592561900870447e-05,1.3280770334062106e-05,-0.0020476448073373293,0.0,0.6248917662146828,6247,0.4758004083435239,0.2973237575354519,0.6248917662146828,6247
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001,36,10333,34,10333,34,0.9444444444444444,CW,0.04691613254326707,0.0032850521079406288,0.0,0.0,3.6549097788180796e-07,0.0015733182605945676,0.0017113683563681793,0.0,0.0,0.005642663764553784,0.0,0.04691613254326707,1.5798889115859617e-07,0.002989006572543512,0.0026534992031191137,0.015318514737975806,-0.04691613254326707,0.0023576116566131552,0.0,0.04691613254326707,-2.0750208672321176e-07,0.0014156883119489443,0.0009421308467509341,0.015318514737975806,0.04691613254326707,321,0.28808777859898377,0.0135159644048453,0.04691613254326707,321
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001,36,10333,34,10333,34,0.9444444444444444,WC,0.0,0.007315977931762801,0.0,0.07538342774841039,1.0870598706375876e-05,0.005285519240681736,0.0020195880923746887,0.029348501350794327,0.07538342774841039,0.004805584539570811,0.0,0.0,1.0102109382671538e-05,0.0025132914720342337,0.002282190958153906,0.0,0.07538342774841039,-0.002510393392191989,0.0,-0.07538342774841039,-7.684893237043397e-07,-0.002772227768647502,0.00026260286577921705,-0.029348501350794327,0.07538342774841039,361,0.34962753258605267,0.0263561218415557,0.07538342774841039,361
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,285000001,36,10333,34,10333,34,0.9444444444444444,WW,0.0,0.038132074785755046,0.0,0.1972531179380842,1.0656078216141232e-05,0.028085377618158318,0.010036041089380585,0.05677216799898158,0.0,0.03253188441551987,0.0,0.1972531179380842,7.098817025403591e-07,0.022723962176238708,0.009807212357578622,0.05234827326581144,0.0,-0.0056001903702351695,0.0,0.0,-9.946196513600873e-06,-0.005361415441919607,-0.00022882873180196084,-0.004423894733170143,0.1972531179380842,3404,0.20050080495219483,0.0395494089259161,0.1972531179380842,3404
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001,18,6807,18,6807,18,1.0,CC,0.6622135823543357,0.05393914205505332,0.0,0.0,0.00026798197822932045,0.02169236080818386,0.03197879926864013,0.0,0.6622135823543357,0.051502288841045504,0.0,0.0,0.00035615335312521066,0.022207994507311077,0.02893814098060922,0.0,0.0,-0.0024368532140078077,0.0,0.0,8.817137489589023e-05,0.0005156336991272157,-0.003040658288030914,0.0,0.6622135823543357,3871,0.5126933944311871,0.3395125293756808,0.6622135823543357,3871
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001,18,6807,18,6807,18,1.0,CW,0.05525854432311839,0.004573666938160846,0.0,0.0,7.309819557636159e-07,0.0022078571479127013,0.0023650788082923814,0.0,0.0,0.006617626000100224,0.0,0.05525854432311839,3.1597778231719235e-07,0.003797098058734879,0.0028202119635830276,0.01792786915919651,-0.05525854432311839,0.002043959061939378,0.0,0.05525854432311839,-4.150041734464235e-07,0.0015892409108221779,0.0004551331552906463,0.01792786915919651,0.05525854432311839,105,0.31887615976189654,0.017620632407788543,0.05525854432311839,105
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001,18,6807,18,6807,18,1.0,WC,0.0,0.011168412544226972,0.0,0.09615325421637362,6.895393293723837e-06,0.008456742872229429,0.0027047742787038183,0.04464801742484843,0.09615325421637362,0.006960570430708617,0.0,0.0,4.288566103680406e-08,0.0035430059478433976,0.003417521597204184,0.0,0.09615325421637362,-0.004207842113518353,0.0,-0.09615325421637362,-6.852507632687033e-06,-0.004913736924386032,0.000712747318500366,-0.04464801742484843,0.09615325421637362,156,0.43278119901946477,0.04161332064938558,0.09615325421637362,156
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,285000001,18,6807,18,6807,18,1.0,WW,0.0,0.0496675669964903,0.0,0.18637461910617228,2.1312156432282464e-05,0.038143906082702725,0.011502348757355292,0.059559285909983765,0.0,0.04118861040452219,0.0,0.18637461910617228,1.4197634050807183e-06,0.029762162919070315,0.011425027722046795,0.05532184929324358,0.0,-0.008478956591968116,0.0,0.0,-1.9892393027201745e-05,-0.008381743163632417,-7.732103530849693e-05,-0.004237436616740183,0.18637461910617228,2675,0.2030618591506598,0.037845576654195426,0.18637461910617228,2675
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,285000001,6,103,6,103,6,1.0,CC,0.7126098770835613,0.030191454378106913,0.0,0.0,0.0003386698345787765,0.012218967408833584,0.01763381713469455,0.0,0.7126098770835613,0.0327253711193054,0.0,0.0,0.0005141981371778666,0.014119374042095546,0.01809179894003199,0.0,0.0,0.002533916741198489,0.0,0.0,0.00017552830259909,0.0019004066332619616,0.0004579818053374379,0.0,0.7126098770835613,68,0.3213988528302077,0.2290319970101319,0.7126098770835613,68
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,285000001,6,103,6,103,6,1.0,CW,0.07699754410280726,0.0057082566130722346,0.0,0.0,0.0,0.0030630196093262983,0.0026452370037459375,0.0,0.0,0.00901937138319078,0.0,0.07699754410280726,0.0,0.0054782109852477045,0.0035411603979430746,0.029909685223117443,-0.07699754410280726,0.003311114770118544,0.0,0.07699754410280726,0.0,0.002415191375921406,0.0008959233941971374,0.029909685223117443,0.07699754410280726,7,0.3823955030581517,0.0294435146114352,0.07699754410280726,7
