baseline_family,candidate_family,contrast,group,normalization_scope,phase,seeds,episodes,normalization_rows,normalization_supported_episodes,rows,supported_episodes,weight_mass,cell,cell_statistics.baseline.agreement,cell_statistics.baseline.legal_centered_mse,cell_statistics.baseline.near_mixed_wrong_mass,cell_statistics.baseline.near_no_best_mass,cell_statistics.baseline.pair_mse_best_best,cell_statistics.baseline.pair_mse_best_rest,cell_statistics.baseline.pair_mse_rest_rest,cell_statistics.baseline.raw_gap,cell_statistics.candidate.agreement,cell_statistics.candidate.legal_centered_mse,cell_statistics.candidate.near_mixed_wrong_mass,cell_statistics.candidate.near_no_best_mass,cell_statistics.candidate.pair_mse_best_best,cell_statistics.candidate.pair_mse_best_rest,cell_statistics.candidate.pair_mse_rest_rest,cell_statistics.candidate.raw_gap,cell_statistics.delta.agreement,cell_statistics.delta.legal_centered_mse,cell_statistics.delta.near_mixed_wrong_mass,cell_statistics.delta.near_no_best_mass,cell_statistics.delta.pair_mse_best_best,cell_statistics.delta.pair_mse_best_rest,cell_statistics.delta.pair_mse_rest_rest,cell_statistics.delta.raw_gap,cell_statistics.mass,cell_statistics.rows,cell_statistics.teacher_margin.conditional_mean,cell_statistics.teacher_margin.contribution,cell_statistics.teacher_margin.mass,cell_statistics.teacher_margin.rows
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001;285000002;285000003,36,10333.0,34.0,96.0,34.0,0.30419548994143747,CC,0.22605045086923622,0.006153751232176308,0.0,0.0,0.00012287491122866674,0.0027873411481307057,0.003243535172816936,0.0,0.22605045086923622,0.0046595866085589015,0.0,0.0,0.0002368823399629864,0.0022492079015025523,0.0021734963670933627,0.0,0.0,-0.0014941646236174076,0.0,0.0,0.00011400742873431965,-0.0005381332466281537,-0.0010700388057235733,0.0,0.22605045086923622,64.33333333333333,0.29237608149495914,0.06609174504531606,0.22605045086923622,64.33333333333333
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001;285000002;285000003,36,10333.0,34.0,96.0,34.0,0.30419548994143747,CW,0.020757809644747435,0.00018432686790827404,0.0,0.0,6.61861429973569e-08,7.12184255967626e-05,0.00011304225616851403,0.0,0.0,0.00039928494274225527,0.0,0.020757809644747435,3.4469514320205686e-08,0.00019496975565522052,0.0002042807175727145,0.001694671827494409,-0.020757809644747435,0.00021495807483398125,0.0,0.020757809644747435,-3.171662867715121e-08,0.0001237513300584579,9.123846140420047e-05,0.001694671827494409,0.020757809644747435,8.333333333333334,0.08164020465055327,0.001694671827494409,0.020757809644747435,8.333333333333334
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001;285000002;285000003,36,10333.0,34.0,96.0,34.0,0.30419548994143747,WC,0.0,0.0025232224637694958,0.0,0.023224088040286917,1.7565853460522666e-06,0.0019182649292347283,0.0006032009491887155,0.007301616092442227,0.023224088040286917,0.0015498842710520667,0.0,0.0,9.305325684350352e-06,0.0007410063788420565,0.0007995725665256598,0.0,0.023224088040286917,-0.0009733381927174292,0.0,-0.023224088040286917,7.548740338298085e-06,-0.0011772585503926716,0.00019637161733694438,-0.007301616092442227,0.023224088040286917,9.666666666666666,0.30343157445848234,0.007046921599426668,0.023224088040286917,9.666666666666666
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,overall,full,initial,285000001;285000002;285000003,36,10333.0,34.0,96.0,34.0,0.30419548994143747,WW,0.0,0.004805294585831013,0.0,0.03416314138716692,3.520832649691649e-06,0.0039372705779796464,0.0008645031752016746,0.01572862526944332,0.0,0.002927527176158545,0.0,0.03416314138716692,2.3037645372348713e-07,0.0020996185643912075,0.0008276782353136138,0.015609044624087859,0.0,-0.0018777674096724683,0.0,0.0,-3.2904561959681613e-06,-0.0018376520135884391,-3.682493988806074e-05,-0.00011958064535546563,0.03416314138716692,13.666666666666666,0.31788040398946976,0.010859793185701993,0.03416314138716692,13.666666666666666
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001;285000002;285000003,18,6807.0,18.0,52.0,18.0,0.32985009555390365,CC,0.24480114063393507,0.008905796493543105,0.0,0.0,0.00012307301883782197,0.003368427428044543,0.005414296046660738,0.0,0.24480114063393507,0.00690089864909441,0.0,0.0,0.0002620821325502688,0.0030477921760054313,0.0035910243405387105,0.0,0.0,-0.002004897844448693,0.0,0.0,0.00013900911371244682,-0.000320635252039112,-0.0018232717061220278,0.0,0.24480114063393507,40.0,0.32859774599872926,0.080441103030229,0.24480114063393507,40.0
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001;285000002;285000003,18,6807.0,18.0,52.0,18.0,0.32985009555390365,CW,0.02270145424725965,0.00012385613311279915,0.0,0.0,1.323722859947138e-07,3.777665044135594e-05,8.59471103854485e-05,0.0,0.0,0.0003661951820524872,0.0,0.02270145424725965,6.893902864041137e-08,0.00022600759664296818,0.00014011864638087862,0.0003797656429474818,-0.02270145424725965,0.00024233904893968808,0.0,0.02270145424725965,-6.343325735430242e-08,0.0001882309462016122,5.4171535995430115e-05,0.0003797656429474818,0.02270145424725965,3.0,0.0167286923036362,0.0003797656429474818,0.02270145424725965,3.0
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001;285000002;285000003,18,6807.0,18.0,52.0,18.0,0.32985009555390365,WC,0.0,0.004559932067462366,0.0,0.03237085214537987,1.4008382740971257e-09,0.003515344761781914,0.0010445859048421764,0.012228478776846068,0.03237085214537987,0.0027210443044767313,0.0,0.0,5.4188032438806155e-11,0.0013274436590763768,0.0013936005912123222,0.0,0.03237085214537987,-0.0018388877629856332,0.0,-0.03237085214537987,-1.3466502416583198e-09,-0.002187901102705538,0.00034901468637014597,-0.012228478776846068,0.03237085214537987,5.333333333333333,0.3623459782286221,0.01172944808671176,0.03237085214537987,5.333333333333333
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3,full,initial,285000001;285000002;285000003,18,6807.0,18.0,52.0,18.0,0.32985009555390365,WW,0.0,0.008180501832605812,0.0,0.02997664852732901,7.041665299383298e-06,0.006861177699926926,0.0013122824673795035,0.024401468765841105,0.0,0.004868204817570881,0.0,0.02997664852732901,4.6075290744697426e-07,0.00358213607297771,0.0012856079916857249,0.02415195342077395,0.0,-0.0033122970150349317,0.0,0.0,-6.580912391936323e-06,-0.003279041626949216,-2.6674475693778766e-05,-0.0002495153450671539,0.02997664852732901,3.6666666666666665,0.4986386754070275,0.014947516314809358,0.02997664852732901,3.6666666666666665
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,initial,285000001;285000002;285000003,6,103.0,6.0,16.0,6.0,0.5109831491410438,CC,0.3787836419415367,0.01397344909192757,0.0,0.0,0.00015748615826257487,0.005063400288560379,0.008752562645104617,0.0,0.3787836419415367,0.010109832668511445,0.0,0.0,0.0003462633256374194,0.004349221814715285,0.00541434752815874,0.0,0.0,-0.0038636164234161267,0.0,0.0,0.00018877716737484448,-0.0007141784738450935,-0.0033382151169458773,0.0,0.3787836419415367,12.666666666666666,0.27802979965395463,0.10531314008120073,0.3787836419415367,12.666666666666666
innovation_shared_mse,innovation_shared_aux,innovation.shared_mse_to_shared_aux,lambda3/analytic,full,initial,285000001;285000002;285000003,6,103.0,6.0,16.0,6.0,0.5109831491410438,CW,0.05555555555555555,0.0002596659746522,0.0,0.0,0.0,6.567688506938414e-05,0.00019398908958281584,0.0,0.0,0.0008616234324902747,0.0,0.05555555555555555,0.0,0.0005172543655799839,0.0003443690669102908,2.6490953233506943e-08,-0.05555555555555555,0.0006019574578380747,0.0,0.05555555555555555,0.0,0.0004515774805105997,0.000150379977327475,2.6490953233506943e-08,0.05555555555555555,0.3333333333333333,4.76837158203125e-07,2.6490953233506943e-08,0.05555555555555555,0.3333333333333333
