name,passes,relation,threshold,value
technical_complete_requires_closed_saved_audit,True,>=,1,1
lambda3.age1.case_support,True,>=,4,6
lambda3.age2.case_support,True,>=,4,6
lambda3.age3.case_support,True,>=,4,6
lambda3.235001.agreement_vs_hold,True,>=,0.30243112340259365,0.7074579151357407
lambda3.235001.gap_vs_hold,True,<=,0.40925928211556706,0.1069309911916001
lambda3.235001.age1.gap_vs_hold,True,<=,0.26150308742726813,0.059679206867874215
lambda3.235001.age2.gap_vs_hold,True,<=,0.5484850595965836,0.13556411802487933
lambda3.235001.age3.gap_vs_hold,True,<=,0.6908799075438394,0.1257736546283003
lambda3.235002.agreement_vs_hold,True,>=,0.30243112340259365,0.7042758420549315
lambda3.235002.gap_vs_hold,True,<=,0.40925928211556706,0.09856580734177561
lambda3.235002.age1.gap_vs_hold,True,<=,0.26150308742726813,0.08244393918134243
lambda3.235002.age2.gap_vs_hold,True,<=,0.5484850595965836,0.08690009000976308
lambda3.235002.age3.gap_vs_hold,True,<=,0.6908799075438394,0.1261876892494456
lambda3.235003.agreement_vs_hold,True,>=,0.30243112340259365,0.7340350407505211
lambda3.235003.gap_vs_hold,True,<=,0.40925928211556706,0.09400617024176677
lambda3.235003.age1.gap_vs_hold,True,<=,0.26150308742726813,0.025988289047751724
lambda3.235003.age2.gap_vs_hold,True,<=,0.5484850595965836,0.11343574871972674
lambda3.235003.age3.gap_vs_hold,True,<=,0.6908799075438394,0.14446954692474126
lambda3.mean.episode_weighted_agreement_vs_history_mlp,True,>=,0.526226406617797,0.7152562659803978
lambda3.mean.episode_weighted_raw_gap_vs_history_mlp,True,<=,0.17610996799095452,0.0998343229250475
lambda3.mean.episode_weighted_agreement_vs_direct_gru,False,>=,0.7654270282052211,0.7152562659803978
lambda3.mean.episode_weighted_raw_gap_vs_direct_gru,False,<=,0.06409608005169445,0.0998343229250475
lambda4.age1.case_support,True,>=,4,6
lambda4.age2.case_support,True,>=,4,6
lambda4.age3.case_support,True,>=,4,6
lambda4.235001.agreement_vs_hold,True,>=,0.3327028861103612,0.5763782500629951
lambda4.235001.gap_vs_hold,True,<=,0.4698611284923807,0.1675597388251612
lambda4.235001.age1.gap_vs_hold,True,<=,0.14802763158320548,0.07071388963169535
lambda4.235001.age2.gap_vs_hold,True,<=,0.7304029683274612,0.16058599976304444
lambda4.235001.age3.gap_vs_hold,True,<=,0.9087079650538159,0.285687788264968
lambda4.235002.agreement_vs_hold,True,>=,0.3327028861103612,0.6622773076713764
lambda4.235002.gap_vs_hold,True,<=,0.4698611284923807,0.11939511526593923
lambda4.235002.age1.gap_vs_hold,True,<=,0.14802763158320548,0.05731950351018692
lambda4.235002.age2.gap_vs_hold,True,<=,0.7304029683274612,0.1146307833306605
lambda4.235002.age3.gap_vs_hold,True,<=,0.9087079650538159,0.1843053837487726
lambda4.235003.agreement_vs_hold,True,>=,0.3327028861103612,0.6436502733730034
lambda4.235003.gap_vs_hold,True,<=,0.4698611284923807,0.12856084190774644
lambda4.235003.age1.gap_vs_hold,True,<=,0.14802763158320548,0.05699596970108973
lambda4.235003.age2.gap_vs_hold,True,<=,0.7304029683274612,0.10812471794558712
lambda4.235003.age3.gap_vs_hold,True,<=,0.9087079650538159,0.23673757099192608
lambda4.mean.episode_weighted_agreement_vs_history_mlp,True,>=,0.4923201648826268,0.6274352770357917
lambda4.mean.episode_weighted_raw_gap_vs_history_mlp,True,<=,0.22725666426323896,0.13850523199961562
lambda4.mean.episode_weighted_agreement_vs_direct_gru,False,>=,0.6436405769908377,0.6274352770357917
lambda4.mean.episode_weighted_raw_gap_vs_direct_gru,False,<=,0.11869749014905688,0.13850523199961562
