checkpoint,checkpoint_path,epochs,family,final_train_loss,initial_sha256,parameter_count,permutation_sha256,seed,steps,wall_seconds,window_exposures,windows_per_epoch
"{""bytes"":25054,""sha256"":""486ce1aeb6282e2700a0cf8ae033c59ba2d6e9cd5aa631a3ff895d1198c129ba""}",residual_gru-235001.npz,80,residual_gru,2.1094336261739954e-05,d8128cbd347dc4cd917c88ff871e26a1f0bfa69a85195361e450111d38d4c9f8,5862,f810d7dd5532d8bb4040fdae58349dc0815b124ae5881518b0a7363b95543a1d,235001,880,0.7248900001868606,26160,327
"{""bytes"":25054,""sha256"":""ba5dc50fdbc36033ef10ec4f68a7a1b1949b08906b95e5cade8d1c37eb2747d6""}",direct_gru-235001.npz,80,direct_gru,2.1755920897703618e-05,d8128cbd347dc4cd917c88ff871e26a1f0bfa69a85195361e450111d38d4c9f8,5862,f810d7dd5532d8bb4040fdae58349dc0815b124ae5881518b0a7363b95543a1d,235001,880,0.6817545839585364,26160,327
"{""bytes"":24626,""sha256"":""8f063233ab74d9fbd8a398121f13474531d952352959bbd33e5b62c608826f9b""}",history_mlp-235001.npz,80,history_mlp,3.4415679692756385e-05,5f5e8a6db1b0d45bf2cebd440f5d30546d17bcac8d060ff476b02502f1bbb24c,5895,f810d7dd5532d8bb4040fdae58349dc0815b124ae5881518b0a7363b95543a1d,235001,880,0.47675387491472065,26160,327
"{""bytes"":24350,""sha256"":""f0c64b26c1402a68ffe783f29c5f6d0fad4cadb737887468e252d8fcf05c2a96""}",current_mlp-235001.npz,80,current_mlp,2.568714990047738e-05,7649737d8956f97527c6ffee29237bd78019b0d3d681fad49124d07af0dee4a3,5826,f810d7dd5532d8bb4040fdae58349dc0815b124ae5881518b0a7363b95543a1d,235001,880,0.47458591707982123,26160,327
"{""bytes"":25054,""sha256"":""2cc21b175040440aee53d83bf03fc4b3aa1c0206e39efea1df425767bd29c190""}",residual_gru-235002.npz,80,residual_gru,1.6554287867620587e-05,322e5c45ad0bd380391ad8554b38f6757d5f0a9cb4c510ee08f4fe68bd6ffdc0,5862,38125b554cf4e19c542489af2fc10f2064b809b7b0811f0a1c93fff46ba328a0,235002,880,0.6977754170075059,26160,327
"{""bytes"":25054,""sha256"":""dbfc9afb8b906ec2cb75ab436cba41c564a6bb8eff470b6847d2f7c922bfa267""}",direct_gru-235002.npz,80,direct_gru,1.2958876141055953e-05,322e5c45ad0bd380391ad8554b38f6757d5f0a9cb4c510ee08f4fe68bd6ffdc0,5862,38125b554cf4e19c542489af2fc10f2064b809b7b0811f0a1c93fff46ba328a0,235002,880,0.7323493750300258,26160,327
"{""bytes"":24626,""sha256"":""9187b0c259c65095c72670726aa6ef84aeda64b71710c7440d7de8f9c326efbd""}",history_mlp-235002.npz,80,history_mlp,3.3493553928565234e-05,f6d1808bd7c97a194539bf13058ad4ccc636d52b79900dc1e2d3950435623a66,5895,38125b554cf4e19c542489af2fc10f2064b809b7b0811f0a1c93fff46ba328a0,235002,880,0.5060511659830809,26160,327
"{""bytes"":24350,""sha256"":""4fd733e875eb4a52992ed6f476fd4989fd2d2fe622a5a57489a000a62a9c78fa""}",current_mlp-235002.npz,80,current_mlp,2.96400066872593e-05,27f790a5383ca5c6f5f0da1fd651258217286af463e83b899e9d149d3d6b8868,5826,38125b554cf4e19c542489af2fc10f2064b809b7b0811f0a1c93fff46ba328a0,235002,880,0.48755316715687513,26160,327
"{""bytes"":25054,""sha256"":""1ec4570b968c0c5903f0153b9c70d354e03c94aaf5617b9d9fb8c8cc9752ff96""}",residual_gru-235003.npz,80,residual_gru,1.573991721670609e-05,25c8a8d6d41a49ed1caa10a1e22df9a45bdc5a6b96fe773b091aa9eb52d80aaf,5862,e00eb83f8fbe8b8a62b7f70fff6f221903ffcd07b31999552731731e3e8ca643,235003,880,0.7387127499096096,26160,327
"{""bytes"":25054,""sha256"":""4a7fbddc6836ef62e504d8083a99ef2df4a3a11d2ea6eddd1197eb8d6fce52bd""}",direct_gru-235003.npz,80,direct_gru,1.2503674952313304e-05,25c8a8d6d41a49ed1caa10a1e22df9a45bdc5a6b96fe773b091aa9eb52d80aaf,5862,e00eb83f8fbe8b8a62b7f70fff6f221903ffcd07b31999552731731e3e8ca643,235003,880,0.7088024590630084,26160,327
"{""bytes"":24626,""sha256"":""d1b2e0cc0196e91039ffa36c93057e75b2c8fa364662eab58e5c113dabf7aa1f""}",history_mlp-235003.npz,80,history_mlp,2.960067467938643e-05,f133585d8ecab96fdd116cb8a822c7c3ab58649432a8e6ce73509db3aab9cb13,5895,e00eb83f8fbe8b8a62b7f70fff6f221903ffcd07b31999552731731e3e8ca643,235003,880,0.5107147090602666,26160,327
"{""bytes"":24350,""sha256"":""dec3e55398c0c634aff0e1c9371758adc877c5b030ce3142459381a75c955c62""}",current_mlp-235003.npz,80,current_mlp,1.7182415831484832e-05,2710f5dc972c24b600a648666bcd7cf2c6cb157b666264b1962e5409f0bf3cd2,5826,e00eb83f8fbe8b8a62b7f70fff6f221903ffcd07b31999552731731e3e8ca643,235003,880,0.5217055829707533,26160,327
