model,family,seed,collector,regime,age,episode_weighted_agreement,episode_weighted_centered_mse,episode_weighted_first_argmin_match,episode_weighted_raw_gap,episodes,nonquery_rows,supported_episode_agreement,supported_episode_centered_mse,supported_episode_raw_gap,supported_episodes,weight_mass,zero_support_episode_ids
hold,hold,,all,all,all,0.3175670047564775,0.294843189089591,0.3075361405589466,0.5494502566299673,36,7257,0.3175670047564775,0.294843189089591,0.5494502566299673,36,1.0,[]
hold,hold,,all,all,1,0.5359356327706419,0.10244730277154789,0.5058430401780494,0.2047653595052368,36,2422,0.5359356327706419,0.10244730277154789,0.2047653595052368,36,1.0,[]
hold,hold,,all,all,2,0.23764821871540334,0.2884839746823889,0.23764821871540334,0.6394440139620223,36,2420,0.23764821871540334,0.2884839746823889,0.6394440139620223,36,1.0,[]
hold,hold,,all,all,3,0.16925448018571596,0.49008604091514596,0.16925448018571596,0.7997939362988277,36,2415,0.1740903224767364,0.5040884992270073,0.8226451916216514,35,0.9722222222222222,"[""valid:lambda3:23300006:period4_hold""]"
hold,hold,,all,lambda3,all,0.30243112340259365,0.2291905574971148,0.30243112340259365,0.5115741026444588,18,1992,0.30243112340259365,0.2291905574971148,0.5115741026444588,18,1.0,[]
hold,hold,,all,lambda3,1,0.45915928898104397,0.10546076558528027,0.45915928898104397,0.26150308742726813,18,666,0.45915928898104397,0.10546076558528027,0.26150308742726813,18,1.0,[]
hold,hold,,all,lambda3,2,0.26808384840834565,0.21850977691767326,0.26808384840834565,0.5484850595965836,18,665,0.26808384840834565,0.21850977691767326,0.5484850595965836,18,1.0,[]
hold,hold,,all,lambda3,3,0.1764624337606152,0.3582153593722877,0.1764624337606152,0.6908799075438394,18,661,0.18684257692300435,0.3792868511000694,0.7315199021052418,17,0.9444444444444444,"[""valid:lambda3:23300006:period4_hold""]"
hold,hold,,all,lambda4,all,0.3327028861103612,0.36049582068206715,0.3126411577152995,0.5873264106154759,18,5265,0.3327028861103612,0.36049582068206715,0.5873264106154759,18,1.0,[]
hold,hold,,all,lambda4,1,0.6127119765602398,0.09943383995781549,0.5525267913750546,0.14802763158320548,18,1756,0.6127119765602398,0.09943383995781549,0.14802763158320548,18,1.0,[]
hold,hold,,all,lambda4,2,0.20721258902246106,0.35845817244710454,0.20721258902246106,0.7304029683274612,18,1755,0.20721258902246106,0.35845817244710454,0.7304029683274612,18,1.0,[]
hold,hold,,all,lambda4,3,0.16204652661081667,0.621956722458004,0.16204652661081667,0.9087079650538159,18,1754,0.16204652661081667,0.621956722458004,0.9087079650538159,18,1.0,[]
hold,hold,,analytic,all,all,0.305677685783925,0.2595105033146217,0.27558509319133245,0.48314472101652095,12,241,0.305677685783925,0.2595105033146217,0.48314472101652095,12,1.0,[]
hold,hold,,analytic,all,1,0.5350799663299664,0.15318797775665446,0.4448021885521885,0.26591684957746703,12,82,0.5350799663299664,0.15318797775665446,0.26591684957746703,12,1.0,[]
