family,seed,regime,scope,metric,raw_value,display_value,episodes,supported_episodes,supported_cases,weight_mass
innovation_shared_mse,285000001,lambda3,initial,episode_weighted_agreement,0.7592592592592592,75.92592592592592,18,18,6,1.0
innovation_shared_mse,285000001,lambda3,full,episode_weighted_agreement,0.7174721266774541,71.7472126677454,18,18,6,1.0
innovation_shared_mse,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.10094461180780946,0.10094461180780946,18,15,6,0.8333333333333334
innovation_shared_mse,285000001,lambda3,prior,episode_weighted_centered_mse,0.15733750189100926,0.15733750189100926,18,17,6,0.9444444444444444
innovation_shared_mse,285000001,lambda4,initial,episode_weighted_agreement,0.6111111111111112,61.111111111111114,18,16,6,0.8888888888888888
innovation_shared_mse,285000001,lambda4,full,episode_weighted_agreement,0.6261436708384456,62.614367083844556,18,16,6,0.8888888888888888
innovation_shared_mse,285000001,lambda4,postcorrection,episode_weighted_raw_gap,0.08089064835693438,0.08089064835693438,18,14,6,0.7777777777777778
innovation_shared_mse,285000001,lambda4,prior,episode_weighted_centered_mse,0.12299674005978178,0.12299674005978178,18,14,6,0.7777777777777778
innovation_shared_aux,285000001,lambda3,initial,episode_weighted_agreement,0.8333333333333334,83.33333333333334,18,18,6,1.0
innovation_shared_aux,285000001,lambda3,full,episode_weighted_agreement,0.7583668365707094,75.83668365707094,18,18,6,1.0
innovation_shared_aux,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.11387552326036052,0.11387552326036052,18,15,6,0.8333333333333334
innovation_shared_aux,285000001,lambda3,prior,episode_weighted_centered_mse,0.08488405606219365,0.08488405606219365,18,17,6,0.9444444444444444
innovation_shared_aux,285000001,lambda4,initial,episode_weighted_agreement,0.6481481481481481,64.81481481481481,18,16,6,0.8888888888888888
innovation_shared_aux,285000001,lambda4,full,episode_weighted_agreement,0.642183551355477,64.2183551355477,18,16,6,0.8888888888888888
innovation_shared_aux,285000001,lambda4,postcorrection,episode_weighted_raw_gap,0.07196118872236193,0.07196118872236193,18,14,6,0.7777777777777778
innovation_shared_aux,285000001,lambda4,prior,episode_weighted_centered_mse,0.08693164229568581,0.08693164229568581,18,14,6,0.7777777777777778
innovation_separate_mse,285000001,lambda3,initial,episode_weighted_agreement,0.7037037037037037,70.37037037037037,18,18,6,1.0
innovation_separate_mse,285000001,lambda3,full,episode_weighted_agreement,0.6628969618984869,66.28969618984868,18,18,6,1.0
innovation_separate_mse,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.10449682615086565,0.10449682615086565,18,15,6,0.8333333333333334
innovation_separate_mse,285000001,lambda3,prior,episode_weighted_centered_mse,52.57272733723253,52.57272733723253,18,17,6,0.9444444444444444
innovation_separate_mse,285000001,lambda4,initial,episode_weighted_agreement,0.7407407407407408,74.07407407407408,18,16,6,0.8888888888888888
innovation_separate_mse,285000001,lambda4,full,episode_weighted_agreement,0.6238782600716821,62.387826007168215,18,16,6,0.8888888888888888
innovation_separate_mse,285000001,lambda4,postcorrection,episode_weighted_raw_gap,0.13208929049032317,0.13208929049032317,18,14,6,0.7777777777777778
innovation_separate_mse,285000001,lambda4,prior,episode_weighted_centered_mse,33.78863818716322,33.78863818716322,18,14,6,0.7777777777777778
innovation_separate_aux,285000001,lambda3,initial,episode_weighted_agreement,0.9074074074074073,90.74074074074073,18,18,6,1.0
innovation_separate_aux,285000001,lambda3,full,episode_weighted_agreement,0.7650780027669353,76.50780027669353,18,18,6,1.0
innovation_separate_aux,285000001,lambda3,postcorrection,episode_weighted_raw_gap,0.10595155592863201,0.10595155592863201,18,15,6,0.8333333333333334
