name,passes,relation,threshold,value,strict_upper_bound
common.technical_complete,True,==,True,True,
common.lambda3.initial.case_support,True,>=,4,6,
common.lambda3.age1.case_support,True,>=,4,6,
common.lambda3.age2.case_support,True,>=,4,6,
common.lambda3.age3.case_support,True,>=,4,6,
common.lambda4.initial.case_support,True,>=,4,6,
common.lambda4.age1.case_support,True,>=,4,6,
common.lambda4.age2.case_support,True,>=,4,6,
common.lambda4.age3.case_support,True,>=,4,5,
mechanism.innovation.lambda3.full.agreement_recovery,False,>=,0.7270722618664213,0.6886324023614786,
mechanism.innovation.lambda3.initial.agreement_recovery,False,>=,0.8741975308641975,0.8333333333333334,
mechanism.innovation.lambda3.full.gap,True,<=,0.10495715910065968,0.10469424134469225,
mechanism.innovation.lambda3.postcorrection.gap,False,<= and <,0.10616648800371341,0.1256121119781649,0.11796276444857046
mechanism.innovation.lambda3.prior.mse,True,<= and <,0.08675031132425955,0.08175152672643037,57.828970830532235
mechanism.innovation.lambda4.full.agreement_recovery,False,>=,0.624809139249529,0.602743065210233,
mechanism.innovation.lambda4.initial.agreement_recovery,False,>=,0.7098765432098766,0.6666666666666666,
mechanism.innovation.lambda4.full.gap,False,<=,0.08030798231407538,0.08894401046485124,
mechanism.innovation.lambda4.postcorrection.gap,False,<= and <,0.1001021492473954,0.125341630092724,0.12088604684531142
mechanism.innovation.lambda4.prior.mse,False,<= and <,0.09030674725743638,0.09753598555709236,38.49586822379939
mechanism.gru.lambda3.full.agreement_recovery,False,>=,0.7708383551579827,0.7204498551313353,
mechanism.gru.lambda3.initial.agreement_recovery,False,>=,0.96679012345679,0.9135802469135802,
mechanism.gru.lambda3.full.gap,False,<=,0.06842836768616885,0.07571111734966306,
mechanism.gru.lambda3.postcorrection.gap,False,<= and <,0.09640836377601289,0.11792371390064087,0.10712040419556988
mechanism.gru.lambda3.prior.mse,False,<= and <,0.07690301556949711,0.08359610046506326,137.70426532835899
mechanism.gru.lambda4.full.agreement_recovery,False,>=,0.6267168540443964,0.5968803845024971,
mechanism.gru.lambda4.initial.agreement_recovery,True,>=,0.6604938271604938,0.6790123456790124,
mechanism.gru.lambda4.full.gap,False,<=,0.07537504500824958,0.08577924270798887,
mechanism.gru.lambda4.postcorrection.gap,False,<= and <,0.09493191014106866,0.11069146049473895,0.12178879876308857
mechanism.gru.lambda4.prior.mse,False,<= and <,0.08638673909332538,0.09140803268240753,91.23073953110452
architecture.lambda3.postcorrection.agreement,True,>=,0.5153540992795378,0.5423572302915268,
architecture.lambda3.postcorrection.gap,False,<= and <,0.10613134251057678,0.1256121119781649,0.11792371390064087
architecture.lambda3.initial.agreement,False,>=,0.9135802469135802,0.8333333333333334,
architecture.lambda3.full.agreement,False,>=,0.7204498551313353,0.6886324023614786,
architecture.lambda3.full.gap,False,<=,0.07571111734966306,0.10469424134469225,
architecture.lambda4.postcorrection.agreement,True,>=,0.4435472346583458,0.4438105413105413,
architecture.lambda4.postcorrection.gap,False,<= and <,0.09962231444526505,0.125341630092724,0.11069146049473895
architecture.lambda4.initial.agreement,False,>=,0.6790123456790124,0.6666666666666666,
architecture.lambda4.full.agreement,True,>=,0.5968803845024971,0.602743065210233,
architecture.lambda4.full.gap,False,<=,0.08577924270798887,0.08894401046485124,
