family,seed,architecture,readout,objective,parameter_count,epochs,steps,fit_seconds,wall_seconds,train_rescore_seconds,checkpoint_seconds,forward_chunks,backward_chunks,no_grad_chunks,valid_forward_chunks,valid_forward_rows,valid_prior_rows
innovation_shared_mse,285000001,innovation,shared,mse,5978,80,720,78.979228333,79.86235375,0.881637834,0.001467917,38131,7728,30403,349,13797,3428
innovation_shared_aux,285000001,innovation,shared,query_aux,5978,80,720,153.895105542,154.739215417,0.842433583,0.001647875,38131,38131,0,349,13797,3428
innovation_separate_mse,285000001,innovation,separate,mse,6098,80,720,80.206972542,81.067183125,0.859091708,0.001107125,38131,7728,30403,349,13797,3428
innovation_separate_aux,285000001,innovation,separate,query_aux,6098,80,720,154.807986458,155.705677083,0.896291292,0.001383084,38131,38131,0,349,13797,3428
gru_shared_mse,285000001,innovation_gru,shared,mse,5996,80,720,92.445270834,93.462412417,1.015919375,0.001210125,38131,7728,30403,349,13797,3428
gru_shared_aux,285000001,innovation_gru,shared,query_aux,5996,80,720,180.219735083,181.242726166,1.021527709,0.001437667,38131,38131,0,349,13797,3428
gru_separate_mse,285000001,innovation_gru,separate,mse,6112,80,720,97.366175708,98.356660833,0.988864167,0.001602083,38131,7728,30403,349,13797,3428
gru_separate_aux,285000001,innovation_gru,separate,query_aux,6112,80,720,181.387895583,182.411207041,1.021956208,0.001338958,38131,38131,0,349,13797,3428
innovation_shared_mse,285000002,innovation,shared,mse,5978,80,720,82.323649334,83.264681625,0.939740625,0.001272,38182,7745,30437,349,13797,3428
innovation_shared_aux,285000002,innovation,shared,query_aux,5978,80,720,155.874871375,156.764709917,0.8883475,0.00146875,38182,38182,0,349,13797,3428
innovation_separate_mse,285000002,innovation,separate,mse,6098,80,720,82.017947959,82.952620959,0.933019333,0.001631292,38182,7745,30437,349,13797,3428
innovation_separate_aux,285000002,innovation,separate,query_aux,6098,80,720,157.185295875,158.189840833,1.002535709,0.001986167,38182,38182,0,349,13797,3428
gru_shared_mse,285000002,innovation_gru,shared,mse,5996,80,720,94.931839667,95.904193417,0.970978583,0.001358833,38182,7745,30437,349,13797,3428
gru_shared_aux,285000002,innovation_gru,shared,query_aux,5996,80,720,191.211341625,192.238327084,1.025406208,0.001559167,38182,38182,0,349,13797,3428
gru_separate_mse,285000002,innovation_gru,separate,mse,6112,80,720,97.337489542,98.3829485,1.044165667,0.0012715,38182,7745,30437,349,13797,3428
gru_separate_aux,285000002,innovation_gru,separate,query_aux,6112,80,720,182.600466292,183.629608334,1.02759,0.001531334,38182,38182,0,349,13797,3428
innovation_shared_mse,285000003,innovation,shared,mse,5978,80,720,83.812315917,84.727490375,0.913983125,0.001175584,37479,7724,29755,349,13797,3428
innovation_shared_aux,285000003,innovation,shared,query_aux,5978,80,720,157.333542167,158.275960292,0.941017625,0.001384667,37479,37479,0,349,13797,3428
innovation_separate_mse,285000003,innovation,separate,mse,6098,80,720,85.345445,86.42669375,1.079125834,0.002103333,37479,7724,29755,349,13797,3428
innovation_separate_aux,285000003,innovation,separate,query_aux,6098,80,720,157.164235459,158.082212,0.916451333,0.001508083,37479,37479,0,349,13797,3428
gru_shared_mse,285000003,innovation_gru,shared,mse,5996,80,720,97.69017175,98.717624917,1.025884708,0.001548083,37479,7724,29755,349,13797,3428
gru_shared_aux,285000003,innovation_gru,shared,query_aux,5996,80,720,182.723125375,183.76656025,1.038239292,0.005177542,37479,37479,0,349,13797,3428
gru_separate_mse,285000003,innovation_gru,separate,mse,6112,80,720,97.022957541,98.104794125,1.078812708,0.003004584,37479,7724,29755,349,13797,3428
gru_separate_aux,285000003,innovation_gru,separate,query_aux,6112,80,720,184.59412,185.766105334,1.168524167,0.003439292,37479,37479,0,349,13797,3428
