group,name,passes,relation,threshold,value
required,technical_complete,True,>=,1,1
required,causal_quotas,True,>=,1,1
required,lambda3.analytic.success,True,>=,0.95,1.0
required,lambda3.neural.success,True,>=,0.95,1.0
required,lambda3.period2.success,True,>=,0.95,1.0
required,lambda3.period2.success_vs_references,True,>=,1.0,1.0
required,lambda3.period2.moves_vs_neural,True,<=,36.41974569832368,30.228209524565408
required,lambda3.period2.moves_vs_analytic,False,<=,26.190405899850816,30.228209524565408
required,lambda3.period2.paid_cost_vs_neural,True,<=,0.695746812702378,0.5432702966173892
required,lambda4.analytic.success,True,>=,0.95,1.0
required,lambda4.neural.success,True,>=,0.95,1.0
required,lambda4.period2.success,True,>=,0.95,1.0
required,lambda4.period2.success_vs_references,True,>=,1.0,1.0
required,lambda4.period2.moves_vs_neural,False,<=,62.84610610742656,66.20333983314458
required,lambda4.period2.moves_vs_analytic,True,<=,70.78530611416917,66.20333983314458
required,lambda4.period2.paid_cost_vs_neural,True,<=,1.2265632118848633,1.2105028148752695
diagnostic,lambda3.period2.success,True,>=,0.95,1.0
diagnostic,lambda3.period2.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda3.period2.moves_vs_neural,True,<=,36.41974569832368,30.228209524565408
diagnostic,lambda3.period2.moves_vs_analytic,False,<=,26.190405899850816,30.228209524565408
diagnostic,lambda3.period2.paid_cost_vs_neural,True,<=,0.695746812702378,0.5432702966173892
diagnostic,lambda3.period2.old_half_cost_descriptive,True,<=,0.5797890105853151,0.5432702966173892
diagnostic,lambda3.random_pair.success,True,>=,0.95,1.0
diagnostic,lambda3.random_pair.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda3.random_pair.moves_vs_neural,True,<=,36.41974569832368,33.245579418181364
diagnostic,lambda3.random_pair.moves_vs_analytic,False,<=,26.190405899850816,33.245579418181364
diagnostic,lambda3.random_pair.paid_cost_vs_neural,True,<=,0.695746812702378,0.5988105136370658
diagnostic,lambda3.random_pair.old_half_cost_descriptive,False,<=,0.5797890105853151,0.5988105136370658
diagnostic,lambda3.entropy.success,True,>=,0.95,1.0
diagnostic,lambda3.entropy.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda3.entropy.moves_vs_neural,True,<=,36.41974569832368,29.213006274850194
diagnostic,lambda3.entropy.moves_vs_analytic,False,<=,26.190405899850816,29.213006274850194
diagnostic,lambda3.entropy.paid_cost_vs_neural,True,<=,0.695746812702378,0.5237433412064287
diagnostic,lambda3.entropy.old_half_cost_descriptive,True,<=,0.5797890105853151,0.5237433412064287
diagnostic,lambda4.period2.success,True,>=,0.95,1.0
diagnostic,lambda4.period2.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda4.period2.moves_vs_neural,False,<=,62.84610610742656,66.20333983314458
diagnostic,lambda4.period2.moves_vs_analytic,True,<=,70.78530611416917,66.20333983314458
diagnostic,lambda4.period2.paid_cost_vs_neural,True,<=,1.2265632118848633,1.2105028148752695
diagnostic,lambda4.period2.old_half_cost_descriptive,False,<=,1.0221360099040528,1.2105028148752695
diagnostic,lambda4.random_pair.success,True,>=,0.95,1.0
diagnostic,lambda4.random_pair.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda4.random_pair.moves_vs_neural,True,<=,62.84610610742656,62.64832707284551
diagnostic,lambda4.random_pair.moves_vs_analytic,True,<=,70.78530611416917,62.64832707284551
diagnostic,lambda4.random_pair.paid_cost_vs_neural,True,<=,1.2265632118848633,1.1534603438464381
diagnostic,lambda4.random_pair.old_half_cost_descriptive,False,<=,1.0221360099040528,1.1534603438464381
diagnostic,lambda4.entropy.success,True,>=,0.95,1.0
diagnostic,lambda4.entropy.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda4.entropy.moves_vs_neural,False,<=,62.84610610742656,71.47775296312679
diagnostic,lambda4.entropy.moves_vs_analytic,False,<=,70.78530611416917,71.47775296312679
diagnostic,lambda4.entropy.paid_cost_vs_neural,False,<=,1.2265632118848633,1.3182215660884216
diagnostic,lambda4.entropy.old_half_cost_descriptive,False,<=,1.0221360099040528,1.3182215660884216
diagnostic,lambda5.period2.success,True,>=,0.95,1.0
diagnostic,lambda5.period2.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda5.period2.moves_vs_neural,True,<=,58.49825709120804,58.123851152349246
diagnostic,lambda5.period2.moves_vs_analytic,True,<=,58.46759708172393,58.123851152349246
diagnostic,lambda5.period2.paid_cost_vs_neural,True,<=,1.1944265277461574,1.1393081909700717
diagnostic,lambda5.period2.old_half_cost_descriptive,False,<=,0.9953554397884646,1.1393081909700717
diagnostic,lambda5.random_pair.success,True,>=,0.95,1.0
diagnostic,lambda5.random_pair.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda5.random_pair.moves_vs_neural,False,<=,58.49825709120804,64.47440215494916
diagnostic,lambda5.random_pair.moves_vs_analytic,False,<=,58.46759708172393,64.47440215494916
diagnostic,lambda5.random_pair.paid_cost_vs_neural,False,<=,1.1944265277461574,1.2371211798438424
diagnostic,lambda5.random_pair.old_half_cost_descriptive,False,<=,0.9953554397884646,1.2371211798438424
diagnostic,lambda5.entropy.success,True,>=,0.95,1.0
diagnostic,lambda5.entropy.success_vs_references,True,>=,1.0,1.0
diagnostic,lambda5.entropy.moves_vs_neural,False,<=,58.49825709120804,61.25957020298822
diagnostic,lambda5.entropy.moves_vs_analytic,False,<=,58.46759708172393,61.25957020298822
diagnostic,lambda5.entropy.paid_cost_vs_neural,True,<=,1.1944265277461574,1.0071501424823304
diagnostic,lambda5.entropy.old_half_cost_descriptive,False,<=,0.9953554397884646,1.0071501424823304
