metric,seconds,scope
study_worker_seconds,229.968827792,Full physical phase; do not add worker and parent.
study_parent_seconds,230.30568575,Full physical phase; do not add worker and parent.
audit_worker_seconds,1.854726375,Full physical phase; do not add worker and parent.
audit_parent_seconds,2.031948125,Full physical phase; do not add worker and parent.
original_failed_audit_parent_seconds,0.206429625,Full physical phase; do not add worker and parent.
calibration_paid_seconds,12.447168360871057,"Saved phase, allocation or overlapping I/O; see original cost scope."
evaluation_wall_seconds,214.31919966707937,"Saved phase, allocation or overlapping I/O; see original cost scope."
journal_io_seconds,1.749443206936121,"Saved phase, allocation or overlapping I/O; see original cost scope."
original_setup_wall_seconds,3.0378503748215735,"Saved phase, allocation or overlapping I/O; see original cost scope."
threshold_wall_seconds,0.0012629160191863775,"Saved phase, allocation or overlapping I/O; see original cost scope."
validation_setup_seconds,0.22770190396046158,"Saved phase, allocation or overlapping I/O; see original cost scope."
validation_wall_seconds,12.218203540891409,"Saved phase, allocation or overlapping I/O; see original cost scope."
operation.actor_choose,195.16470262175426,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.actor_construction,0.0673083255533129,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.actor_update,0.9008418614976108,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.backend_binding,0.008191503118723631,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.native_reset,1.85858831461519,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.native_step,20.00924128224142,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.sparse_gate,0.12241129111498594,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.tensorflow_build,0.05718691577203572,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.tensorflow_construction,0.01023870799690485,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.tensorflow_load,0.008674582932144403,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.tensorflow_value,183.2776848161593,Nested instrumented work excluding measured I/O; not additive to physical phases.
operation.threshold_selection,0.0005860419478267431,Nested instrumented work excluding measured I/O; not additive to physical phases.
