metric,count
audit.checks,3375702
audit.diagnostic_conditions,54
audit.episodes,384
audit.forwards,5466
audit.gate_decisions,7250
audit.gate_operation_events,65558
audit.paired_cases,72
audit.payloads,16
audit.required_conditions,16
audit.source_files,114
audit.transitions,11728
audit.validation_decisions,603
audit.work_events,97824
producer.actor_choose.attempted,11728
producer.actor_choose.returned,11728
producer.actor_construction.attempted,384
producer.actor_construction.returned,384
producer.actor_update.attempted,11728
producer.actor_update.returned,11728
producer.backend_binding.attempted,240
producer.backend_binding.returned,240
producer.native_reset.attempted,384
producer.native_reset.returned,384
producer.native_step.attempted,11728
producer.native_step.returned,11728
producer.sparse_gate.attempted,7250
producer.sparse_gate.returned,7250
producer.tensorflow_build.attempted,1
producer.tensorflow_build.returned,1
producer.tensorflow_construction.attempted,1
producer.tensorflow_construction.returned,1
producer.tensorflow_load.attempted,1
producer.tensorflow_load.returned,1
producer.tensorflow_value.attempted,5466
producer.tensorflow_value.returned,5466
producer.threshold_selection.attempted,1
producer.threshold_selection.returned,1
