regime,arm,family,fit_seed,raw_found,episodes,cases_per_hit,choose_seconds,controller_seconds,environment_seconds,found,init_seconds,setup_allocation_seconds,state_bytes,steps,update_seconds
lambda3,spatial@10101,spatial,10101,10,24,8,5.174622563856132,5.2078765800755935,2.0104626478065297,0.4788747794680367,0.00010318875535634239,9.637259602270744e-06,22472.0,1150.4516162756709,0.033141190204503394
lambda3,neighbor_free@10101,neighbor_free,10101,12,24,8,4.551965838661152,4.593800967526456,2.52034577207787,0.3244799328370574,0.00010293920897182177,1.724317704361898e-05,22472.0,1483.5387192227313,0.041714946479288646
lambda3,cnn@10101,cnn,10101,5,24,8,20.387822850764422,20.450820981533408,3.7585025781350536,0.058365186950492004,9.747505469026332e-05,9.849064345299093e-06,22472.0,2060.397586580338,0.06289080664995146
lambda3,dense128@10101,dense128,10101,2,24,8,1.7171761938477377,1.7753565657573351,3.5321182392316866,0.021125220531963307,0.00010173522194087897,0.0001964341320908042,22472.0,2141.7991426965964,0.057882202555565775
lambda3,statistics@10101,statistics,10101,2,24,8,1.7198016093993864,1.775837843885154,3.4658804744231038,0.021125220531963307,9.785080865203496e-05,9.17895188279174e-06,22472.0,2141.8474869342563,0.05592920472523302
lambda3,spatial@10102,spatial,10102,16,24,8,4.439699221218435,4.468233347659301,1.7267016737211554,0.553354712305094,0.00011143300889480991,7.938772991851525e-06,22472.0,987.6513386882963,0.02841475465897886
lambda3,neighbor_free@10102,neighbor_free,10102,9,24,8,5.655784733833649,5.707914070207874,3.161452816500023,0.16616711911355503,9.705329447383008e-05,6.879160732582763e-06,22472.0,1825.8327514154994,0.052025403919018685
lambda3,cnn@10102,cnn,10102,7,24,8,15.669787445657644,15.718316575792796,2.8844554254865553,0.27721901712773284,9.774831919874427e-05,9.360653563851008e-06,22472.0,1585.2228401830662,0.04842202116238993
lambda3,dense128@10102,dense128,10102,4,24,8,1.476963650167201,1.5272783708813973,3.05686334846251,0.15221901712773284,0.00011234065410426257,0.000171968265419343,22472.0,1855.3369885923576,0.05003041179467266
lambda3,statistics@10102,statistics,10102,4,24,8,1.5456386583143882,1.5953381163684361,3.093143098998025,0.11890620340423048,0.00010348627935913856,6.947457721387898e-06,22472.0,1928.017269325338,0.0495890243169674
lambda3,spatial@10103,spatial,10103,7,24,8,8.08543762926498,8.137726444055208,3.1499960723784586,0.17835471230509406,9.761430404605198e-05,8.047576045134554e-06,22472.0,1800.682990219184,0.052183152910134846
