Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
{"completed_episodes": 1, "returned_steps": 6}
{"completed_episodes": 2, "returned_steps": 54}
{"completed_episodes": 3, "returned_steps": 102}
{"completed_episodes": 4, "returned_steps": 414}
{"completed_episodes": 5, "returned_steps": 695}
{"completed_episodes": 6, "returned_steps": 733}
{"completed_episodes": 7, "returned_steps": 864}
{"completed_episodes": 8, "returned_steps": 900}
{"completed_episodes": 9, "returned_steps": 1263}
{"completed_episodes": 10, "returned_steps": 1728}
{"completed_episodes": 11, "returned_steps": 2100}
{"completed_episodes": 12, "returned_steps": 2573}
{"completed_episodes": 13, "returned_steps": 2813}
{"completed_episodes": 14, "returned_steps": 3021}
{"completed_episodes": 15, "returned_steps": 3068}
{"completed_episodes": 16, "returned_steps": 3069}
{"completed_episodes": 17, "returned_steps": 3537}
{"completed_episodes": 18, "returned_steps": 3852}
{"completed_episodes": 19, "returned_steps": 4351}
{"completed_episodes": 20, "returned_steps": 4593}
{"completed_episodes": 21, "returned_steps": 4817}
{"completed_episodes": 22, "returned_steps": 4880}
{"completed_episodes": 23, "returned_steps": 4884}
{"completed_episodes": 24, "returned_steps": 5258}
{"completed_episodes": 25, "returned_steps": 5577}
{"completed_episodes": 26, "returned_steps": 6024}
{"completed_episodes": 27, "returned_steps": 6266}
{"completed_episodes": 28, "returned_steps": 6474}
{"completed_episodes": 29, "returned_steps": 6522}
{"completed_episodes": 30, "returned_steps": 6529}
{"completed_episodes": 31, "returned_steps": 7020}
{"completed_episodes": 32, "returned_steps": 7417}
{"completed_episodes": 33, "returned_steps": 7676}
{"completed_episodes": 34, "returned_steps": 7921}
{"completed_episodes": 35, "returned_steps": 8103}
{"completed_episodes": 36, "returned_steps": 8127}
{"completed_episodes": 37, "returned_steps": 8133}
{"completed_episodes": 38, "returned_steps": 8511}
{"completed_episodes": 39, "returned_steps": 8766}
{"completed_episodes": 40, "returned_steps": 9144}
{"completed_episodes": 41, "returned_steps": 9384}
{"completed_episodes": 42, "returned_steps": 9578}
{"completed_episodes": 43, "returned_steps": 9620}
{"completed_episodes": 44, "returned_steps": 9621}
{"completed_episodes": 45, "returned_steps": 9998}
{"completed_episodes": 46, "returned_steps": 10516}
{"completed_episodes": 47, "returned_steps": 10940}
{"completed_episodes": 48, "returned_steps": 11446}
{"completed_episodes": 49, "returned_steps": 11648}
{"completed_episodes": 50, "returned_steps": 11692}
{"completed_episodes": 51, "returned_steps": 11696}
{"completed_episodes": 52, "returned_steps": 12142}
{"completed_episodes": 53, "returned_steps": 12489}
{"completed_episodes": 54, "returned_steps": 12721}
{"completed_episodes": 55, "returned_steps": 13189}
{"completed_episodes": 56, "returned_steps": 13435}
{"completed_episodes": 57, "returned_steps": 13485}
{"completed_episodes": 58, "returned_steps": 13492}
{"completed_episodes": 59, "returned_steps": 13804}
{"completed_episodes": 60, "returned_steps": 14220}
{"completed_episodes": 61, "returned_steps": 14532}
{"completed_episodes": 62, "returned_steps": 14950}
{"completed_episodes": 63, "returned_steps": 15188}
{"completed_episodes": 64, "returned_steps": 15399}
{"completed_episodes": 65, "returned_steps": 15405}
{"completed_episodes": 66, "returned_steps": 15423}
{"completed_episodes": 67, "returned_steps": 15441}
{"completed_episodes": 68, "returned_steps": 15459}
{"completed_episodes": 69, "returned_steps": 15736}
{"completed_episodes": 70, "returned_steps": 15754}
{"completed_episodes": 71, "returned_steps": 15881}
{"completed_episodes": 72, "returned_steps": 15922}
{"completed_episodes": 73, "returned_steps": 16356}
{"completed_episodes": 74, "returned_steps": 16723}
{"completed_episodes": 75, "returned_steps": 17338}
{"completed_episodes": 76, "returned_steps": 17898}
{"completed_episodes": 77, "returned_steps": 18142}
{"completed_episodes": 78, "returned_steps": 18335}
{"completed_episodes": 79, "returned_steps": 18377}
{"completed_episodes": 80, "returned_steps": 18378}
{"completed_episodes": 81, "returned_steps": 18859}
{"completed_episodes": 82, "returned_steps": 19174}
{"completed_episodes": 83, "returned_steps": 19631}
{"completed_episodes": 84, "returned_steps": 19873}
{"completed_episodes": 85, "returned_steps": 20032}
{"completed_episodes": 86, "returned_steps": 20073}
{"completed_episodes": 87, "returned_steps": 20077}
{"completed_episodes": 88, "returned_steps": 20566}
{"completed_episodes": 89, "returned_steps": 20833}
{"completed_episodes": 90, "returned_steps": 21222}
{"completed_episodes": 91, "returned_steps": 21464}
{"completed_episodes": 92, "returned_steps": 21678}
{"completed_episodes": 93, "returned_steps": 21727}
{"completed_episodes": 94, "returned_steps": 21734}
{"completed_episodes": 95, "returned_steps": 22169}
{"completed_episodes": 96, "returned_steps": 22673}
{"completed_episodes": 97, "returned_steps": 22727}
{"completed_episodes": 98, "returned_steps": 22745}
{"completed_episodes": 99, "returned_steps": 22884}
{"completed_episodes": 100, "returned_steps": 22907}
{"completed_episodes": 101, "returned_steps": 22913}
{"completed_episodes": 102, "returned_steps": 22931}
{"completed_episodes": 103, "returned_steps": 22949}
{"completed_episodes": 104, "returned_steps": 22967}
{"completed_episodes": 105, "returned_steps": 23211}
{"completed_episodes": 106, "returned_steps": 23372}
{"completed_episodes": 107, "returned_steps": 23419}
{"completed_episodes": 108, "returned_steps": 23420}
{"completed_episodes": 109, "returned_steps": 23847}
{"completed_episodes": 110, "returned_steps": 24317}
{"completed_episodes": 111, "returned_steps": 24645}
{"completed_episodes": 112, "returned_steps": 25082}
{"completed_episodes": 113, "returned_steps": 25226}
{"completed_episodes": 114, "returned_steps": 25266}
{"completed_episodes": 115, "returned_steps": 25270}
{"completed_episodes": 116, "returned_steps": 25688}
{"completed_episodes": 117, "returned_steps": 26182}
{"completed_episodes": 118, "returned_steps": 26576}
{"completed_episodes": 119, "returned_steps": 27043}
{"completed_episodes": 120, "returned_steps": 27285}
{"completed_episodes": 121, "returned_steps": 27330}
{"completed_episodes": 122, "returned_steps": 27337}
{"completed_episodes": 123, "returned_steps": 27749}
{"completed_episodes": 124, "returned_steps": 28057}
{"completed_episodes": 125, "returned_steps": 28462}
{"completed_episodes": 126, "returned_steps": 28910}
{"completed_episodes": 127, "returned_steps": 29152}
{"completed_episodes": 128, "returned_steps": 29379}
{"completed_episodes": 129, "returned_steps": 29385}
{"completed_episodes": 130, "returned_steps": 29403}
