recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,error
recording_2021_12_15_21H_54M.mat,chain_memory,8101,0.0001,64,PASS,0.6774854740115088,19.79051788622889,null
recording_2021_12_15_21H_54M.mat,chain_memory,8101,0.0001,128,PASS,0.8252058274490457,24.696736379511073,null
recording_2021_12_15_21H_54M.mat,rewired_memory,8101,0.0001,64,PASS,0.6809519445859893,19.84827126446468,null
recording_2021_12_15_21H_54M.mat,rewired_memory,8101,0.0001,128,PASS,0.8282855044252581,24.747903013182466,null
recording_2021_12_15_21H_54M.mat,chain_instant,8101,0.0001,64,PASS,0.6803018133777744,19.832203239644798,null
recording_2021_12_15_21H_54M.mat,chain_instant,8101,0.0001,128,PASS,0.8252628074224433,24.617463646202154,null
recording_2021_12_15_21H_54M.mat,gru_residual,8101,0.0001,64,PASS,0.6606104317245042,19.220317467981307,null
recording_2021_12_15_21H_54M.mat,gru_residual,8101,0.0001,128,PASS,0.8237883465872458,24.604154059168998,null
recording_2021_12_15_21H_54M.mat,quadratic_ar2,8101,0.0001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_21H_54M.mat,quadratic_ar2,8101,0.0001,128,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
recording_2021_12_15_21H_54M.mat,chain_memory,8101,0.001,64,PASS,0.6742710457751295,21.26738052669406,null
recording_2021_12_15_21H_54M.mat,chain_memory,8101,0.001,128,PASS,0.7815522934978126,25.061360367385447,null
recording_2021_12_15_21H_54M.mat,rewired_memory,8101,0.001,64,PASS,0.672797861375649,21.11918987803335,null
recording_2021_12_15_21H_54M.mat,rewired_memory,8101,0.001,128,PASS,0.7784012259838382,24.902001149762857,null
recording_2021_12_15_21H_54M.mat,chain_instant,8101,0.001,64,PASS,0.709933098615951,22.142840958360523,null
recording_2021_12_15_21H_54M.mat,chain_instant,8101,0.001,128,PASS,0.8448042434416585,27.08428458771488,null
recording_2021_12_15_21H_54M.mat,gru_residual,8101,0.001,64,PASS,0.664749604423833,19.187887711122972,null
recording_2021_12_15_21H_54M.mat,gru_residual,8101,0.001,128,PASS,0.8370662055985343,24.729786395701577,null
recording_2021_12_15_21H_54M.mat,quadratic_ar2,8101,0.001,64,FAILED,,,"{""message"": ""not a completed trained model"", ""type"": ""FailedTrainingAttempt""}"
