recording,arm,seed,learning_rate,horizon,status,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_22H_41M.mat,last_two,8101,0.001,64,PASS,,,0.5738212879945751,2781.6803144550017,8448,16.659959374279524,22,5.67759197676841,4.370294821802748,13.44259198270575,26.954259007058443,20.61663853282949,16.7842130707781
recording_2021_12_15_22H_41M.mat,last_two,8101,0.001,128,PASS,,,0.6309676039046551,6726.637499825662,16896,18.917438307357077,22,8.295117177684034,4.715678040112644,14.721425484805808,30.260401634864877,20.621301571499327,22.327558988741085
recording_2021_12_15_22H_41M.mat,last_two,8102,0.001,64,PASS,,,0.5963453741689271,3004.343699112541,8448,17.202673704938913,22,8.496850931429252,4.15849149131957,14.841583879235136,26.20529402132219,21.057033462604814,18.3224906419323
recording_2021_12_15_22H_41M.mat,last_two,8102,0.001,128,PASS,,,0.6375797445230829,6868.357995858918,16896,18.75785258075637,22,12.92387954010833,4.5043505949674385,15.124526414855866,28.1711460923262,20.124827282270196,22.281223472436412
recording_2021_12_15_22H_41M.mat,last_two,8103,0.001,64,PASS,,,0.5533756327429699,2586.9853440387874,8448,16.536231753181287,22,6.606871244377743,5.089133952877432,14.100048399815217,25.61839215468439,15.523182337660073,21.795622500466546
recording_2021_12_15_22H_41M.mat,last_two,8103,0.001,128,PASS,,,0.583035339987913,5743.460788873781,16896,17.825220156383832,22,8.023055110267709,5.327706703279046,13.595623946990422,28.594723217302647,15.585835696922114,23.838194331139672
recording_2021_12_15_22H_41M.mat,local_affine,8101,0.003,64,PASS,,,0.5454598252161225,2513.503203972735,8448,16.05246479098776,22,7.910383727414371,5.517164329396196,12.459822814991027,28.055946827088903,15.187547897905631,16.734142766999383
recording_2021_12_15_22H_41M.mat,local_affine,8101,0.003,128,PASS,,,0.5803200003985989,5690.087933166993,16896,17.317355882544298,22,10.320991393938987,5.571067384045102,12.990327533843068,29.175462895448103,15.426631202655342,20.095970704643417
recording_2021_12_15_22H_41M.mat,local_affine,8102,0.003,64,PASS,,,0.5522828398494093,2576.7779997030993,8448,16.522145754600267,22,6.442328956177096,4.111616004851808,10.845765204426424,27.504496555069196,19.59137538730248,17.931226123247146
recording_2021_12_15_22H_41M.mat,local_affine,8102,0.003,128,PASS,,,0.6071577929754078,6228.551333803699,16896,18.508788801271045,22,10.960740346499374,4.465638253074144,12.070734067395003,29.360506991664312,19.051211619696975,23.33840541849043
