recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,last_two,8101,0.001,64,PASS,0.5650032003522554,16.50275627156743,2696.8433514172407,8448,22,"[7.03596034037591, 4.3353720626951056, 13.941848671783987, 29.05794069869066, 19.07954141184305, 12.766269462823807]",null
recording_2021_12_15_21H_54M.mat,last_two,8101,0.001,128,PASS,0.6465557248892753,19.464346955809212,7063.107623820378,16896,22,"[9.2422187847714, 4.591264716507241, 13.77685210495862, 35.83202177370905, 21.759942488751012, 14.813370963655668]",null
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.001,64,PASS,0.5531035509929634,15.94941002717506,2584.442050046425,8448,22,"[10.426934824271097, 4.800746330575105, 14.07387334431017, 24.59432581449042, 16.302227835324654, 18.050388930816922]",null
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.001,128,PASS,0.6678183789990324,19.799798381511252,7535.301520309014,16896,22,"[14.722868641395474, 5.429289338176057, 14.99415305732331, 31.02580673044447, 18.950685603469953, 23.651601593098516]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.001,64,PASS,0.5586590703021368,16.451875572971105,2636.620435307002,8448,22,"[10.323433102574452, 4.7846801599774365, 13.82442897662231, 27.718936821391818, 15.90462493268989, 16.796054139797285]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.001,128,PASS,0.6612485589966923,20.027507648947648,7387.770200873814,16896,22,"[14.357112838298136, 5.207473064757608, 14.439131161573025, 33.49053438176616, 18.11516262142332, 22.695779174158247]",null
recording_2021_12_15_21H_54M.mat,last_two,8101,0.003,64,PASS,0.5845815330100131,17.77092243177001,2886.982084684576,8448,22,"[9.271908098843546, 4.154182838965638, 12.128165304280671, 32.74062469245044, 18.9810835377721, 14.570043185770812]",null
recording_2021_12_15_21H_54M.mat,last_two,8101,0.003,128,PASS,0.6761089466451871,21.33250461989595,7723.555407467994,16896,22,"[11.686250232008062, 4.497624460292246, 11.975320477210492, 41.132760529798375, 20.69340363744495, 17.61045730355995]",null
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.003,64,PASS,0.5322774040387,15.724541236799453,2393.4808960143,8448,22,"[8.24522842671545, 4.163935452399256, 11.094902031705095, 28.006114588214714, 17.974015836423717, 12.951466390992849]",null
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.003,128,PASS,0.6461695026247275,20.02652795430819,7054.671801362172,16896,22,"[10.084397091745645, 4.376560609607629, 11.605992275187718, 38.1697372119813, 21.212233976991747, 15.618412791845271]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.003,64,PASS,0.47339710365320703,13.440541860521444,1893.237500328728,8448,22,"[6.578109421295007, 4.332348954016324, 13.4004785970073, 22.724312153833118, 14.056572578440072, 11.32668529897547]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.003,128,PASS,0.5555395274668987,16.544892495539106,5214.513918504339,16896,22,"[7.989236312468469, 4.36347864593527, 13.40246139364652, 29.778059045829977, 17.445025977996142, 13.742098095472816]",null
recording_2021_12_15_21H_54M.mat,last_two,8102,0.001,64,PASS,0.5289602216424747,15.702698901222432,2363.7412430443123,8448,22,"[8.236523555350427, 3.8958870096216573, 12.6301571415358, 28.164513716456277, 17.09153441298173, 12.310524356446054]",null
recording_2021_12_15_21H_54M.mat,last_two,8102,0.001,128,PASS,0.5947825411777006,18.02020578848964,5977.234919712513,16896,22,"[10.335035252271739, 3.9104079333662245, 12.974647030902636, 32.97102962554147, 19.251576657017647, 14.149529750496653]",null
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.001,64,PASS,0.5285680318896796,15.534740163880773,2360.2374203082413,8448,22,"[7.712553416847499, 4.461407627787443, 12.216337710752642, 27.616354431302238, 16.888717412828356, 13.0939130338452]",null
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.001,128,PASS,0.6082696096711634,18.568897172145384,6251.383447364511,16896,22,"[9.906193589916679, 4.5647452092468, 12.77959035982144, 34.465156082879076, 18.838550560994236, 15.614037980317946]",null
