recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,last_two,8101,0.001,64,PASS,0.5650032003522554,16.50275627156743,2696.8433514172407,8448,22,"[7.03596034037591, 4.3353720626951056, 13.941848671783987, 29.05794069869066, 19.07954141184305, 12.766269462823807]",null
recording_2021_12_15_21H_54M.mat,last_two,8101,0.001,128,PASS,0.6465557248892753,19.464346955809212,7063.107623820378,16896,22,"[9.2422187847714, 4.591264716507241, 13.77685210495862, 35.83202177370905, 21.759942488751012, 14.813370963655668]",null
recording_2021_12_15_21H_54M.mat,last_two,8102,0.001,64,PASS,0.5289602216424747,15.702698901222432,2363.7412430443123,8448,22,"[8.236523555350427, 3.8958870096216573, 12.6301571415358, 28.164513716456277, 17.09153441298173, 12.310524356446054]",null
recording_2021_12_15_21H_54M.mat,last_two,8102,0.001,128,PASS,0.5947825411777006,18.02020578848964,5977.234919712513,16896,22,"[10.335035252271739, 3.9104079333662245, 12.974647030902636, 32.97102962554147, 19.251576657017647, 14.149529750496653]",null
recording_2021_12_15_21H_54M.mat,last_two,8103,0.001,64,PASS,0.5223030082810185,15.446391536030747,2304.6180534170257,8448,22,"[7.248505940034474, 4.000933432593558, 11.431260542317682, 26.09556262154631, 17.792986345023035, 15.321726176114872]",null
recording_2021_12_15_21H_54M.mat,last_two,8103,0.001,128,PASS,0.6136072489103702,18.66475329018887,6361.578109545805,16896,22,"[8.931725228794349, 4.240881977596225, 12.272219715495114, 32.701799863030544, 20.71709548665313, 18.527389464274798]",null
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.003,64,PASS,0.5322774040387,15.724541236799453,2393.4808960143,8448,22,"[8.24522842671545, 4.163935452399256, 11.094902031705095, 28.006114588214714, 17.974015836423717, 12.951466390992849]",null
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.003,128,PASS,0.6461695026247275,20.02652795430819,7054.671801362172,16896,22,"[10.084397091745645, 4.376560609607629, 11.605992275187718, 38.1697372119813, 21.212233976991747, 15.618412791845271]",null
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.003,64,PASS,0.5149218247929879,15.098407720039754,2239.9406147554905,8448,22,"[6.364208166041528, 4.229401265638829, 13.097581182091469, 27.233546652429634, 16.405156497329983, 11.27114269466114]",null
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.003,128,PASS,0.5917914926723495,18.204597790405344,5917.269317826115,16896,22,"[7.654244605779564, 4.368684365464673, 13.400892075736174, 34.82213359067319, 18.22564862418774, 13.654019799599327]",null
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.003,64,PASS,0.5215142556229135,15.226951353349818,2297.662699773802,8448,22,"[7.8427236643148275, 3.9788080436664446, 11.061862848023273, 26.009300975548214, 18.292716222283676, 13.429409647725086]",null
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.003,128,PASS,0.6284049506772642,18.812550153638366,6672.1084452751,16896,22,"[9.537762339058547, 4.231679411506393, 11.474048878023718, 33.63084478519383, 22.60941776747215, 15.515248893126422]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.003,64,PASS,0.4768190312026413,13.387718892862132,1920.7067701918306,8448,22,"[7.929479132999785, 4.3549513496742955, 13.998948623608621, 21.04941601447118, 13.614366711060846, 13.005552825125342]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.003,128,PASS,0.5594591999883985,16.547997076090144,5288.35670164723,16896,22,"[9.15080419643283, 4.418060546804788, 13.82585316511626, 28.577575915654524, 17.167764872201143, 15.401186813992798]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8102,0.003,64,PASS,0.5101250746481519,14.942786746332494,2198.4026953978437,8448,22,"[6.424273692274312, 4.149512104317184, 13.542614198772721, 26.956037396714407, 15.916193582101684, 10.857068742911075]",null
recording_2021_12_15_21H_54M.mat,temporal_affine,8102,0.003,128,PASS,0.5761261692837771,17.58773768630866,5608.143348126096,16896,22,"[7.729986749125353, 4.118548568780738, 13.724625573955043, 33.376338084421036, 17.86618103126782, 12.558274099830886]",null
