key,arm,seed,learning_rate,origin,status,parameter_bytes,buffer_bytes,state_bytes,normalizer_bytes,persistent_bytes,median_seconds,p95_seconds,error,model_key
joint_observer_long-8101-lr0,joint_observer_long,8101,0.001,fresh,PASS,2648,0,48,192,2888,0.005755291902460158,0.006066089670639485,null,joint_observer_long-8101-lr0
joint_observer_long-8102-lr0,joint_observer_long,8102,0.001,fresh,PASS,2648,0,48,192,2888,0.005783249973319471,0.006108293530996889,null,joint_observer_long-8102-lr0
joint_observer_long-8103-lr0,joint_observer_long,8103,0.001,fresh,PASS,2648,0,48,192,2888,0.005980666377581656,0.006758226419333368,null,joint_observer_long-8103-lr0
joint_observer_short-8101-lr0,joint_observer_short,8101,0.001,fresh,PASS,2648,0,48,192,2888,0.004445333615876734,0.004962688067462295,null,joint_observer_short-8101-lr0
joint_observer_short-8102-lr0,joint_observer_short,8102,0.001,fresh,PASS,2648,0,48,192,2888,0.004443812416866422,0.0049288188922218985,null,joint_observer_short-8102-lr0
joint_observer_short-8103-lr0,joint_observer_short,8103,0.001,fresh,PASS,2648,0,48,192,2888,0.004307208466343582,0.004751987557392567,null,joint_observer_short-8103-lr0
continued_last_two-8101-lr0,continued_last_two,8101,0.001,fresh,PASS,2360,0,48,192,2600,0.004090541391633451,0.0045239334926009175,null,continued_last_two-8101-lr0
continued_last_two-8102-lr0,continued_last_two,8102,0.001,fresh,PASS,2360,0,48,192,2600,0.004077604040503502,0.00439189177704975,null,continued_last_two-8102-lr0
continued_last_two-8103-lr0,continued_last_two,8103,0.001,fresh,PASS,2360,0,48,192,2600,0.00408762542065233,0.004449714079964906,null,continued_last_two-8103-lr0
continued_temporal-8101-lr0,continued_temporal,8101,0.001,fresh,PASS,3848,0,48,192,4088,0.0041433124570176005,0.00453482506563887,null,continued_temporal-8101-lr0
continued_temporal-8102-lr0,continued_temporal,8102,0.001,fresh,PASS,3848,0,48,192,4088,0.004182292032055557,0.004641503817401827,null,continued_temporal-8102-lr0
continued_temporal-8103-lr0,continued_temporal,8103,0.001,fresh,PASS,3848,0,48,192,4088,0.004089833004400134,0.0045346770551987,null,continued_temporal-8103-lr0
observer_position-8101-lr1,observer_position,8101,0.003,fresh,PASS,2648,0,48,192,2888,0.005614125053398311,0.0058037680923007425,null,observer_position-8101-lr1
