arm,seed,learning_rate,origin,status,parameter_bytes,buffer_bytes,state_bytes,normalizer_bytes,persistent_bytes,median_seconds,p95_seconds,error
temporal_affine,8101,0.001,fresh,PASS,3848,0,48,192,4088,0.004060937557369471,0.004392796102911234,null
local_affine,8101,0.003,fresh,PASS,3848,0,48,192,4088,0.003918562433682382,0.004329824156593532,null
temporal_affine,8102,0.001,fresh,PASS,3848,0,48,192,4088,0.00418187549803406,0.004511293862015009,null
local_affine,8102,0.003,fresh,PASS,3848,0,48,192,4088,0.004005750059150159,0.004441579454578459,null
temporal_affine,8103,0.001,fresh,PASS,3848,0,48,192,4088,0.003983104485087097,0.004370950034353882,null
local_affine,8103,0.003,fresh,PASS,3848,0,48,192,4088,0.004051062394864857,0.005121944297570735,null
last_two,8101,,fixed,PASS,2360,0,48,192,2600,0.003963791066780686,0.004596255952492356,null
last_two,8102,,fixed,PASS,2360,0,48,192,2600,0.003894292050972581,0.004442732757888734,null
last_two,8103,,fixed,PASS,2360,0,48,192,2600,0.004000353976152837,0.004350658331532031,null
observer_fixed,8101,,fixed,PASS,2360,288,48,192,2888,0.005594979505985975,0.0062862660503014926,null
observer_fixed,8102,,fixed,PASS,2360,288,48,192,2888,0.005614395602606237,0.005944248056039214,null
observer_fixed,8103,,fixed,PASS,2360,288,48,192,2888,0.006041957996785641,0.0071539901429787285,null
observer_zero,8101,,fixed,PASS,2360,288,48,192,2888,0.005522354505956173,0.006065537605900317,null
observer_zero,8102,,fixed,PASS,2360,288,48,192,2888,0.005660250084474683,0.006144302594475448,null
observer_zero,8103,,fixed,PASS,2360,288,48,192,2888,0.0055016453843563795,0.006065905431751162,null
joint_local_affine,8101,0.003,cached,PASS,3848,0,48,192,4088,0.0038220209535211325,0.004341835156083107,null
joint_local_affine,8102,0.003,cached,PASS,3848,0,48,192,4088,0.004082582890987396,0.004633923305664212,null
joint_local_affine,8103,0.003,cached,PASS,3848,0,48,192,4088,0.0039923544973134995,0.00440921732224524,null
joint_temporal_affine,8101,0.003,cached,PASS,3848,0,48,192,4088,0.003941542003303766,0.004389908059965819,null
joint_temporal_affine,8102,0.003,cached,PASS,3848,0,48,192,4088,0.003987749922089279,0.004321060562506318,null
joint_temporal_affine,8103,0.003,cached,PASS,3848,0,48,192,4088,0.004073479096405208,0.004354816884733737,null
dense_bounded,8101,0.001,cached,PASS,3224,0,48,192,3464,0.004564728937111795,0.004974218795541674,null
dense_bounded,8102,0.001,cached,PASS,3224,0,48,192,3464,0.004598811850883067,0.004884544154629111,null
dense_bounded,8103,0.001,cached,PASS,3224,0,48,192,3464,0.004564854432828724,0.005042443831916899,null
dense_unbounded,8101,0.003,cached,PASS,3224,0,48,192,3464,0.004538853885605931,0.005023094010539353,null
dense_unbounded,8102,0.003,cached,PASS,3224,0,48,192,3464,0.004516437416896224,0.005133462464436888,null
dense_unbounded,8103,0.003,cached,PASS,3224,0,48,192,3464,0.004537770408205688,0.004942539450712502,null
gru32,8101,0.003,cached,PASS,23664,0,200,192,24056,0.0022116040345281363,0.0025459817377850415,null
gru32,8102,0.003,cached,PASS,23664,0,200,192,24056,0.0022043745266273618,0.0026596496580168607,null
gru32,8103,0.003,cached,PASS,23664,0,200,192,24056,0.002137750037945807,0.002562653773929924,null
legacy_instant,8101,0.001,cached,PASS,4056,0,48,192,4296,0.004355417098850012,0.0046893158229067925,null
legacy_instant,8102,0.001,cached,PASS,4056,0,48,192,4296,0.004349563037976623,0.004795451986137777,null
legacy_instant,8103,0.001,cached,PASS,4056,0,48,192,4296,0.004287895979359746,0.004642028990201653,null
gru10,8101,0.003,cached,PASS,5184,0,112,192,5488,0.002160458010621369,0.0025480833603069184,null
gru10,8102,0.003,cached,PASS,5184,0,112,192,5488,0.0020862078526988626,0.002469244203530252,null
gru10,8103,0.003,cached,PASS,5184,0,112,192,5488,0.002130249864421785,0.002562711900100112,null
causal_ridge_1,,,reference,PASS,3563520,16,1536,192,3565264,0.0005564586026594043,0.0007541441358625889,null
causal_ridge_100,,,reference,PASS,3563520,16,1536,192,3565264,0.0005382499657571316,0.0008609249372966588,null
linear_frozen,,,reference,PASS,1200,0,144,192,1536,0.00023939600214362144,0.0002871003467589617,null
persistence,,,reference,PASS,0,0,48,192,240,9.209034033119678e-06,9.981775656342507e-06,null
observer_learned,8101,,unavailable,UNAVAILABLE,2648,0,48,192,2888,,,"{""type"": ""UnavailableSelectedRecipe""}"
observer_learned,8102,,unavailable,UNAVAILABLE,2648,0,48,192,2888,,,"{""type"": ""UnavailableSelectedRecipe""}"
observer_learned,8103,,unavailable,UNAVAILABLE,2648,0,48,192,2888,,,"{""type"": ""UnavailableSelectedRecipe""}"
