recording,arm,seed,learning_rate,horizon,status,selected,error_type,error_message,standardized_rmse,standardized_sse,scalars,physical_rmse_deg,windows,joint_1_rmse_deg,joint_2_rmse_deg,joint_3_rmse_deg,joint_4_rmse_deg,joint_5_rmse_deg,joint_6_rmse_deg
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.001,64,PASS,False,,,0.542408555442764,2485.4610825158907,8448,16.03309852201512,22,6.4222059416954895,4.112521415423068,14.50939986042672,28.33272080821196,17.172822106524446,13.26771856582079
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.001,128,PASS,False,,,0.6350820292036081,6814.649889778328,16896,19.252750321283887,22,8.767394640700712,4.490277892476055,14.169635756487668,35.48563007061881,20.756073019904193,15.36741614835753
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.001,64,PASS,True,,,0.5379626679381628,2444.8835735397943,8448,15.873058570395921,22,6.5813116941547065,4.098786089488657,14.151219869542103,28.403219830658923,17.179406173039105,12.226131941427743
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.001,128,PASS,True,,,0.6318061727066925,6744.529057648233,16896,19.163187642764818,22,8.834225040955898,4.503947144689312,13.950908061111267,35.56225172354057,20.596498521631624,14.883553241913072
recording_2021_12_15_21H_54M.mat,observer_learned,8101,0.001,64,PASS,False,,,0.5812492672709442,2854.1628040190244,8448,17.50014935109514,22,7.575015385086515,4.105553031573176,14.767156089568175,32.927772024157164,18.306876671199536,11.218116472091443
recording_2021_12_15_21H_54M.mat,observer_learned,8101,0.001,128,PASS,False,,,0.6561359666136323,7273.971415332959,16896,19.964771600723736,22,9.495472295528886,4.496891555631222,14.305700766013853,37.572175854095086,21.489521638543483,14.249406639047201
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.003,64,PASS,True,,,0.5435585860628961,2496.011751405806,8448,16.244824108983813,22,6.315883155966813,4.072598015689542,14.340122829025434,29.27437521119504,16.949378876830576,13.303376123600707
recording_2021_12_15_21H_54M.mat,local_affine,8101,0.003,128,PASS,True,,,0.6357034971543328,6827.993547627629,16896,19.36528661656241,22,8.665955850189437,4.45678518670001,14.040919190875567,35.94798046587555,20.688148987076346,15.418171410407584
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.003,64,PASS,False,,,0.5399480351502024,2462.962703837342,8448,16.091324815527035,22,6.709156360925338,3.997778423771984,13.859210314585635,29.198986572485083,17.201916236804,12.329839613302095
recording_2021_12_15_21H_54M.mat,temporal_affine,8101,0.003,128,PASS,False,,,0.6338608951227351,6788.468702244472,16896,19.33974669261844,22,8.750096914844537,4.432082189627526,13.705263234338794,36.151216214023876,20.689903463649433,15.004348864323823
recording_2021_12_15_21H_54M.mat,observer_learned,8101,0.003,64,PASS,False,,,0.5773486813400469,2815.984510691329,8448,17.379350546254475,22,7.780565362436374,4.046537706021409,15.019566532977448,32.59635691809164,17.895072158235678,11.269242076269292
recording_2021_12_15_21H_54M.mat,observer_learned,8101,0.003,128,PASS,False,,,0.6545269177127986,7238.339091635379,16896,19.906561287182864,22,9.675498609327681,4.455477395482711,14.531202579260649,37.40591919081231,21.276653323458888,14.181182107486629
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.001,64,PASS,False,,,0.510842528116481,2204.590827922034,8448,15.26402339708611,22,7.794823826610034,3.854682172301015,11.78853013551892,27.65165017756504,16.37236788012299,12.275462441914645
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.001,128,PASS,False,,,0.5857270349658974,5796.614790742053,16896,17.842681047037672,22,9.915900087973997,3.8872749525065267,12.590472970786882,32.882257884439085,18.839711765891458,14.21386604474999
recording_2021_12_15_21H_54M.mat,temporal_affine,8102,0.001,64,PASS,True,,,0.5056895572333059,2160.338850234614,8448,15.075244093567518,22,8.007082841356986,3.920802074662207,11.571024215262481,27.678907953298193,16.035046017017546,11.267590456775133
recording_2021_12_15_21H_54M.mat,temporal_affine,8102,0.001,128,PASS,True,,,0.5835611088692348,5753.8241212901385,16896,17.759287112946048,22,10.08225825753723,3.9456318091056772,12.440776545172808,32.93597007623064,18.65974168845095,13.689292342068295
recording_2021_12_15_21H_54M.mat,observer_learned,8102,0.001,64,FAILED,False,FailedTrainingAttempt,,,,,,,,,,,,
recording_2021_12_15_21H_54M.mat,observer_learned,8102,0.001,128,FAILED,False,FailedTrainingAttempt,,,,,,,,,,,,
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.003,64,PASS,True,,,0.5249555391717047,2328.0856313684017,8448,15.479338246199159,22,8.113876208699748,3.926348007812343,12.17157197218193,27.19295392688607,17.42613052521698,12.850460956995127
recording_2021_12_15_21H_54M.mat,local_affine,8102,0.003,128,PASS,True,,,0.593465971464331,5950.802614497981,16896,17.97908561981914,22,10.21287129361807,3.936265003765836,12.825512073261393,32.69427348913171,19.280338072320777,14.64743940087649
recording_2021_12_15_21H_54M.mat,temporal_affine,8102,0.003,64,PASS,False,,,0.5116663492203435,2211.7071223059606,8448,15.003432751416447,22,8.135268274481401,4.111715755310633,11.607315771886183,26.56330002307874,16.738517884149864,12.124871178904279
recording_2021_12_15_21H_54M.mat,temporal_affine,8102,0.003,128,PASS,False,,,0.5869520599778844,5820.886929154717,16896,17.734998587688484,22,10.267299601457722,4.070083399677427,12.527195702132445,32.418902367732485,18.91684342603131,14.12215285827099
recording_2021_12_15_21H_54M.mat,observer_learned,8102,0.003,64,FAILED,False,FailedTrainingAttempt,,,,,,,,,,,,
recording_2021_12_15_21H_54M.mat,observer_learned,8102,0.003,128,FAILED,False,FailedTrainingAttempt,,,,,,,,,,,,
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.001,64,PASS,False,,,0.49566845426998274,2075.565605485312,8448,14.694224125890615,22,6.623715290629039,3.9678728286441345,10.30989239981354,25.436183766906254,16.85223195601669,14.09300071371889
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.001,128,PASS,False,,,0.5995642351845271,6073.727989611228,16896,18.2326547291437,22,8.62977068050123,4.251428595816372,11.71415343567114,32.420997554589675,20.24994077294515,17.4249255169912
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.001,64,PASS,True,,,0.49756937750412605,2091.516011311318,8448,14.752173918945198,22,6.818342969397185,4.087632504930643,10.376896486881973,26.044522639822365,16.62097591539368,13.427855042759738
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.001,128,PASS,True,,,0.597739439833646,6036.8130313099,16896,18.19006666443062,22,8.734838158333337,4.309478378736321,11.720501317586818,32.56044105723345,19.950361926102207,17.170694104488394
recording_2021_12_15_21H_54M.mat,observer_learned,8103,0.001,64,FAILED,False,FailedTrainingAttempt,,,,,,,,,,,,
recording_2021_12_15_21H_54M.mat,observer_learned,8103,0.001,128,FAILED,False,FailedTrainingAttempt,,,,,,,,,,,,
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.003,64,PASS,True,,,0.4975713768619016,2091.5328198103552,8448,14.756276483455188,22,6.567414992693767,3.9512105862960056,10.486279715692204,25.616080846001996,16.912972515655223,13.983878920155243
recording_2021_12_15_21H_54M.mat,local_affine,8103,0.003,128,PASS,True,,,0.5983716388497152,6049.58945276411,16896,18.243370853798414,22,8.32666736069614,4.22279512593749,11.768296469343634,32.54840347634746,20.173291787819867,17.461529727890717
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.003,64,PASS,False,,,0.5100624724867829,2197.863155890662,8448,15.115297894345714,22,7.552712435041058,4.138462702672819,11.224740625478129,26.663285685217506,16.600275015054937,13.570862453241247
recording_2021_12_15_21H_54M.mat,temporal_affine,8103,0.003,128,PASS,False,,,0.6007257639937266,6097.283909812702,16896,18.32584885168103,22,8.719649666187687,4.3040720116354585,12.163008983607021,32.87512247695123,19.77845440635592,17.33676343817997
recording_2021_12_15_21H_54M.mat,observer_learned,8103,0.003,64,PASS,False,,,0.5072336440731771,2173.5518718545654,8448,15.021641120573635,22,9.202823703879643,3.9170099114688357,11.269605789824404,25.555892304766505,16.11249910233278,14.633625917286388
recording_2021_12_15_21H_54M.mat,observer_learned,8103,0.003,128,PASS,False,,,0.6026074097576625,6135.540623221605,16896,18.298708544952895,22,10.427323339919237,4.172675659287531,12.145102864088171,31.77148324036158,19.668412695719617,18.415726525037055
recording_2021_12_15_21H_54M.mat,last_two,8101,,64,PASS,True,,,0.5650032003522554,2696.8433514172407,8448,16.50275627156743,22,7.03596034037591,4.3353720626951056,13.941848671783987,29.05794069869066,19.07954141184305,12.766269462823807
recording_2021_12_15_21H_54M.mat,last_two,8101,,128,PASS,True,,,0.6465557248892753,7063.107623820378,16896,19.464346955809212,22,9.2422187847714,4.591264716507241,13.77685210495862,35.83202177370905,21.759942488751012,14.813370963655668
recording_2021_12_15_21H_54M.mat,last_two,8102,,64,PASS,True,,,0.5289602216424747,2363.7412430443123,8448,15.702698901222432,22,8.236523555350427,3.8958870096216573,12.6301571415358,28.164513716456277,17.09153441298173,12.310524356446054
recording_2021_12_15_21H_54M.mat,last_two,8102,,128,PASS,True,,,0.5947825411777006,5977.234919712513,16896,18.02020578848964,22,10.335035252271739,3.9104079333662245,12.974647030902636,32.97102962554147,19.251576657017647,14.149529750496653
recording_2021_12_15_21H_54M.mat,last_two,8103,,64,PASS,True,,,0.5223030082810185,2304.6180534170257,8448,15.446391536030747,22,7.248505940034474,4.000933432593558,11.431260542317682,26.09556262154631,17.792986345023035,15.321726176114872
recording_2021_12_15_21H_54M.mat,last_two,8103,,128,PASS,True,,,0.6136072489103702,6361.578109545805,16896,18.66475329018887,22,8.931725228794349,4.240881977596225,12.272219715495114,32.701799863030544,20.71709548665313,18.527389464274798
recording_2021_12_15_21H_54M.mat,observer_fixed,8101,,64,PASS,True,,,9480562.363443686,7.593152179189204e+17,8448,252563200.24171448,22,58522547.17803913,28235386.58352122,346300722.34553635,354837546.96785885,362545828.42519057,35121821.857302144
recording_2021_12_15_21H_54M.mat,observer_fixed,8101,,128,PASS,True,,,7030332.471907106,8.350945095491579e+17,16896,189250225.43746462,22,59507559.92447389,23543192.991141055,255764374.80783015,272815420.4134378,260655478.64084637,54895425.6993641
recording_2021_12_15_21H_54M.mat,observer_fixed,8102,,64,PASS,True,,,176643207.44300118,2.636014464716257e+20,8448,4301868109.967627,22,951309032.1918576,738848489.4667603,4813770409.142493,3701190559.5300097,8500624140.785367,673588565.3932847
recording_2021_12_15_21H_54M.mat,observer_fixed,8102,,128,PASS,True,,,126237204.0411712,2.6925181213509917e+20,16896,3082212632.106874,22,689628949.2578682,523039971.0114916,3418937260.1727977,2722669447.9989896,6075251540.567044,490211347.2346864
recording_2021_12_15_21H_54M.mat,observer_fixed,8103,,64,PASS,True,,,38556891.08291459,1.2559082764628832e+19,8448,934438005.9681164,22,638243206.4003513,45280454.73522029,775344206.9819632,574805535.6122438,1949085114.6631124,314878999.9610979
recording_2021_12_15_21H_54M.mat,observer_fixed,8103,,128,PASS,True,,,28786315.74812451,1.4000903758629784e+19,16896,703259643.8191869,22,566125142.0414773,37336371.50940597,574740309.6547726,492635563.24922913,1417985706.1467347,248703425.9972389
recording_2021_12_15_21H_54M.mat,observer_zero,8101,,64,PASS,True,,,0.6450725746214049,3515.3701569143564,8448,19.08993828137677,22,10.14001533285508,4.6192516212763675,13.93693236623085,34.45258308170568,22.109735120366132,13.868601701468247
recording_2021_12_15_21H_54M.mat,observer_zero,8101,,128,PASS,True,,,0.6884612854584481,8008.3481968528695,16896,20.719389242596723,22,10.872140841924836,4.748341461496968,13.79859873605733,38.15364213801576,23.497123796828504,15.388040427481227
recording_2021_12_15_21H_54M.mat,observer_zero,8102,,64,PASS,True,,,0.6194916872987307,3242.0885429410646,8448,19.073999998591407,22,11.790602422772057,4.042606143948131,13.020575830134952,36.00984402072571,18.903475489492983,14.281394848664913
recording_2021_12_15_21H_54M.mat,observer_zero,8102,,128,PASS,True,,,0.6387967558927299,6894.603646049028,16896,19.587172486247404,22,11.886325054071431,3.9944556057613174,13.17429612382862,36.45683610675948,20.350516704423104,15.096259462136581
recording_2021_12_15_21H_54M.mat,observer_zero,8103,,64,PASS,True,,,0.6219427575745209,3267.7944811725247,8448,18.680980236603304,22,10.979093160285121,4.150917791663325,13.150078525825974,32.748427911634415,20.699878484470513,16.799835275265714
recording_2021_12_15_21H_54M.mat,observer_zero,8103,,128,PASS,True,,,0.6587269454251811,7331.532403078786,16896,20.040034538922885,22,11.285907270630483,4.328706969552283,13.07919095144915,35.18151946058893,21.93141075895675,19.33176592035663
recording_2021_12_15_21H_54M.mat,joint_local_affine,8101,0.003,64,PASS,True,,,0.5322774040387,2393.4808960143,8448,15.724541236799453,22,8.24522842671545,4.163935452399256,11.094902031705095,28.006114588214714,17.974015836423717,12.951466390992849
recording_2021_12_15_21H_54M.mat,joint_local_affine,8101,0.003,128,PASS,True,,,0.6461695026247275,7054.671801362172,16896,20.02652795430819,22,10.084397091745645,4.376560609607629,11.605992275187718,38.1697372119813,21.212233976991747,15.618412791845271
recording_2021_12_15_21H_54M.mat,joint_local_affine,8102,0.003,64,PASS,True,,,0.5149218247929879,2239.9406147554905,8448,15.098407720039754,22,6.364208166041528,4.229401265638829,13.097581182091469,27.233546652429634,16.405156497329983,11.27114269466114
recording_2021_12_15_21H_54M.mat,joint_local_affine,8102,0.003,128,PASS,True,,,0.5917914926723495,5917.269317826115,16896,18.204597790405344,22,7.654244605779564,4.368684365464673,13.400892075736174,34.82213359067319,18.22564862418774,13.654019799599327
recording_2021_12_15_21H_54M.mat,joint_local_affine,8103,0.003,64,PASS,True,,,0.5215142556229135,2297.662699773802,8448,15.226951353349818,22,7.8427236643148275,3.9788080436664446,11.061862848023273,26.009300975548214,18.292716222283676,13.429409647725086
recording_2021_12_15_21H_54M.mat,joint_local_affine,8103,0.003,128,PASS,True,,,0.6284049506772642,6672.1084452751,16896,18.812550153638366,22,9.537762339058547,4.231679411506393,11.474048878023718,33.63084478519383,22.60941776747215,15.515248893126422
recording_2021_12_15_21H_54M.mat,joint_temporal_affine,8101,0.003,64,PASS,True,,,0.47339710365320703,1893.237500328728,8448,13.440541860521444,22,6.578109421295007,4.332348954016324,13.4004785970073,22.724312153833118,14.056572578440072,11.32668529897547
recording_2021_12_15_21H_54M.mat,joint_temporal_affine,8101,0.003,128,PASS,True,,,0.5555395274668987,5214.513918504339,16896,16.544892495539106,22,7.989236312468469,4.36347864593527,13.40246139364652,29.778059045829977,17.445025977996142,13.742098095472816
recording_2021_12_15_21H_54M.mat,joint_temporal_affine,8102,0.003,64,PASS,True,,,0.5009516766306054,2120.047415431035,8448,14.631547617189325,22,6.486760787176546,3.96707969593213,12.88655838180234,26.632610841518005,16.21481653551148,9.402005359331817
recording_2021_12_15_21H_54M.mat,joint_temporal_affine,8102,0.003,128,PASS,True,,,0.5720783164461299,5529.614748097877,16896,17.455264225746674,22,7.717053009553331,4.040079028016578,13.338852944244977,33.280707822019295,18.038033411720257,11.888700058196806
recording_2021_12_15_21H_54M.mat,joint_temporal_affine,8103,0.003,64,PASS,True,,,0.521582615314115,2298.265091003161,8448,15.494504554641098,22,5.905140336963621,4.119731240874628,11.73599758892413,27.83615055171547,17.562683592972082,12.946134115427508
recording_2021_12_15_21H_54M.mat,joint_temporal_affine,8103,0.003,128,PASS,True,,,0.602799670280812,6139.456308322118,16896,18.266132789938446,22,7.0903530587894394,4.28737468114097,12.536734328567716,31.99250656822201,20.669157796816055,18.037480042143205
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.001,64,PASS,True,,,0.5267609253931314,2344.1263086576455,8448,15.07102173289141,22,7.976109748611415,3.5481753256459605,11.863681544257732,24.195167615607335,19.651766371287277,13.200806957672759
recording_2021_12_15_21H_54M.mat,dense_bounded,8101,0.001,128,PASS,True,,,0.6686414336804565,7553.8867740315945,16896,19.451955152905498,22,9.923392409167569,4.092085496960175,14.009517578616892,31.777845962405642,25.346495640667076,17.50741434206699
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.001,64,PASS,True,,,0.5099497197223455,2196.8915582161044,8448,14.722175281278677,22,8.17310402678404,3.4799649608568455,13.00794512323204,25.23923165123538,17.487885140496804,10.463904966779166
recording_2021_12_15_21H_54M.mat,dense_bounded,8102,0.001,128,PASS,True,,,0.6005466971295215,6093.649443478961,16896,17.132091004758635,22,10.399595036929782,3.73263487317854,13.287218096204098,28.85748813036272,22.566000503018245,10.9744224682235
recording_2021_12_15_21H_54M.mat,dense_bounded,8103,0.001,64,PASS,True,,,0.5524675149369562,2578.501559552083,8448,16.084612153738735,22,7.909548857925594,4.157203926728943,12.327818451509753,28.111311983835776,19.39663221533634,12.409466977671512
recording_2021_12_15_21H_54M.mat,dense_bounded,8103,0.001,128,PASS,True,,,0.6411076925754768,6944.578265508822,16896,19.045430850659294,22,9.625924021568617,4.389481153586671,13.525003134117544,34.564993933970044,22.46428885866743,13.495772312018278
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.003,64,PASS,True,,,0.5801127371402044,2843.0120952693496,8448,17.60827457968067,22,6.866139811693366,4.284935791862433,11.92796273968476,33.00325047000219,19.547298695373563,13.461639142218376
recording_2021_12_15_21H_54M.mat,dense_unbounded,8101,0.003,128,PASS,True,,,0.6975152082730378,8220.368061686742,16896,22.470985250623727,22,9.43034048377065,4.717145989435898,13.349878524527792,45.7202930262814,20.213858836633783,15.534598185371847
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.003,64,PASS,True,,,0.5338855168140342,2407.9650782988847,8448,15.489955731165377,22,9.531469724905737,4.3004616296444205,12.643456482841886,26.6401360080998,17.10264912265954,12.970545115744404
recording_2021_12_15_21H_54M.mat,dense_unbounded,8102,0.003,128,PASS,True,,,0.6071076292874356,6227.5221641151165,16896,18.11797867542581,22,11.564937077798628,4.725995605785618,12.724061695301126,31.345379167080345,18.966283371023444,17.587770113233105
recording_2021_12_15_21H_54M.mat,dense_unbounded,8103,0.003,64,PASS,True,,,0.5460353361636656,2518.8099622909754,8448,15.491599199343687,22,8.79433570616811,3.706667992292698,11.98191499241306,24.218507221982925,20.628270823475482,13.900726969747415
recording_2021_12_15_21H_54M.mat,dense_unbounded,8103,0.003,128,PASS,True,,,0.6443968104785538,7016.017525100951,16896,18.8585945422149,22,10.595652120566498,3.994296864819484,12.886819050990066,31.68041198662858,23.98770311804784,16.140903554835187
recording_2021_12_15_21H_54M.mat,gru32,8101,0.003,64,PASS,True,,,0.6324667612678083,3379.319996309375,8448,17.916648524802387,22,16.11587254457483,3.779550803651306,13.670407704145724,25.06566235957188,21.80536559372159,19.01025957266172
recording_2021_12_15_21H_54M.mat,gru32,8101,0.003,128,PASS,True,,,0.7191769325260312,8738.872416849514,16896,20.661849263734986,22,18.92247281171045,4.344628958600703,13.883538586121242,31.725944430924038,24.414304107775752,19.72789581056859
