key,arm,seed,learning_rate,origin,status,parameter_bytes,buffer_bytes,state_bytes,normalizer_bytes,persistent_bytes,median_seconds,p95_seconds,error
observer_position-8101-lr1,observer_position,8101,0.003,fresh,PASS,2648,0,48,192,2888,0.005334270652383566,0.005681745568290353,null
observer_position-8102-lr1,observer_position,8102,0.003,fresh,PASS,2648,0,48,192,2888,0.005295145441778004,0.00564953152788803,null
observer_position-8103-lr1,observer_position,8103,0.003,fresh,PASS,2648,0,48,192,2888,0.0052845211466774344,0.005710367124993354,null
observer_position_fixed-8101-fixed,observer_position_fixed,8101,,fixed,PASS,2360,288,48,192,2888,0.005275000119581819,0.005776839295867831,null
observer_position_fixed-8102-fixed,observer_position_fixed,8102,,fixed,PASS,2360,288,48,192,2888,0.005338937393389642,0.006046794168651105,null
observer_position_fixed-8103-fixed,observer_position_fixed,8103,,fixed,PASS,2360,288,48,192,2888,0.005368479643948376,0.00576583897927776,null
temporal_affine-8101-lr0,temporal_affine,8101,0.001,fresh,PASS,3848,0,48,192,4088,0.0038427289109677076,0.00418949598679319,null
local_affine-8101-lr1,local_affine,8101,0.003,fresh,PASS,3848,0,48,192,4088,0.0038807084783911705,0.004277042183093727,null
temporal_affine-8102-lr0,temporal_affine,8102,0.001,fresh,PASS,3848,0,48,192,4088,0.004149833461269736,0.004459506226703524,null
local_affine-8102-lr1,local_affine,8102,0.003,fresh,PASS,3848,0,48,192,4088,0.003963937051594257,0.004331605695188046,null
temporal_affine-8103-lr0,temporal_affine,8103,0.001,fresh,PASS,3848,0,48,192,4088,0.003738853964023292,0.004205470590386539,null
local_affine-8103-lr1,local_affine,8103,0.003,fresh,PASS,3848,0,48,192,4088,0.00400747952517122,0.004453054489567876,null
last_two-8101-fixed,last_two,8101,,fixed,PASS,2360,0,48,192,2600,0.0038233124651014805,0.004281270853243768,null
last_two-8102-fixed,last_two,8102,,fixed,PASS,2360,0,48,192,2600,0.003939208458177745,0.004234027012716979,null
last_two-8103-fixed,last_two,8103,,fixed,PASS,2360,0,48,192,2600,0.003871625056490302,0.004270874848589301,null
observer_fixed-8101-fixed,observer_fixed,8101,,fixed,PASS,2360,288,48,192,2888,0.005383833427913487,0.005600320780649782,null
observer_fixed-8102-fixed,observer_fixed,8102,,fixed,PASS,2360,288,48,192,2888,0.0053776249988004565,0.005824558704625816,null
observer_fixed-8103-fixed,observer_fixed,8103,,fixed,PASS,2360,288,48,192,2888,0.0052655000472441316,0.005524235381744802,null
observer_zero-8101-fixed,observer_zero,8101,,fixed,PASS,2360,288,48,192,2888,0.005120978923514485,0.005534096562769264,null
observer_zero-8102-fixed,observer_zero,8102,,fixed,PASS,2360,288,48,192,2888,0.005313896108418703,0.006069401977583766,null
observer_zero-8103-fixed,observer_zero,8103,,fixed,PASS,2360,288,48,192,2888,0.005179854109883308,0.0054929309990257025,null
joint_local_affine-8101-cached,joint_local_affine,8101,0.003,cached,PASS,3848,0,48,192,4088,0.0038223329465836287,0.004089445399586111,null
joint_local_affine-8102-cached,joint_local_affine,8102,0.003,cached,PASS,3848,0,48,192,4088,0.003829000052064657,0.004150430753361434,null
joint_local_affine-8103-cached,joint_local_affine,8103,0.003,cached,PASS,3848,0,48,192,4088,0.003913499996997416,0.004191193752922118,null
joint_temporal_affine-8101-cached,joint_temporal_affine,8101,0.003,cached,PASS,3848,0,48,192,4088,0.0040246250573545694,0.004515031457412988,null
joint_temporal_affine-8102-cached,joint_temporal_affine,8102,0.003,cached,PASS,3848,0,48,192,4088,0.003844686900265515,0.004409482004120946,null
