recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,householder12,8101,0.001,64,PASS,0.5591785872693066,15.458417286336086,2641.5264899062836,8448,22,"[13.353377616927913, 3.9007806035377066, 12.309201993272708, 23.315448855485375, 19.81849121093392, 12.342933361723645]",null
recording_2021_12_15_21H_54M.mat,householder12,8101,0.001,128,PASS,0.6977509225417665,20.023266770894892,8225.924888043646,16896,22,"[15.035364816171175, 4.261137913390573, 14.807870239851027, 32.85107782802007, 24.981706468679576, 15.453665843678786]",null
recording_2021_12_15_21H_54M.mat,householder12,8101,0.003,64,PASS,0.629210448680524,17.776137744827192,3344.6121031804487,8448,22,"[16.01797775066451, 3.8050935245924076, 12.161950265027343, 28.675178360337803, 22.463256915957114, 12.252154556169382]",null
recording_2021_12_15_21H_54M.mat,householder12,8101,0.003,128,PASS,0.7297734498548085,21.480472415396513,8998.290691957056,16896,22,"[16.665141967832824, 3.9970495331118, 12.936395296698228, 37.23439847545891, 26.044419394682503, 15.578776416833367]",null
recording_2021_12_15_21H_54M.mat,householder12,8102,0.001,64,PASS,0.6646239471462713,18.4948368495223,3731.6927249842056,8448,22,"[20.377010468370344, 4.66584656915843, 13.447479558042431, 29.86708744187123, 20.51565227080998, 11.02686056348513]",null
recording_2021_12_15_21H_54M.mat,householder12,8102,0.001,128,PASS,0.7056549049463628,20.11171473145401,8413.343683005642,16896,22,"[17.606218675806243, 4.644920160574691, 13.752091066208468, 33.50609615751759, 24.341761159041845, 13.821446108998163]",null
recording_2021_12_15_21H_54M.mat,householder12,8102,0.003,64,PASS,0.5680782097219952,16.03578568581593,2726.278176745281,8448,22,"[17.73332257782041, 3.6225892860836737, 11.7834559111028, 26.703709272729423, 17.044079117540413, 8.534992530019894]",null
recording_2021_12_15_21H_54M.mat,householder12,8102,0.003,128,PASS,0.6403324237012333,18.577146658573344,6927.792754596947,16896,22,"[15.701445228161036, 3.966059987127232, 12.541978150505736, 31.155361850128585, 21.733724383679363, 14.42514090899891]",null
recording_2021_12_15_21H_54M.mat,householder12,8103,0.001,64,PASS,0.5636877531622021,15.624181365115602,2684.3003241335564,8448,22,"[14.620284281423036, 3.679340714491255, 12.761724679566587, 23.898920256884747, 19.322169483807954, 11.403234611908193]",null
recording_2021_12_15_21H_54M.mat,householder12,8103,0.001,128,PASS,0.6995427405688506,19.97495958347468,8268.227335232043,16896,22,"[15.027023195454781, 4.140553343193391, 14.696871336441982, 32.31693332126071, 25.58624754774583, 15.362297488294008]",null
recording_2021_12_15_21H_54M.mat,householder12,8103,0.003,64,PASS,0.5919411559680735,15.891486731179178,2960.1313178242635,8448,22,"[13.758292503708693, 4.736804345553941, 12.81422961853965, 22.703587179712795, 21.44595477285211, 12.8031967678038]",null
