recording,arm,seed,learning_rate,horizon,status,standardized_rmse,physical_rmse_deg,standardized_sse,scalars,windows,per_joint_rmse_deg,error
recording_2021_12_15_21H_54M.mat,lpv_recurrent,8101,0.001,64,PASS,0.5464509747090444,16.07267703275305,2522.646025240406,8448,22,"[10.58934008410631, 3.812346600093604, 13.01423744405946, 28.317978121020598, 17.501465154196417, 12.072200641246251]",null
recording_2021_12_15_21H_54M.mat,lpv_recurrent,8101,0.001,128,PASS,0.6483115601589129,19.972003697766223,7101.521924186913,16896,22,"[13.737164053700749, 4.001570339355675, 13.268076550784842, 37.84896256661243, 19.52794557707511, 14.093859216513552]",null
recording_2021_12_15_21H_54M.mat,lpv_instant,8101,0.001,64,PASS,0.5632404210260593,16.96529350978547,2680.041592822071,8448,22,"[6.678051693037522, 4.025509527067416, 13.9767904824369, 32.09661082064893, 18.097480384441376, 10.633160736311936]",null
recording_2021_12_15_21H_54M.mat,lpv_instant,8101,0.001,128,PASS,0.6599701886196262,20.446768925078036,7359.232740146496,16896,22,"[8.940002622803664, 4.429390544921287, 14.783614701634873, 39.68183326882398, 20.62153164715143, 13.799575597185518]",null
recording_2021_12_15_21H_54M.mat,lpv_constant,8101,0.001,64,PASS,0.6171922762269735,18.66365275038404,3218.065431687598,8448,22,"[11.076243674113385, 4.603570195220092, 13.634219536499687, 30.522989576139096, 18.889461636504894, 21.72001324813809]",null
recording_2021_12_15_21H_54M.mat,lpv_constant,8101,0.001,128,PASS,0.697015967072109,21.20739707297787,8208.604941140184,16896,22,"[12.76069389824345, 5.182374428358018, 14.174907517387222, 35.1411317290255, 21.579328350544127, 24.644173262691012]",null
recording_2021_12_15_21H_54M.mat,gru_residual,8101,0.001,64,PASS,0.6410125535155171,18.318977355114182,3471.258648122358,8448,22,"[12.311451609893323, 4.811377162311625, 12.60598239328679, 26.798882038708086, 23.088435992475745, 20.70317970455894]",null
recording_2021_12_15_21H_54M.mat,gru_residual,8101,0.001,128,PASS,0.7346793594633436,21.68507010837715,9119.679549597939,16896,22,"[14.070138722444055, 4.973277776305295, 13.637996621232093, 32.984252634121084, 25.95583532246418, 25.516466000665925]",null
recording_2021_12_15_21H_54M.mat,lpv_recurrent,8101,0.003,64,PASS,0.5577714106300087,16.109956986658606,2628.2483801687713,8448,22,"[8.746748823023207, 3.820153530144243, 12.74029731689162, 27.924675107329655, 20.086481985408113, 10.977963498854177]",null
recording_2021_12_15_21H_54M.mat,lpv_recurrent,8101,0.003,128,PASS,0.6382803829246899,18.61838235485322,6883.461610738754,16896,22,"[10.01609420696592, 4.151343195741606, 13.405740049988577, 32.41824229155109, 23.485137456463132, 13.420178637665964]",null
recording_2021_12_15_21H_54M.mat,lpv_instant,8101,0.003,64,PASS,0.5753313112639284,16.85463165595278,2796.339682504231,8448,22,"[8.247167338286163, 3.760891947587356, 12.06899077113137, 29.587261054788716, 21.24651034797914, 12.240539827772968]",null
recording_2021_12_15_21H_54M.mat,lpv_instant,8101,0.003,128,PASS,0.6422987520511675,18.876010688743868,6970.4057176340875,16896,22,"[9.224826586372323, 4.289160431170115, 11.900405286540192, 32.48789062152921, 24.200487672321607, 15.86133877634323]",null
